bowler,over
Kuldeep Yadav,9
S Warrier,9
R Shukla,9
RG Sharma,9
AL Menaria,8
CJ Jordan,8
Imran Tahir,8
GB Hogg,8
JE Taylor,8
J Suchith,8
AF Milne,7
TS Mills,7
P Negi,7
TM Dilshan,7
KJ Abbott,7
SB Styris,7
RD Chahar,7
Anand Rajan,7
AB McDonald,7
BCJ Cutting,7
Shoaib Akhtar,7
Jaskaran Singh,7
Y Venugopal Rao,7
L Plunkett,7
S Gopal,7
L Ferguson,7
SK Warne,6
DNT Zoysa,6
JW Hastings,6
B Laughlin,6
DJ Hussey,6
KA Pollard,6
O Thomas,6
K Upadhyay,6
BJ Hodge,6
RE van der Merwe,6
A Choudhary,6
H Viljoen,6
Umar Gul,6
P Parameswaran,6
KC Cariappa,6
JJ van der Wath,5
AA Jhunjhunwala,5
LH Ferguson,5
M Ali,5
LR Shukla,5
AP Dole,5
M Santner,4
Shahid Afridi,4
DJG Sammy,4
B Geeves,4
NB Singh,4
KM Asif,4
Joginder Sharma,4
CR Brathwaite,4
T Natarajan,4
GH Vihari,4
TP Sudhindra,4
D Willey,4
A Joseph,4
SM Boland,3
SB Bangar,3
S Ladda,3
SM Harwood,3
J Syed Mohammad,3
SC Ganguly,3
S Dhawan,3
SA Abbott,3
S Kaushik,3
K Santokie,3
ND Doshi,3
D du Preez,3
K Khejroliya,3
KAJ Roach,3
KP Appanna,3
KP Pietersen,3
Shoaib Ahmed,3
N Rana,3
MJ Henry,3
JR Hopes,3
M Ashwin,3
RR Bose,2
S Randiv,2
R Salam,2
Karanveer Singh,2
RJ Peterson,2
I Sodhi,2
V Sehwag,2
Gurkeerat Singh,2
H Brar,2
Harmeet Singh (2),2
A Flintoff,2
R Tewatia,2
AC Voges,2
L Ablish,2
T Curran,2
C de Grandhomme,2
CJ McKay,2
NL McCullum,2
JEC Franklin,2
Mashrafe Mortaza,2
P Raj,2
NJ Rimmington,2
A Uniyal,2
R Bhatia,2
SS Agarwal,1
A Zampa,1
Gagandeep Singh,1
ST Jayasuriya,1
Y Nagar,1
S Kuggeleijn,1
A Dananjaya,1
TL Suman,1
GR Napier,1
GS Sandhu,1
SD Chitnis,1
AA Noffke,1
VS Yeligati,1
Sunny Gupta,1
V Chakravarthy,1
SA Yadav,1
A Nel,1
DAJ Bracewell,1
Tejas Baroka,1
SS Mundhe,1
SS Sarkar,1
RR Raje,1
P Amarnath,1
B Akhil,1
R Parag,1
JD Ryder,1
JDS Neesham,1
AJ Finch,1
PM Sarvesh Kumar,1
P Sahu,1
AM Nayar,1
K Paul,1
J Dala,1
MG Neser,1
MB Parmar,1
Ankit Soni,1
M Vijay,1
LJ Wright,1
LA Carseldine,1
KS Williamson,1
J Searles,1
A Ashish Reddy,1
RA Shaikh,1
RG More,1
RW Price,1
RR Bhatkal,1
H Vihari,0
TM Head,0
RV Gomez,0
M Wood,0
MA Khote,0
S Midhun,0
RS Gavaskar,0
RS Bopara,0
MJ Clarke,0
M Markande,0
MK Tiwary,0
Abdur Razzak,0
AUK Pathan,0
DB Ravi Teja,0
T Shamsi,0
S Rana,0
V Kohli,0
M Manhas,0
CK Kapugedera,0
LPC Silva,0
L Livingstone,0
BMAJ Mendis,0
Yuvraj Singh,0
Y Gnaneswara Rao,0
CL White,0
LMP Simmons,0
WA Mota,0
V Shankar,0
LRPL Taylor,0
M Lomror,0
D Kalyankrishna,0
D Salunkhe,0
D Short,0
I Malhotra,0
T Henderson,0
AS Raut,0
Swapnil Singh,0
SPD Smith,0
SN Khan,0
PD Collingwood,0
AA Kazi,0
RN ten Doeschate,0
S Sriram,0
BJ Rohrer,0
S Vidyut,0
R Ninan,0
C Nanda,0
C Munro,0
C Ganapathy,0
RA Tripathi,0
F du Plessis,0
R Sathish,0
SB Joshi,0
PC Valthaty,0
SR Tendulkar,0
FY Fazal,0
P R Barman,0
DJ Harris,0
Shoaib Malik,0
Mandeep Singh,0
K Goel,0
Shivam Sharma,0
A Roy,0
Mohammad Hafeez,0
B Chipli,0
Sachin Baby,0
S Dube,0
DJ Thornely,0
AM Rahane,0
S Rutherford,0
JM Kemp,0
P Prasanth,0
AC Gilchrist,0
