bowler,over,total_runs,avg_economy
C de Grandhomme,37,338,9.135135135135135
CH Gayle,92,750,8.152173913043478
CH Morris,214,1793,8.378504672897197
CJ Anderson,50,532,10.64
CJ Jordan,33,316,9.575757575757576
CJ McKay,7,60,8.571428571428571
CK Kapugedera,3,49,16.333333333333332
CK Langeveldt,26,199,7.653846153846154
CL White,7,86,12.285714285714286
CR Brathwaite,44,392,8.909090909090908
CR Woakes,63,603,9.571428571428571
CRD Fernando,39,306,7.846153846153846
D Kalyankrishna,8,88,11.0
D Salunkhe,8,80,10.0
D Short,3,27,9.0
D Wiese,47,409,8.702127659574469
D Willey,10,98,9.8
D du Preez,7,56,8.0
DAJ Bracewell,4,32,8.0
DB Ravi Teja,3,28,9.333333333333334
DE Bollinger,97,716,7.381443298969073
DJ Bravo,437,3733,8.54233409610984
DJ Harris,3,26,8.666666666666666
DJ Hooda,38,318,8.368421052631579
DJ Hussey,53,485,9.150943396226415
DJ Muthuswami,14,108,7.714285714285714
DJ Thornely,7,40,5.714285714285714
DJG Sammy,40,354,8.85
DL Chahar,116,923,7.956896551724138
DL Vettori,131,894,6.824427480916031
DNT Zoysa,11,100,9.090909090909092
DP Nannes,109,815,7.477064220183486
DP Vijaykumar,26,205,7.884615384615385
DR Smith,90,825,9.166666666666666
DS Kulkarni,292,2461,8.428082191780822
DT Christian,131,1067,8.145038167938932
DW Steyn,352,2454,6.971590909090909
F du Plessis,1,16,16.0
FH Edwards,24,160,6.666666666666667
FY Fazal,2,20,10.0
GB Hogg,77,585,7.597402597402597
GD McGrath,54,366,6.777777777777778
GH Vihari,6,39,6.5
GJ Maxwell,70,617,8.814285714285715
GR Napier,4,28,7.0
GS Sandhu,8,86,10.75
Gagandeep Singh,14,142,10.142857142857142
Gurkeerat Singh,13,97,7.461538461538462
H Brar,5,48,9.6
H Gurney,27,247,9.148148148148149
H Vihari,1,9,9.0
H Viljoen,23,248,10.782608695652174
HH Pandya,146,1385,9.486301369863014
HV Patel,140,1262,9.014285714285714
Harbhajan Singh,563,4050,7.19360568383659
Harmeet Singh,89,713,8.01123595505618
Harmeet Singh (2),4,34,8.5
I Malhotra,1,23,23.0
I Sharma,319,2682,8.407523510971787
I Sodhi,31,207,6.67741935483871
IC Pandey,77,609,7.909090909090909
IK Pathan,345,2711,7.857971014492754
Imran Tahir,206,1656,8.03883495145631
Iqbal Abdulla,154,1125,7.305194805194805
J Archer,83,676,8.144578313253012
J Behrendorff,19,174,9.157894736842104
J Botha,116,818,7.051724137931035
J Dala,3,35,11.666666666666666
J Searles,7,92,13.142857142857142
J Suchith,45,397,8.822222222222223
J Syed Mohammad,32,286,8.9375
J Theron,37,311,8.405405405405405
J Yadav,37,248,6.702702702702703
JA Morkel,288,2409,8.364583333333334
JD Ryder,40,314,7.85
JD Unadkat,254,2244,8.834645669291339
JDP Oram,40,362,9.05
JDS Neesham,9,96,10.666666666666666
JE Taylor,20,167,8.35
JEC Franklin,26,225,8.653846153846153
JH Kallis,291,2348,8.06872852233677
JJ Bumrah,292,2299,7.873287671232877
JJ van der Wath,12,134,11.166666666666666
JM Kemp,9,58,6.444444444444445
JO Holder,36,313,8.694444444444445
JP Duminy,115,847,7.3652173913043475
JP Faulkner,209,1849,8.84688995215311
JR Hopes,60,562,9.366666666666667
JW Hastings,10,66,6.6
Jaskaran Singh,18,174,9.666666666666666
Joginder Sharma,43,421,9.790697674418604
K Ahmed,38,351,9.236842105263158
K Goel,11,94,8.545454545454545
K Gowtham,60,512,8.533333333333333
K Khejroliya,16,166,10.375
K Paul,28,261,9.321428571428571
K Rabada,70,599,8.557142857142857
K Santokie,8,91,11.375
K Upadhyay,9,81,9.0
KA Pollard,202,1785,8.836633663366337
KAJ Roach,8,80,10.0
KC Cariappa,36,350,9.722222222222221
KH Pandya,159,1159,7.289308176100629
KJ Abbott,16,182,11.375
KK Cooper,96,789,8.21875
KM Asif,6,77,12.833333333333334
KMDN Kulasekara,17,122,7.176470588235294
KP Appanna,36,291,8.083333333333334
KP Pietersen,29,218,7.517241379310345
KS Williamson,1,7,7.0
KV Sharma,187,1482,7.925133689839572
KW Richardson,53,450,8.49056603773585
Kamran Khan,28,248,8.857142857142858
Karanveer Singh,34,323,9.5
Kuldeep Yadav,138,1173,8.5
L Ablish,7,76,10.857142857142858
L Balaji,256,2083,8.13671875
L Ferguson,17,192,11.294117647058824
L Livingstone,1,13,13.0
L Ngidi,26,175,6.730769230769231
L Plunkett,25,235,9.4
LA Carseldine,1,6,6.0
LH Ferguson,13,96,7.384615384615385
LJ Wright,12,125,10.416666666666666
LMP Simmons,3,34,11.333333333333334
LPC Silva,1,21,21.0
LR Shukla,54,458,8.481481481481481
LRPL Taylor,2,24,12.0
M Ali,39,272,6.9743589743589745
M Ashwin,70,570,8.142857142857142
M Kartik,192,1418,7.385416666666667
M Lomror,3,27,9.0
M Manhas,7,42,6.0
M Markande,50,448,8.96
M Morkel,272,2136,7.852941176470588
M Muralitharan,256,1765,6.89453125
M Ntini,35,257,7.3428571428571425
M Santner,14,105,7.5
M Ur Rahman,61,513,8.40983606557377
M Vijay,6,49,8.166666666666666
M Wood,4,52,13.0
M de Lange,18,171,9.5
MA Khote,5,52,10.4
MA Starc,97,725,7.474226804123711
MB Parmar,3,33,11.0
MC Henriques,151,1255,8.311258278145695
MF Maharoof,70,532,7.6
MG Johnson,208,1749,8.408653846153847
MG Neser,4,62,15.5
MJ Clarke,11,72,6.545454545454546
MJ Henry,5,71,14.2
MJ McClenaghan,213,1869,8.774647887323944
MK Tiwary,7,86,12.285714285714286
MM Patel,227,1733,7.634361233480176
MM Sharma,293,2457,8.38566552901024
MN Samuels,36,285,7.916666666666667
MP Stoinis,62,588,9.483870967741936
MR Marsh,54,420,7.777777777777778
MS Gony,148,1317,8.89864864864865
Mandeep Singh,2,26,13.0
Mashrafe Mortaza,4,59,14.75
Mohammad Asif,32,307,9.59375
Mohammad Hafeez,10,71,7.1
Mohammad Nabi,46,314,6.826086956521739
Mohammed Shami,173,1599,9.242774566473988
Mohammed Siraj,93,900,9.67741935483871
Mustafizur Rahman,92,697,7.576086956521739
N Rana,16,124,7.75
N Saini,48,434,9.041666666666666
NB Singh,4,18,4.5
ND Doshi,10,79,7.9
NJ Rimmington,3,20,6.666666666666667
NL McCullum,5,35,7.0
NLTC Perera,119,1031,8.663865546218487
NM Coulter-Nile,95,739,7.778947368421052
O Thomas,10,94,9.4
P Amarnath,22,241,10.954545454545455
P Awana,125,1046,8.368
P Krishna,69,685,9.927536231884059
P Kumar,424,3342,7.882075471698113
P Negi,121,959,7.925619834710743
P Parameswaran,27,226,8.37037037037037
P Prasanth,1,18,18.0
P R Barman,4,56,14.0
P Raj,5,60,12.0
P Sahu,18,152,8.444444444444445
P Suyal,16,154,9.625
PC Valthaty,26,207,7.961538461538462
PD Collingwood,15,101,6.733333333333333
PJ Cummins,61,525,8.60655737704918
PJ Sangwan,134,1202,8.970149253731343
PM Sarvesh Kumar,5,42,8.4
PP Chawla,525,4153,7.91047619047619
PP Ojha,318,2399,7.544025157232705
PV Tambe,110,866,7.872727272727273
Pankaj Singh,50,472,9.44
Parvez Rasool,33,273,8.272727272727273
R Ashwin,489,3391,6.934560327198364
R Bhatia,274,2059,7.514598540145985
R Dhawan,82,655,7.987804878048781
R McLaren,59,558,9.457627118644067
R Ninan,6,65,10.833333333333334
R Parag,14,121,8.642857142857142
R Rampaul,44,319,7.25
R Salam,4,45,11.25
R Sathish,24,233,9.708333333333334
R Sharma,155,1100,7.096774193548387
R Shukla,20,217,10.85
R Tewatia,50,361,7.22
R Vinay Kumar,358,3043,8.5
RA Jadeja,420,3221,7.669047619047619
RA Shaikh,1,11,11.0
RA Tripathi,1,12,12.0
RD Chahar,54,376,6.962962962962963
RE van der Merwe,74,515,6.95945945945946
RG More,6,63,10.5
RG Sharma,56,449,8.017857142857142
RJ Harris,139,1085,7.805755395683454
RJ Peterson,8,70,8.75
RN ten Doeschate,13,94,7.230769230769231
RP Singh,299,2417,8.08361204013378
RR Bhatkal,2,35,17.5
RR Bose,2,24,12.0
RR Powar,71,538,7.577464788732394
RR Raje,24,214,8.916666666666666
RS Bopara,35,301,8.6
RS Gavaskar,1,8,8.0
RV Gomez,16,130,8.125
RW Price,3,33,11.0
Rashid Khan,183,1257,6.868852459016393
S Aravind,128,1057,8.2578125
S Badree,43,329,7.651162790697675
S Curran,34,336,9.882352941176471
S Dhawan,8,72,9.0
S Dube,2,9,4.5
S Gopal,99,753,7.606060606060606
S Kaul,164,1437,8.762195121951219
S Kaushik,34,304,8.941176470588236
S Kuggeleijn,8,73,9.125
S Ladda,23,225,9.782608695652174
S Lamichhane,35,303,8.657142857142857
S Mavi,28,288,10.285714285714286
S Midhun,2,32,16.0
S Nadeem,211,1589,7.530805687203792
S Narwal,18,203,11.277777777777779
S Rana,3,18,6.0
S Randiv,29,223,7.689655172413793
S Rutherford,7,66,9.428571428571429
S Sharma,43,367,8.534883720930232
S Sreesanth,148,1221,8.25
S Sriram,3,49,16.333333333333332
S Tyagi,35,304,8.685714285714285
S Vidyut,2,22,11.0
S Warrier,12,88,7.333333333333333
SA Abbott,5,57,11.4
SA Yadav,1,8,8.0
SB Bangar,25,221,8.84
SB Jakati,182,1474,8.098901098901099
SB Joshi,10,82,8.2
SB Styris,36,278,7.722222222222222
SB Wagh,17,147,8.647058823529411
SC Ganguly,46,370,8.043478260869565
SD Chitnis,6,62,10.333333333333334
SE Bond,31,225,7.258064516129032
SJ Srivastava,47,444,9.446808510638299
SK Raina,155,1139,7.348387096774194
SK Trivedi,252,1944,7.714285714285714
SK Warne,199,1465,7.36180904522613
SL Malinga,478,3511,7.345188284518828
SM Boland,7,56,8.0
SM Harwood,10,74,7.4
SM Pollock,46,307,6.673913043478261
SMSM Senanayake,32,211,6.59375
SN Khan,1,6,6.0
SN Thakur,119,1107,9.302521008403362
SP Narine,429,2939,6.8508158508158505
SPD Smith,1,5,5.0
SR Tendulkar,6,59,9.833333333333334
SR Watson,341,2751,8.067448680351907
SS Agarwal,4,42,10.5
SS Mundhe,1,6,6.0
SS Sarkar,5,34,6.8
ST Jayasuriya,49,396,8.081632653061224
STR Binny,99,767,7.747474747474747
SW Tait,81,668,8.246913580246913
Sachin Baby,2,8,4.0
Sandeep Sharma,249,1967,7.899598393574297
Shahid Afridi,30,237,7.9
Shakib Al Hasan,224,1685,7.522321428571429
Shivam Sharma,19,165,8.68421052631579
Shoaib Ahmed,17,154,9.058823529411764
Shoaib Akhtar,7,54,7.714285714285714
Shoaib Malik,9,87,9.666666666666666
Sohail Tanvir,42,275,6.5476190476190474
Sunny Gupta,3,47,15.666666666666666
Swapnil Singh,10,90,9.0
T Curran,11,121,11.0
T Henderson,6,41,6.833333333333333
T Natarajan,13,116,8.923076923076923
T Shamsi,16,151,9.4375
T Thushara,23,164,7.130434782608695
TA Boult,128,1168,9.125
TG Southee,148,1340,9.054054054054054
TL Suman,25,198,7.92
TM Dilshan,46,368,8.0
TM Head,9,81,9.0
TP Sudhindra,12,137,11.416666666666666
TS Mills,18,157,8.722222222222221
Tejas Baroka,4,33,8.25
UT Yadav,416,3640,8.75
Umar Gul,23,198,8.608695652173912
V Chakravarthy,3,35,11.666666666666666
V Kohli,43,371,8.627906976744185
V Pratap Singh,34,300,8.823529411764707
V Sehwag,23,236,10.26086956521739
V Shankar,14,154,11.0
VR Aaron,155,1392,8.980645161290322
VRV Singh,60,549,9.15
VS Malik,35,268,7.6571428571428575
VS Yeligati,5,61,12.2
VY Mahesh,58,511,8.810344827586206
WA Mota,12,98,8.166666666666666
WD Parnell,97,731,7.536082474226804
WPUJC Vaas,48,364,7.583333333333333
Washington Sundar,59,467,7.915254237288136
Y Gnaneswara Rao,1,7,7.0
Y Nagar,11,125,11.363636363636363
Y Venugopal Rao,36,338,9.38888888888889
YA Abdulla,35,311,8.885714285714286
YK Pathan,193,1443,7.476683937823834
YS Chahal,301,2416,8.0265780730897
Yuvraj Singh,146,1092,7.47945205479452
Z Khan,371,2860,7.708894878706199
