batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values819
SC Ganguly,24.08928571,138,41,6,0,1326,1349,101.73454,21,0.345992149
DJ Hussey,21.67213115,90,60,4,0,1101,1322,120.0726612,19,0.34071388
ST Jayasuriya,25.6,85,38,5,1,573,768,134.0314136,10,0.337121053
Mandeep Singh,18.63855422,161,33,5,0,1254,1547,123.3652313,18,0.335150229
E Lewis,29,36,26,4,0,343,464,135.2769679,8,0.334382866
N Pooran,29.5,10,14,0,0,110,177,160.9090909,3,0.333961271
TM Dilshan,23.06,139,24,8,0,1047,1153,110.1241643,17,0.332865951
HH Pandya,18.32786885,74,69,3,0,736,1118,151.9021739,12,0.331613175
M Vohra,22.57777778,98,39,3,0,800,1016,127,15,0.33126853
RA Tripathi,23.36363636,75,28,4,0,571,771,135.0262697,11,0.323764263
R Parag,33.8,18,5,1,0,133,169,127.0676692,3,0.323131586
CL White,21.57777778,75,38,6,0,774,971,125.4521964,15,0.323058423
KH Pandya,19.89130435,86,36,1,0,635,915,144.0944882,13,0.322210944
P Shaw,24.64,72,19,4,1,435,616,141.6091954,7,0.321794626
MA Agarwal,17.72222222,118,52,5,0,1027,1276,124.2453749,16,0.318723667
SS Tiwary,19.9375,93,45,7,0,1111,1276,114.8514851,16,0.318471051
SP Narine,14.87037037,95,46,4,0,481,803,166.9438669,11,0.317501266
MN van Wyk,33.4,18,1,1,0,135,167,123.7037037,3,0.316671887
RA Jadeja,15.608,136,65,0,0,1632,1951,119.5465686,15,0.316060776
M Ali,22.21428571,20,23,3,0,183,311,169.9453552,4,0.315867575
DJ Bravo,15.13131313,118,60,4,0,1193,1498,125.5658005,15,0.309561778
HH Gibbs,24.61111111,84,31,5,0,837,886,105.8542413,11,0.307652475
NV Ojha,16.54255319,122,78,6,0,1360,1555,114.3382353,11,0.305207527
Ishan Kishan,21.54545455,64,34,3,0,546,711,130.2197802,10,0.30448098
MC Henriques,19.38,86,27,5,0,769,969,126.0078023,12,0.302755985
PD Collingwood,29,9,13,3,0,159,203,127.672956,3,0.301515747
GC Smith,25.48275862,95,9,4,0,691,739,106.9464544,9,0.30072048
S Gill,22.47826087,43,15,4,0,384,517,134.6354167,6,0.293828082
LRPL Taylor,18.83333333,68,45,3,0,847,1017,120.0708383,11,0.292372233
LJ Wright,21.2,15,3,0,0,63,106,168.2539683,2,0.291247786
MJ Lumb,23.16666667,47,6,1,0,198,278,140.4040404,5,0.291000415
JD Ryder,20.82758621,67,19,4,0,466,604,129.6137339,8,0.29098892
Kamran Akmal,21.33333333,12,8,1,0,78,128,164.1025641,1,0.287728019
OA Shah,23,35,23,4,0,405,506,124.9382716,6,0.287544477
V Shankar,21.25925926,34,24,2,0,429,574,133.7995338,6,0.286480114
Y Venugopal Rao,18.94230769,77,37,3,0,865,985,113.8728324,11,0.285665619
EJG Morgan,18.97777778,76,34,4,0,725,854,117.7931034,10,0.284563006
BA Stokes,20.21875,43,25,1,1,493,647,131.2373225,7,0.282811965
KM Jadhav,15.58571429,92,38,3,0,879,1091,124.1183163,11,0.282357345
JR Hopes,21.94736842,49,11,4,0,314,417,132.8025478,4,0.282230102
RS Bopara,24.13636364,39,16,3,0,468,531,113.4615385,6,0.280792422
BJ Rohrer,24.125,22,5,1,0,146,193,132.1917808,3,0.277643534
SN Khan,18.90909091,45,12,1,0,291,416,142.9553265,6,0.277241236
B Stanlake,5,1,0,0,0,2,5,250,0,0.276947942
A Hales,25.33333333,14,6,0,0,119,152,127.7310924,3,0.27681188
JA Morkel,14.55223881,61,54,3,0,712,975,136.9382022,7,0.276709446
SA Asnodkar,22.26315789,59,10,1,0,352,423,120.1704545,7,0.276648694
AC Voges,25.85714286,16,3,0,0,143,181,126.5734266,2,0.276347167
H Brar,22,2,1,0,0,14,22,157.1428571,0,0.275647314
Salman Butt,27.57142857,30,2,1,0,172,193,112.2093023,2,0.274292776
PC Valthaty,21.95652174,63,20,3,1,432,505,116.8981481,5,0.273931748
MJ Guptill,20.84615385,25,14,0,0,197,271,137.5634518,5,0.27333295
MS Bisla,20.46153846,97,23,4,0,737,798,108.2767978,6,0.273063786
JJ Roy,23.25,18,8,1,0,139,186,133.8129496,2,0.272222473
MP Stoinis,19.28,35,18,1,0,373,482,129.2225201,7,0.269411314
GJ Bailey,18.41666667,60,19,2,0,552,663,120.1086957,8,0.267023574
DJ Harris,27.75,11,5,0,0,103,111,107.7669903,2,0.265930892
CJ Anderson,18.55172414,40,31,2,0,436,538,123.3944954,7,0.265801264
CH Morris,14.05405405,37,26,2,0,339,520,153.3923304,5,0.264715776
Shakib Al Hasan,16.5,71,22,2,0,615,759,123.4146341,8,0.264415154
AD Mathews,17.65853659,45,29,1,0,599,724,120.8681135,8,0.264239863
IK Pathan,14.02439024,94,38,1,0,985,1150,116.751269,10,0.264101769
TM Head,20.5,12,8,1,0,151,205,135.7615894,4,0.263712262
SM Katich,21.90909091,26,8,1,0,191,241,126.1780105,3,0.262155612
BJ Haddin,18,2,1,0,0,11,18,163.6363636,0,0.260685437
Umar Gul,9.75,2,5,0,0,19,39,205.2631579,0,0.259597855
STR Binny,13.36363636,66,35,0,0,700,882,126,10,0.257824824
BCJ Cutting,14.11764706,15,19,0,0,146,240,164.3835616,2,0.25613126
Azhar Mahmood,18.47619048,40,13,2,0,311,388,124.7588424,5,0.254540026
TL Suman,17.33333333,55,26,2,0,587,676,115.1618399,6,0.252941411
L Livingstone,18,6,5,0,0,48,72,150,1,0.252055035
SW Billings,17.78947368,33,10,3,0,256,338,132.03125,3,0.251637805
S Sohal,18.4,34,18,2,0,311,368,118.3279743,6,0.249985702
MV Boucher,17.13043478,33,12,0,0,318,394,123.8993711,6,0.24566433
SA Yadav,14.47619048,53,21,1,0,479,608,126.9311065,6,0.245193902
RN ten Doeschate,15.52380952,27,15,1,0,238,326,136.9747899,4,0.24474036
UT Khawaja,21.16666667,14,3,0,0,105,127,120.952381,2,0.244212339
S Curran,11.875,13,3,1,0,55,95,172.7272727,1,0.244088073
Gurkeerat Singh,16.51851852,48,11,2,0,353,446,126.3456091,3,0.242929074
LA Pomersbach,18.875,27,13,1,0,251,302,120.3187251,3,0.242802547
AP Dole,17,3,1,0,0,23,34,147.826087,1,0.242364168
CR Brathwaite,13.42857143,10,16,0,0,120,188,156.6666667,2,0.242245309
AR Patel,13,48,35,0,0,655,806,123.0534351,7,0.241758407
C de Grandhomme,14.9047619,19,18,0,0,229,313,136.6812227,5,0.241718462
Mohammad Nabi,14.6,11,7,0,0,95,146,153.6842105,1,0.24033665
Harbhajan Singh,9.697674419,79,42,1,0,632,834,131.9620253,6,0.238161904
AP Majumdar,21.75,7,2,0,0,77,87,112.987013,2,0.237268588
SM Pollock,18.375,12,8,0,0,116,147,126.7241379,2,0.236372699
NLTC Perera,14.13333333,26,26,0,0,326,424,130.0613497,5,0.236337004
JEC Franklin,20.4375,25,9,1,0,309,327,105.8252427,3,0.236176122
S Vidyut,18.125,22,3,1,0,115,145,126.0869565,2,0.235653331
AC Blizzard,17.14285714,22,2,1,0,91,120,131.8681319,2,0.235381017
SP Fleming,19.6,26,3,0,0,171,196,114.619883,3,0.235133203
M Santner,17.5,0,3,0,0,25,35,140,0,0.234939771
Misbah-ul-Haq,14.625,10,6,0,0,82,117,142.6829268,2,0.230836445
Shahid Afridi,9,7,6,0,0,46,81,176.0869565,1,0.230595887
AL Menaria,17.43478261,24,17,0,0,367,401,109.2643052,5,0.230567593
S Hetmyer,18.6,4,7,1,0,76,93,122.3684211,1,0.229372008
JP Faulkner,11.71111111,36,23,0,0,406,527,129.8029557,6,0.228471584
AM Nayar,13.44,57,20,0,0,588,672,114.2857143,6,0.22800141
K Gowtham,8.705882353,10,10,0,0,86,148,172.0930233,1,0.227810822
D Wiese,15.875,13,4,0,0,94,127,135.106383,1,0.227800115
C Munro,16.36363636,20,8,0,0,144,180,125,2,0.225778617
ER Dwivedi,12,3,2,0,0,15,24,160,0,0.225501905
KK Cooper,9.666666667,9,8,0,0,70,116,165.7142857,1,0.22529197
D Short,17.57142857,11,5,0,0,102,123,120.5882353,2,0.224595507
A Ashish Reddy,12.17391304,17,15,0,0,196,280,142.8571429,2,0.224547159
DB Ravi Teja,15,36,9,1,0,325,375,115.3846154,5,0.223883228
A Flintoff,20.66666667,6,2,0,0,57,62,108.7719298,0,0.221894288
S Sharma,4,2,0,0,0,4,8,200,0,0.221812548
RS Sodhi,4,1,0,0,0,2,4,200,0,0.221587659
LPC Silva,13.33333333,5,1,0,0,27,40,148.1481481,0,0.221174645
YV Takawale,19.2,27,3,0,0,183,192,104.9180328,2,0.221082112
MF Maharoof,12.64285714,12,9,0,0,124,177,142.7419355,1,0.220255416
DL Chahar,10.42857143,2,6,0,0,46,73,158.6956522,1,0.219979735
Bipul Sharma,11,11,9,0,0,124,187,150.8064516,1,0.219586236
DJ Hooda,11.88888889,26,24,1,0,431,535,124.1299304,4,0.219195704
CA Pujara,17.72727273,51,4,1,0,403,390,96.77419355,4,0.219112552
S Rutherford,11.71428571,2,7,0,0,55,82,149.0909091,1,0.217684422
J Botha,14.60714286,39,5,1,0,364,409,112.3626374,4,0.216729609
Niraj Patel,20.16666667,15,1,1,0,124,121,97.58064516,2,0.216196174
C Ingram,15.58333333,20,5,0,0,157,187,119.1082803,2,0.21521043
MR Marsh,16.07142857,9,14,0,0,201,225,111.9402985,3,0.214432511
I Malhotra,7,1,0,0,0,4,7,175,0,0.21267801
DJG Sammy,14.75,15,18,1,0,251,295,117.5298805,1,0.212637575
TR Birt,15,9,2,0,0,59,75,127.1186441,0,0.210644413
Sachin Baby,13.7,11,5,0,0,106,137,129.245283,1,0.210510824
Ankit Sharma,10.25,11,9,0,0,114,164,143.8596491,2,0.210499919
M Manhas,13.52631579,44,10,0,0,486,514,105.7613169,5,0.210035967
DT Christian,13.17647059,22,18,0,0,384,448,116.6666667,2,0.209104624
Y Gnaneswara Rao,19,3,0,0,0,18,19,105.5555556,0,0.207907023
AP Tare,12.55555556,41,11,1,0,285,339,118.9473684,2,0.207697268
LA Carseldine,16.2,11,0,0,0,71,81,114.084507,1,0.206343333
DB Das,13.81818182,23,16,0,0,267,304,113.8576779,2,0.206193718
FY Fazal,16.63636364,23,1,0,0,179,183,102.2346369,3,0.205824167
SP Goswami,15.84210526,32,3,1,0,302,301,99.66887417,3,0.204554905
Rashid Khan,6.411764706,5,9,0,0,67,109,162.6865672,1,0.204399695
LR Shukla,12.27272727,33,16,0,0,358,405,113.1284916,3,0.203255301
BB Samantray,15.625,13,2,1,0,116,125,107.7586207,2,0.202098081
AB McDonald,13.66666667,9,4,0,0,103,123,119.4174757,2,0.202054254
VVS Laxman,14.1,34,4,1,0,271,282,104.0590406,4,0.20199617
MD Mishra,13.94117647,26,8,0,0,213,237,111.2676056,2,0.201333135
SN Thakur,5.142857143,5,1,0,0,21,36,171.4285714,0,0.20060041
P Negi,10.45714286,29,16,0,0,301,366,121.5946844,3,0.200467265
B Chipli,13.33333333,29,7,1,0,256,280,109.375,2,0.198423172
W Jaffer,16.25,14,3,0,0,129,130,100.7751938,2,0.197940129
DAJ Bracewell,12,1,0,0,0,9,12,133.3333333,0,0.197836511
D Salunkhe,11,5,0,0,0,24,33,137.5,0,0.19768612
P Sahu,9.5,1,1,0,0,13,19,146.1538462,0,0.197683063
UBT Chand,15,32,9,1,0,314,300,95.54140127,3,0.197365126
SD Lad,15,1,1,0,0,13,15,115.3846154,0,0.196220564
RR Sarwan,18.25,6,1,0,0,78,73,93.58974359,1,0.196209492
A Joseph,15,2,0,0,0,13,15,115.3846154,0,0.196129421
MC Juneja,17.85714286,11,1,0,0,134,125,93.28358209,1,0.195736591
MJ Clarke,16.33333333,12,0,0,0,96,98,102.0833333,1,0.195627797
Y Nagar,14.25,20,9,0,0,271,285,105.1660517,1,0.195084736
PA Reddy,16.4,15,2,0,0,167,164,98.20359281,1,0.194547219
M Klinger,18.25,9,0,0,0,78,73,93.58974359,0,0.194064241
KMDN Kulasekara,5,1,0,0,0,3,5,166.6666667,0,0.19361936
RE Levi,13.83333333,10,4,0,0,74,83,112.1621622,1,0.192619496
SP Jackson,12.66666667,5,0,0,0,31,38,122.5806452,0,0.191795166
HV Patel,7.2,3,9,0,0,74,108,145.9459459,1,0.19160103
AA Jhunjhunwala,14.46666667,20,5,1,0,218,217,99.5412844,2,0.191561867
CM Gautam,13,19,6,0,0,158,169,106.9620253,3,0.191366625
VH Zol,14.5,3,1,0,0,26,29,111.5384615,0,0.190306418
AS Raut,12.125,13,7,0,0,172,194,112.7906977,2,0.190092322
P R Barman,20,2,0,0,0,25,20,80,0,0.187603228
Sunny Singh,8.6,6,1,0,0,31,43,138.7096774,0,0.186667261
PJ Cummins,8.555555556,5,4,0,0,56,77,137.5,0,0.186521602
KJ Abbott,4.333333333,0,1,0,0,8,13,162.5,0,0.186153556
S Singh,17,1,1,0,0,18,17,94.44444444,0,0.186024712
R Tewatia,9.916666667,11,3,0,0,93,119,127.9569892,0,0.18581591
DH Yagnik,10,23,2,0,0,142,170,119.7183099,2,0.18533743
R Sathish,11.25,22,6,0,0,236,270,114.4067797,0,0.185104647
RJ Quiney,14.71428571,13,3,1,0,105,103,98.0952381,1,0.185007913
BR Dunk,13.33333333,7,0,0,0,36,40,111.1111111,0,0.184230998
NL McCullum,13,0,1,0,0,23,26,113.0434783,0,0.183303824
H Klaasen,11.33333333,5,1,0,0,58,68,117.2413793,1,0.18258432
S Anirudha,11.33333333,11,7,1,0,121,136,112.3966942,1,0.182580147
J Archer,7.727272727,6,4,0,0,62,85,137.0967742,0,0.182011291
Washington Sundar,6.583333333,5,4,0,0,56,79,141.0714286,1,0.181932124
AUK Pathan,5.571428571,5,2,0,0,26,39,150,0,0.181773096
TG Southee,8.846153846,8,4,0,0,91,115,126.3736264,1,0.180576135
Anirudh Singh,15.75,6,1,0,0,69,63,91.30434783,1,0.180342614
Shivam Sharma,2.5,1,0,0,0,3,5,166.6666667,0,0.180264659
SD Chitnis,12.375,10,1,0,0,92,99,107.6086957,1,0.179956982
RE van der Merwe,10.6,13,8,0,0,144,159,110.4166667,2,0.179027733
KV Sharma,9.323529412,18,14,0,0,285,317,111.2280702,2,0.178704236
S Narwal,9.25,6,0,0,0,29,37,127.5862069,0,0.178663176
M Kaif,11.77272727,23,6,0,0,258,259,100.3875969,2,0.178596996
AB Barath,14,5,1,0,0,43,42,97.6744186,1,0.176712646
P Chopra,8,2,0,0,0,6,8,133.3333333,0,0.176522904
S Dube,10,1,3,0,0,33,40,121.2121212,0,0.176359584
AJ Tye,7.833333333,6,4,0,0,72,94,130.5555556,0,0.176249765
K Goel,13.625,17,9,0,0,239,218,91.21338912,1,0.175983071
T Taibu,10.33333333,3,0,0,0,26,31,119.2307692,0,0.175544777
PP Chawla,7.826666667,54,18,0,0,541,587,108.5027726,0,0.175528067
SB Styris,13.1,11,3,0,0,134,131,97.76119403,1,0.175378369
S Rana,11.375,9,1,0,0,82,91,110.9756098,0,0.17530785
DR Martyn,19,1,0,0,0,26,19,73.07692308,0,0.175182842
GH Vihari,13.33333333,23,1,0,0,323,280,86.6873065,3,0.175101587
Harmeet Singh,4.5,3,0,0,0,12,18,150,0,0.174847297
M Morkel,6.3,10,5,0,0,93,126,135.483871,0,0.174475871
JM Kemp,13,1,1,0,0,25,26,104,0,0.174411624
AB Agarkar,9.944444444,13,5,0,0,160,179,111.875,1,0.17439181
GR Napier,15,1,0,0,0,16,15,93.75,0,0.174367281
B Akhil,6.909090909,5,5,0,0,57,76,133.3333333,0,0.173778986
MS Gony,6.6,6,8,0,0,76,99,130.2631579,1,0.172749403
N Saini,11.91666667,16,0,0,0,147,143,97.27891156,2,0.17120524
R Bhatia,7.276595745,24,13,0,0,290,342,117.9310345,0,0.170898963
R Dhawan,9.5625,14,4,0,0,135,153,113.3333333,0,0.170783803
A Choudhary,8.333333333,1,1,0,0,20,25,125,0,0.170440693
R Ashwin,7.64,32,10,0,0,350,382,109.1428571,2,0.170183972
R Singh,10.42857143,5,2,0,0,68,73,107.3529412,1,0.168235191
DJ Jacobs,13.14285714,10,4,0,0,101,92,91.08910891,1,0.168151891
JDS Neesham,14,3,1,0,0,46,42,91.30434783,0,0.167735611
M Lomror,9.333333333,3,0,0,0,24,28,116.6666667,0,0.167574085
AN Ahmed,6,4,1,0,0,27,36,133.3333333,0,0.166970653
R McLaren,12.23076923,14,1,1,0,178,159,89.3258427,2,0.166362813
K Upadhyay,6,0,1,0,0,9,12,133.3333333,0,0.165876371
S Sriram,15.5,3,0,0,0,38,31,81.57894737,0,0.165549678
MN Samuels,11.5,9,7,0,0,174,161,92.52873563,2,0.165326791
J Suchith,9,4,2,0,0,48,54,112.5,1,0.165164553
KAJ Roach,10,1,0,0,0,9,10,111.1111111,0,0.164893723
AR Bawne,12,1,0,0,0,12,12,100,0,0.164517429
S Gopal,9.357142857,14,1,0,0,120,131,109.1666667,0,0.164345268
Shoaib Malik,10.4,5,0,0,0,49,52,106.122449,0,0.163571856
RR Rossouw,10.6,3,3,0,0,51,53,103.9215686,0,0.162882459
A Mithun,5.666666667,4,1,0,0,26,34,130.7692308,0,0.162584368
B Lee,6.526315789,8,8,0,0,102,124,121.5686275,0,0.162190734
JO Holder,7.6,4,2,0,0,32,38,118.75,0,0.161227806
Joginder Sharma,7.2,1,2,0,0,30,36,120,0,0.159869417
R Vinay Kumar,7.404761905,21,9,0,0,289,311,107.6124567,0,0.159332793
SA Abbott,7.5,1,1,0,0,13,15,115.3846154,0,0.156156461
Sohail Tanvir,7.2,3,1,0,0,31,36,116.1290323,0,0.156053834
J Searles,4,0,1,0,0,6,8,133.3333333,0,0.155104748
Avesh Khan,4,1,0,0,0,3,4,133.3333333,0,0.154925743
JDP Oram,9.636363636,6,5,0,0,110,106,96.36363636,1,0.154661354
P Kumar,5.964912281,22,17,0,0,323,340,105.2631579,1,0.15432998
P Dogra,10.58333333,4,5,0,0,141,127,90.07092199,1,0.153677408
MJ McClenaghan,4.55,6,7,0,0,73,91,124.6575342,0,0.15346087
PR Shah,10.22222222,9,2,0,0,97,92,94.84536082,0,0.153342181
MA Khote,8,2,1,0,0,22,24,109.0909091,0,0.152883851
WPUJC Vaas,7.363636364,2,2,0,0,73,81,110.9589041,0,0.152876618
C Madan,15,4,0,0,0,21,15,71.42857143,0,0.152494936
DM Bravo,6,1,0,0,0,5,6,120,0,0.152322477
DNT Zoysa,5.5,1,0,0,0,9,11,122.2222222,0,0.151984775
R Salam,5,0,0,0,0,4,5,125,0,0.151815667
CJ Ferguson,12.25,9,0,0,0,119,98,82.35294118,0,0.151430998
M Kartik,8.071428571,7,1,0,0,109,113,103.6697248,0,0.150604252
MA Starc,8.727272727,12,0,0,0,98,96,97.95918367,0,0.148508016
DL Vettori,7.5625,12,2,0,0,118,121,102.5423729,0,0.147890045
RR Powar,7.444444444,6,1,0,0,64,67,104.6875,0,0.147070677
R Bishnoi,6.333333333,1,2,0,0,17,19,111.7647059,0,0.14662989
MDKJ Perera,7,3,0,0,0,13,14,107.6923077,0,0.145825445
A Mishra,6.814814815,30,5,0,0,410,368,89.75609756,2,0.14496842
Iqbal Abdulla,6.769230769,9,1,0,0,86,88,102.3255814,1,0.14435581
VRV Singh,2,1,0,0,0,3,4,133.3333333,0,0.144241983
AD Nath,9.1,7,2,0,0,99,91,91.91919192,0,0.144128779
CRD Fernando,2,0,0,0,0,3,4,133.3333333,0,0.144100206
DS Lehmann,9,3,0,0,0,19,18,94.73684211,0,0.143655854
K Rabada,10,5,2,0,0,83,70,84.3373494,1,0.142946273
KW Richardson,9,2,1,0,0,39,36,92.30769231,0,0.141744106
AD Mascarenhas,7.181818182,5,1,0,0,79,79,100,0,0.141130573
KC Cariappa,4.8,0,2,0,0,21,24,114.2857143,0,0.140929254
B Sumanth,8.75,3,0,0,0,38,35,92.10526316,0,0.140091912
SK Warne,7.333333333,14,6,0,0,219,198,90.4109589,1,0.139984157
J Syed Mohammad,5.8,4,0,0,0,27,29,107.4074074,0,0.139614613
R Rampaul,7.285714286,3,2,0,0,52,51,98.07692308,0,0.139068322
MG Johnson,6,10,7,0,0,168,168,100,0,0.138984481
JJ van der Wath,6,1,1,0,0,17,18,105.8823529,0,0.138715588
RJ Harris,5.571428571,6,3,0,0,112,117,104.4642857,0,0.138456036
J Arunkumar,7.666666667,5,0,0,0,24,23,95.83333333,0,0.138029159
DW Steyn,5.1875,16,3,0,0,161,166,103.1055901,0,0.137598718
IR Jaggi,10.85714286,7,0,0,0,100,76,76,0,0.136858907
RJ Peterson,6.4,3,1,0,0,32,32,100,0,0.135582437
DT Patil,6.5,1,0,0,0,13,13,100,0,0.135160241
AG Paunikar,9.8,9,0,0,0,61,49,80.32786885,0,0.135141054
MM Sharma,4.96,9,4,0,0,120,124,103.3333333,0,0.134883979
Yashpal Singh,11.75,5,0,0,0,67,47,70.14925373,0,0.134803696
A Mukund,9.5,1,0,0,0,23,19,82.60869565,0,0.133952499
S Aravind,5.9,7,0,0,0,59,59,100,0,0.133870823
AA Bilakhia,9.857142857,5,0,0,0,88,69,78.40909091,0,0.133456738
RR Raje,4,1,1,0,0,18,20,111.1111111,0,0.133302142
F Behardien,4.666666667,2,0,0,0,13,14,107.6923077,0,0.133219281
AC Thomas,5,1,1,0,0,19,20,105.2631579,0,0.132800819
KB Arun Karthik,6.375,6,1,0,0,53,51,96.22641509,0,0.132550049
RD Chahar,3,2,0,0,0,13,15,115.3846154,0,0.132026857
NJ Maddinson,6.666666667,4,0,0,0,21,20,95.23809524,0,0.131880803
NS Naik,11.5,1,0,0,0,33,23,69.6969697,0,0.131845651
AA Chavan,4,2,0,0,0,11,12,109.0909091,0,0.131010322
D du Preez,10,0,0,0,0,13,10,76.92307692,0,0.130582914
L Ronchi,6.8,6,1,0,0,37,34,91.89189189,0,0.130096971
GB Hogg,5.5,1,0,0,0,22,22,100,0,0.13002674
DJ Thornely,9.75,5,2,0,0,54,39,72.22222222,1,0.128787426
B Kumar,4.634146341,17,3,0,0,197,190,96.44670051,0,0.128738341
CR Woakes,5.727272727,5,2,0,0,66,63,95.45454545,0,0.12869183
JD Unadkat,4.583333333,6,1,0,0,54,55,101.8518519,0,0.128682978
RT Ponting,10.11111111,7,2,0,0,129,91,70.54263566,0,0.128295976
M Markande,4.428571429,3,0,0,0,30,31,103.3333333,0,0.128123812
BMAJ Mendis,7.666666667,0,0,0,0,27,23,85.18518519,0,0.126686378
RV Gomez,5.555555556,5,1,0,0,53,50,94.33962264,0,0.126125703
NM Coulter-Nile,4.727272727,3,4,0,0,53,52,98.11320755,0,0.125926709
M Ur Rahman,3,2,0,0,0,11,12,109.0909091,0,0.125668442
SB Jakati,5.6,3,0,0,0,30,28,93.33333333,0,0.124326235
SB Bangar,7,1,3,0,0,58,49,84.48275862,0,0.123888969
AA Noffke,9,1,0,0,0,12,9,75,0,0.12343658
