Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike
J Searles,7.0,13.1428571428571,2.0,4.0,8.0,133.333333333333
J Suchith,45.0,8.82222222222222,12.0,9.0,54.0,112.5
J Syed Mohammad,32.0,8.9375,10.0,5.8,29.0,107.407407407407
J Theron,37.0,8.4054054054054,13.0,2.5,10.0,76.9230769230769
J Yadav,37.0,6.7027027027027,5.0,3.0,6.0,50.0
JA Morkel,288.0,8.36458333333333,96.0,14.5522388059701,975.0,136.938202247191
JD Ryder,40.0,7.85,11.0,20.8275862068965,604.0,129.613733905579
JD Unadkat,254.0,8.83464566929133,83.0,4.58333333333333,55.0,101.851851851851
JDP Oram,40.0,9.05,13.0,9.63636363636363,106.0,96.3636363636363
JDS Neesham,9.0,10.6666666666666,1.0,14.0,42.0,91.3043478260869
JE Taylor,20.0,8.35,6.0,1.5,3.0,75.0
JEC Franklin,26.0,8.65384615384615,9.0,20.4375,327.0,105.825242718446
JH Kallis,291.0,8.06872852233677,74.0,25.5473684210526,2427.0,105.936272370144
JJ Bumrah,292.0,7.87328767123287,91.0,3.7,37.0,94.8717948717948
JJ van der Wath,12.0,11.1666666666666,3.0,6.0,18.0,105.882352941176
JM Kemp,9.0,6.44444444444444,3.0,13.0,26.0,104.0
JO Holder,36.0,8.69444444444444,8.0,7.6,38.0,118.75
JP Duminy,115.0,7.36521739130434,23.0,27.2133333333333,2041.0,121.488095238095
JP Faulkner,209.0,8.84688995215311,76.0,11.7111111111111,527.0,129.802955665024
JR Hopes,60.0,9.36666666666666,14.0,21.9473684210526,417.0,132.8025477707
JW Hastings,10.0,6.6,3.0,,,
Jaskaran Singh,18.0,9.66666666666666,6.0,2.0,8.0,72.7272727272727
Joginder Sharma,43.0,9.7906976744186,13.0,7.2,36.0,120.0
K Ahmed,38.0,9.23684210526315,20.0,0.0,0.0,0.0
K Goel,11.0,8.54545454545454,0.0,13.625,218.0,91.2133891213389
K Gowtham,60.0,8.53333333333333,12.0,8.70588235294117,148.0,172.093023255814
K Khejroliya,16.0,10.375,3.0,,,
K Paul,28.0,9.32142857142857,9.0,4.4,22.0,84.6153846153846
K Rabada,70.0,8.55714285714285,36.0,10.0,70.0,84.3373493975903
K Santokie,8.0,11.375,3.0,,,
K Upadhyay,9.0,9.0,0.0,6.0,12.0,133.333333333333
KA Pollard,202.0,8.83663366336633,67.0,21.090909090909,2784.0,141.751527494908
KAJ Roach,8.0,10.0,0.0,10.0,10.0,111.111111111111
KC Cariappa,36.0,9.72222222222222,8.0,4.8,24.0,114.285714285714
KH Pandya,159.0,7.28930817610062,42.0,19.891304347826,915.0,144.094488188976
KJ Abbott,16.0,11.375,2.0,4.33333333333333,13.0,162.5
KK Cooper,96.0,8.21875,36.0,9.66666666666666,116.0,165.714285714285
KM Asif,6.0,12.8333333333333,3.0,,,
KMDN Kulasekara,17.0,7.17647058823529,6.0,5.0,5.0,166.666666666666
KP Appanna,36.0,8.08333333333333,11.0,0.666666666666666,2.0,50.0
KP Pietersen,29.0,7.51724137931034,9.0,27.8055555555555,1001.0,132.058047493403
KS Williamson,1.0,7.0,0.0,32.170731707317,1319.0,134.454638124362
KV Sharma,187.0,7.92513368983957,59.0,9.3235294117647,317.0,111.228070175438
KW Richardson,53.0,8.49056603773585,20.0,9.0,36.0,92.3076923076922
Kamran Khan,28.0,8.85714285714285,14.0,3.0,3.0,60.0
Karanveer Singh,34.0,9.5,14.0,3.0,12.0,70.5882352941176
Kuldeep Yadav,138.0,8.5,42.0,5.75,46.0,83.6363636363636
L Ablish,7.0,10.8571428571428,5.0,0.0,0.0,0.0
L Balaji,256.0,8.13671875,85.0,2.76923076923076,36.0,72.0
L Ferguson,17.0,11.2941176470588,2.0,,,
L Livingstone,1.0,13.0,0.0,18.0,72.0,150.0
L Ngidi,26.0,6.73076923076923,13.0,,,
L Plunkett,25.0,9.4,4.0,0.5,1.0,33.3333333333333
LA Carseldine,1.0,6.0,1.0,16.2,81.0,114.084507042253
LH Ferguson,13.0,7.38461538461538,5.0,1.0,1.0,100.0
LJ Wright,12.0,10.4166666666666,2.0,21.2,106.0,168.253968253968
LMP Simmons,3.0,11.3333333333333,1.0,37.2068965517241,1079.0,122.892938496583
LPC Silva,1.0,21.0,0.0,13.3333333333333,40.0,148.148148148148
LR Shukla,54.0,8.48148148148148,17.0,12.2727272727272,405.0,113.128491620111
LRPL Taylor,2.0,12.0,0.0,18.8333333333333,1017.0,120.070838252656
M Ali,39.0,6.97435897435897,13.0,22.2142857142857,311.0,169.945355191256
M Ashwin,70.0,8.14285714285714,15.0,0.8,4.0,50.0
M Kartik,192.0,7.38541666666666,39.0,8.07142857142857,113.0,103.669724770642
M Lomror,3.0,9.0,0.0,9.33333333333333,28.0,116.666666666666
M Manhas,7.0,6.0,0.0,13.5263157894736,514.0,105.761316872427
M Markande,50.0,8.96,16.0,4.42857142857142,31.0,103.333333333333
M Morkel,272.0,7.85294117647058,88.0,6.3,126.0,135.483870967741
M Muralitharan,256.0,6.89453125,67.0,2.22222222222222,20.0,66.6666666666666
M Ntini,35.0,7.34285714285714,8.0,5.5,11.0,57.8947368421052
M Santner,14.0,7.5,4.0,17.5,35.0,140.0
M Ur Rahman,61.0,8.40983606557376,18.0,3.0,12.0,109.090909090909
M Vijay,6.0,8.16666666666666,0.0,25.392156862745,2590.0,119.685767097966
M Wood,4.0,13.0,0.0,3.0,3.0,60.0
M de Lange,18.0,9.5,6.0,1.0,1.0,50.0
MA Khote,5.0,10.4,2.0,8.0,24.0,109.090909090909
MA Starc,97.0,7.47422680412371,39.0,8.72727272727272,96.0,97.9591836734693
MB Parmar,3.0,11.0,0.0,,,
MC Henriques,151.0,8.31125827814569,42.0,19.38,969.0,126.007802340702
MF Maharoof,70.0,7.6,33.0,12.6428571428571,177.0,142.74193548387
MG Johnson,208.0,8.40865384615384,66.0,6.0,168.0,100.0
MG Neser,4.0,15.5,0.0,,,
MJ Clarke,11.0,6.54545454545454,3.0,16.3333333333333,98.0,102.083333333333
MJ Henry,5.0,14.2,2.0,,,
MJ McClenaghan,213.0,8.77464788732394,75.0,4.55,91.0,124.657534246575
MK Tiwary,7.0,12.2857142857142,1.0,20.4457831325301,1697.0,113.969106783075
MM Patel,227.0,7.63436123348017,82.0,3.25,39.0,95.1219512195122
MM Sharma,293.0,8.38566552901024,99.0,4.96,124.0,103.333333333333
MN Samuels,36.0,7.91666666666666,10.0,11.5,161.0,92.5287356321839
MP Stoinis,62.0,9.48387096774193,16.0,19.28,482.0,129.222520107238
MR Marsh,54.0,7.77777777777777,20.0,16.0714285714285,225.0,111.940298507462
MS Gony,148.0,8.89864864864865,39.0,6.6,99.0,130.263157894736
Mandeep Singh,2.0,13.0,0.0,18.6385542168674,1547.0,123.365231259968
Mashrafe Mortaza,4.0,14.75,1.0,2.0,2.0,100.0
Mohammad Asif,32.0,9.59375,9.0,1.5,3.0,50.0
Mohammad Hafeez,10.0,7.1,2.0,8.0,64.0,76.1904761904761
Mohammad Nabi,46.0,6.82608695652173,11.0,14.6,146.0,153.684210526315
Mohammed Shami,173.0,9.24277456647398,52.0,3.375,54.0,100.0
Mohammed Siraj,93.0,9.67741935483871,30.0,5.66666666666666,34.0,89.4736842105263
Mustafizur Rahman,92.0,7.57608695652173,28.0,1.0,1.0,33.3333333333333
N Rana,16.0,7.75,7.0,26.9268292682926,1104.0,132.215568862275
N Saini,48.0,9.04166666666666,12.0,11.9166666666666,143.0,97.2789115646258
NB Singh,4.0,4.5,1.0,,,
ND Doshi,10.0,7.9,2.0,0.0,0.0,0.0
NJ Rimmington,3.0,6.66666666666666,0.0,1.0,1.0,100.0
NL McCullum,5.0,7.0,0.0,13.0,26.0,113.043478260869
NLTC Perera,119.0,8.66386554621848,37.0,14.1333333333333,424.0,130.061349693251
NM Coulter-Nile,95.0,7.77894736842105,39.0,4.72727272727272,52.0,98.1132075471698
O Thomas,10.0,9.4,5.0,,,
P Amarnath,22.0,10.9545454545454,7.0,,,
P Awana,125.0,8.368,43.0,1.0,5.0,35.7142857142857
P Krishna,69.0,9.92753623188406,16.0,0.5,1.0,14.2857142857142
P Kumar,424.0,7.88207547169811,102.0,5.96491228070175,340.0,105.263157894736
P Negi,121.0,7.92561983471074,38.0,10.4571428571428,366.0,121.594684385382
P Parameswaran,27.0,8.37037037037037,9.0,0.5,1.0,33.3333333333333
P Prasanth,1.0,18.0,0.0,,,
P R Barman,4.0,14.0,0.0,20.0,20.0,80.0
P Raj,5.0,12.0,1.0,0.0,0.0,0.0
P Sahu,18.0,8.44444444444444,3.0,9.5,19.0,146.153846153846
P Suyal,16.0,9.625,2.0,,,
PC Valthaty,26.0,7.96153846153846,7.0,21.9565217391304,505.0,116.898148148148
PD Collingwood,15.0,6.73333333333333,5.0,29.0,203.0,127.672955974842
PJ Cummins,61.0,8.60655737704918,19.0,8.55555555555555,77.0,137.5
PJ Sangwan,134.0,8.97014925373134,41.0,1.92307692307692,25.0,60.9756097560975
PM Sarvesh Kumar,5.0,8.4,1.0,1.0,1.0,50.0
PP Chawla,525.0,7.91047619047618,156.0,7.82666666666666,587.0,108.502772643253
PP Ojha,318.0,7.5440251572327,99.0,0.842105263157894,16.0,35.5555555555555
PV Tambe,110.0,7.87272727272727,28.0,3.0,18.0,46.1538461538461
Pankaj Singh,50.0,9.44,11.0,1.4,7.0,58.3333333333333
Parvez Rasool,33.0,8.27272727272727,4.0,4.25,17.0,85.0
R Ashwin,489.0,6.93456032719836,138.0,7.64,382.0,109.142857142857
R Bhatia,274.0,7.51459854014598,82.0,7.27659574468085,342.0,117.931034482758
R Dhawan,82.0,7.98780487804878,20.0,9.5625,153.0,113.333333333333
R McLaren,59.0,9.45762711864406,14.0,12.2307692307692,159.0,89.3258426966292
R Ninan,6.0,10.8333333333333,3.0,3.0,3.0,50.0
R Parag,14.0,8.64285714285714,2.0,33.8,169.0,127.067669172932
R Rampaul,44.0,7.25,17.0,7.28571428571428,51.0,98.076923076923
R Salam,4.0,11.25,0.0,5.0,5.0,125.0
R Sathish,24.0,9.70833333333333,6.0,11.25,270.0,114.406779661016
R Sharma,155.0,7.09677419354838,42.0,3.47368421052631,66.0,85.7142857142857
R Shukla,20.0,10.85,7.0,4.75,19.0,82.6086956521739
R Tewatia,50.0,7.22,16.0,9.91666666666666,119.0,127.956989247311
R Vinay Kumar,358.0,8.5,127.0,7.4047619047619,311.0,107.612456747404
RA Jadeja,420.0,7.66904761904761,116.0,15.6079999999999,1951.0,119.546568627451
RA Shaikh,1.0,11.0,0.0,,,
RA Tripathi,1.0,12.0,0.0,23.3636363636363,771.0,135.026269702276
RD Chahar,54.0,6.96296296296296,15.0,3.0,15.0,115.384615384615
RE van der Merwe,74.0,6.95945945945946,25.0,10.6,159.0,110.416666666666
RG More,6.0,10.5,1.0,2.0,2.0,100.0
RG Sharma,56.0,8.01785714285714,16.0,27.0,4914.0,128.77358490566
RJ Harris,139.0,7.80575539568345,47.0,5.57142857142857,117.0,104.464285714285
RJ Peterson,8.0,8.75,3.0,6.4,32.0,100.0
RN ten Doeschate,13.0,7.23076923076923,3.0,15.5238095238095,326.0,136.974789915966
RP Singh,299.0,8.08361204013378,100.0,1.85714285714285,52.0,66.6666666666666
RR Bhatkal,2.0,17.5,0.0,0.0,0.0,0.0
RR Bose,2.0,12.0,0.0,,,
RR Powar,71.0,7.57746478873239,15.0,7.44444444444444,67.0,104.6875
RR Raje,24.0,8.91666666666666,7.0,4.0,20.0,111.111111111111
RS Bopara,35.0,8.6,13.0,24.1363636363636,531.0,113.461538461538
RS Gavaskar,1.0,8.0,0.0,2.0,2.0,25.0
RV Gomez,16.0,8.125,6.0,5.55555555555555,50.0,94.3396226415094
RW Price,3.0,11.0,0.0,,,
Rashid Khan,183.0,6.86885245901639,60.0,6.41176470588235,109.0,162.686567164179
S Aravind,128.0,8.2578125,48.0,5.9,59.0,100.0
S Badree,43.0,7.65116279069767,11.0,2.6,13.0,52.0
S Curran,34.0,9.88235294117647,11.0,11.875,95.0,172.727272727272
S Dhawan,8.0,9.0,4.0,29.3164556962025,4632.0,122.669491525423
S Dube,2.0,4.5,0.0,10.0,40.0,121.212121212121
S Gopal,99.0,7.6060606060606,39.0,9.35714285714285,131.0,109.166666666666
S Kaul,164.0,8.76219512195121,53.0,1.71428571428571,12.0,42.8571428571428
S Kaushik,34.0,8.94117647058823,6.0,0.0,0.0,0.0
S Kuggeleijn,8.0,9.125,2.0,,,
S Ladda,23.0,9.78260869565217,5.0,0.0,0.0,0.0
S Lamichhane,35.0,8.65714285714285,14.0,0.0,0.0,0.0
S Mavi,28.0,10.2857142857142,7.0,4.33333333333333,13.0,86.6666666666666
S Midhun,2.0,16.0,0.0,,,
S Nadeem,211.0,7.53080568720379,47.0,1.88235294117647,32.0,40.506329113924
S Narwal,18.0,11.2777777777777,6.0,9.25,37.0,127.586206896551
S Rana,3.0,6.0,0.0,11.375,91.0,110.975609756097
S Randiv,29.0,7.68965517241379,8.0,2.0,2.0,50.0
S Rutherford,7.0,9.42857142857142,1.0,11.7142857142857,82.0,149.090909090909
S Sharma,43.0,8.53488372093023,13.0,4.0,8.0,200.0
S Sreesanth,148.0,8.25,43.0,2.83333333333333,34.0,59.6491228070175
S Sriram,3.0,16.3333333333333,0.0,15.5,31.0,81.578947368421
S Tyagi,35.0,8.68571428571428,6.0,3.0,3.0,75.0
S Vidyut,2.0,11.0,1.0,18.125,145.0,126.086956521739
S Warrier,12.0,7.33333333333333,2.0,,,
SA Abbott,5.0,11.4,0.0,7.5,15.0,115.384615384615
SA Yadav,1.0,8.0,0.0,14.4761904761904,608.0,126.931106471816
SB Bangar,25.0,8.84,6.0,7.0,49.0,84.4827586206896
SB Jakati,182.0,8.09890109890109,50.0,5.6,28.0,93.3333333333333
SB Joshi,10.0,8.2,1.0,3.0,6.0,37.5
SB Styris,36.0,7.72222222222222,9.0,13.1,131.0,97.7611940298507
SB Wagh,17.0,8.64705882352941,5.0,1.0,2.0,66.6666666666666
SC Ganguly,46.0,8.04347826086956,12.0,24.0892857142857,1349.0,101.734539969834
