Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike,rpw
DL Chahar,116,7.956896552,33,10.42857143,73,158.6956522,2.212121212
A Mishra,519,7.418111753,165,6.814814815,368,89.75609756,2.23030303
HV Patel,140,9.014285714,47,7.2,108,145.9459459,2.29787234
AN Ahmed,58,8.879310345,15,6,36,133.3333333,2.4
CR Woakes,63,9.571428571,26,5.727272727,63,95.45454545,2.423076923
K Paul,28,9.321428571,9,4.4,22,84.61538462,2.444444444
R Vinay Kumar,358,8.5,127,7.404761905,311,107.6124567,2.448818898
MA Starc,97,7.474226804,39,8.727272727,96,97.95918367,2.461538462
RJ Harris,139,7.805755396,47,5.571428571,117,104.4642857,2.489361702
A Joseph,9,10.44444444,6,15,15,115.3846154,2.5
D du Preez,7,8,4,10,10,76.92307692,2.5
MS Gony,148,8.898648649,39,6.6,99,130.2631579,2.538461538
MG Johnson,208,8.408653846,66,6,168,100,2.545454545
R Shukla,20,10.85,7,4.75,19,82.60869565,2.714285714
R Ashwin,489,6.934560327,138,7.64,382,109.1428571,2.768115942
Joginder Sharma,43,9.790697674,13,7.2,36,120,2.769230769
Umar Gul,23,8.608695652,14,9.75,39,205.2631579,2.785714286
RR Raje,24,8.916666667,7,4,20,111.1111111,2.857142857
M Kartik,192,7.385416667,39,8.071428571,113,103.6697248,2.897435897
J Syed Mohammad,32,8.9375,10,5.8,29,107.4074074,2.9
R Rampaul,44,7.25,17,7.285714286,51,98.07692308,3
SM Harwood,10,7.4,3,4.5,9,64.28571429,3
KC Cariappa,36,9.722222222,8,4.8,24,114.2857143,3
J Archer,83,8.144578313,27,7.727272727,85,137.0967742,3.148148148
KK Cooper,96,8.21875,36,9.666666667,116,165.7142857,3.222222222
SK Warne,199,7.361809045,60,7.333333333,198,90.4109589,3.3
P Kumar,424,7.882075472,102,5.964912281,340,105.2631579,3.333333333
S Gopal,99,7.606060606,39,9.357142857,131,109.1666667,3.358974359
TG Southee,148,9.054054054,34,8.846153846,115,126.3736264,3.382352941
DL Vettori,131,6.824427481,34,7.5625,121,102.5423729,3.558823529
WPUJC Vaas,48,7.583333333,22,7.363636364,81,110.9589041,3.681818182
PP Chawla,525,7.91047619,156,7.826666667,587,108.5027726,3.762820513
J Searles,7,13.14285714,2,4,8,133.3333333,4
DAJ Bracewell,4,8,3,12,12,133.3333333,4
T Curran,11,11,6,6,24,85.71428571,4
PJ Cummins,61,8.606557377,19,8.555555556,77,137.5,4.052631579
B Lee,147,7.659863946,30,6.526315789,124,121.5686275,4.133333333
AD Mascarenhas,52,7.019230769,19,7.181818182,79,100,4.157894737
R Bhatia,274,7.51459854,82,7.276595745,342,117.9310345,4.170731707
Parvez Rasool,33,8.272727273,4,4.25,17,85,4.25
A Mithun,48,9.9375,8,5.666666667,34,130.7692308,4.25
RR Powar,71,7.577464789,15,7.444444444,67,104.6875,4.466666667
J Suchith,45,8.822222222,12,9,54,112.5,4.5
Washington Sundar,59,7.915254237,17,6.583333333,79,141.0714286,4.647058824
JO Holder,36,8.694444444,8,7.6,38,118.75,4.75
A Choudhary,17,8.470588235,5,8.333333333,25,125,5
Harbhajan Singh,563,7.193605684,161,9.697674419,834,131.9620253,5.180124224
MF Maharoof,70,7.6,33,12.64285714,177,142.7419355,5.363636364
KV Sharma,187,7.92513369,59,9.323529412,317,111.2280702,5.372881356
AB Agarkar,131,8.961832061,33,9.944444444,179,111.875,5.424242424
DNT Zoysa,11,9.090909091,2,5.5,11,122.2222222,5.5
SP Narine,429,6.850815851,137,14.87037037,803,166.9438669,5.861313869
JJ van der Wath,12,11.16666667,3,6,18,105.8823529,6
SB Joshi,10,8.2,1,3,6,37.5,6
S Narwal,18,11.27777778,6,9.25,37,127.5862069,6.166666667
P Sahu,18,8.444444444,3,9.5,19,146.1538462,6.333333333
RE van der Merwe,74,6.959459459,25,10.6,159,110.4166667,6.36
KJ Abbott,16,11.375,2,4.333333333,13,162.5,6.5
CH Morris,214,8.378504673,78,14.05405405,520,153.3923304,6.666666667
AP Dole,11,10.36363636,5,17,34,147.826087,6.8
