player,MOM1617,MOM819,MOM1819,MOMF
Swapnil Singh,0,0,0,0
T Curran,0,0,0,0
T Henderson,0,0,0,0
T Natarajan,0,0,0,0
T Shamsi,0,0,0,0
T Thushara,0,0,0,0
TM Head,0,0,0,0
TP Sudhindra,0,0,0,0
TS Mills,0,0,0,0
Tejas Baroka,0,0,0,0
V Chakravarthy,0,0,0,0
V Pratap Singh,0,0,0,0
V Shankar,0,0,0,0
VRV Singh,0,0,0,0
VS Malik,0,0,0,0
VS Yeligati,0,0,0,0
VY Mahesh,0,0,0,0
WA Mota,0,0,0,0
WD Parnell,0,0,0,0
Y Gnaneswara Rao,0,0,0,0
Y Nagar,0,0,0,0
Y Venugopal Rao,0,0,0,0
YA Abdulla,0,0,0,0
