bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets,values
AD Russell,175,1584,9.05142857142857,42,175,35,0.2,4,0.0228571428571428,54,60,0.2851537955058865
Mohammed Shami,173,1599,9.24277456647398,50,173,57,0.329479768786127,3,0.0173410404624277,79,52,0.2826515862422262
R Salam,4,45,11.25,1,4,1,0.25,2,0.5,2,0,0.2818150111372101
S Sreesanth,148,1221,8.25,24,148,55,0.371621621621621,27,0.182432432432432,95,43,0.281657247885703
P Prasanth,1,18,18.0,0,1,0,0.0,0,0.0,0,0,0.27391304347826084
Shakib Al Hasan,224,1685,7.52232142857142,35,224,35,0.15625,0,0.0,64,66,0.26855327055845707
Y Nagar,11,125,11.3636363636363,0,11,4,0.363636363636363,4,0.363636363636363,1,4,0.26815298061098136
S Kaul,164,1437,8.76219512195121,55,164,26,0.158536585365853,4,0.024390243902439,47,53,0.2676027248102848
RR Bhatkal,2,35,17.5,0,2,0,0.0,0,0.0,1,0,0.2664926067704242
Sunny Gupta,3,47,15.6666666666666,0,3,2,0.666666666666666,0,0.0,1,0,0.2652963099010643
VR Aaron,155,1392,8.98064516129032,35,155,64,0.412903225806451,6,0.0387096774193548,55,44,0.2639662093395145
S Midhun,2,32,16.0,0,2,1,0.5,0,0.0,0,0,0.2635138480581773
M Muralitharan,256,1765,6.89453125,46,256,62,0.2421875,2,0.0078125,25,67,0.2633260281901877
HH Pandya,146,1385,9.48630136986301,35,146,42,0.287671232876712,3,0.0205479452054794,26,45,0.26013328808499353
SW Tait,81,668,8.24691358024691,27,81,69,0.851851851851851,14,0.172839506172839,38,26,0.25678709836035307
HV Patel,140,1262,9.01428571428571,31,140,38,0.271428571428571,2,0.0142857142857142,38,47,0.25556121515872415
PJ Sangwan,134,1202,8.97014925373134,23,134,50,0.373134328358209,6,0.044776119402985,55,41,0.2546095375299344
TA Boult,128,1168,9.125,47,128,39,0.3046875,1,0.0078125,66,41,0.2532753243603027
SN Thakur,119,1107,9.30252100840336,38,119,41,0.34453781512605,0,0.0,48,40,0.24921288021264593
CK Kapugedera,3,49,16.3333333333333,1,3,0,0.0,0,0.0,0,0,0.24882915290091517
S Sriram,3,49,16.3333333333333,0,3,0,0.0,0,0.0,0,0,0.2486218990149048
S Aravind,128,1057,8.2578125,26,128,31,0.2421875,1,0.0078125,71,48,0.24702193490458893
SK Warne,199,1465,7.36180904522612,36,199,39,0.195979899497487,0,0.0,6,60,0.24699228636448703
RJ Harris,139,1085,7.80575539568345,46,139,48,0.345323741007194,1,0.00719424460431654,71,47,0.24681943828472547
KV Sharma,187,1482,7.92513368983957,13,187,13,0.0695187165775401,0,0.0,26,59,0.24650401794141535
MS Gony,148,1317,8.89864864864865,20,148,32,0.216216216216216,5,0.0337837837837837,81,39,0.24516881361044762
F du Plessis,1,16,16.0,1,1,0,0.0,0,0.0,0,0,0.24368551475557557
TG Southee,148,1340,9.05405405405405,40,148,45,0.304054054054054,3,0.0202702702702702,82,34,0.2433337281237578
AJ Tye,99,871,8.79797979797979,42,99,22,0.222222222222222,2,0.0202020202020202,27,43,0.2431791307932613
P Awana,125,1046,8.368,29,125,23,0.184,6,0.048,45,43,0.24164572501397877
SB Jakati,182,1474,8.09890109890109,23,182,27,0.148351648351648,2,0.0109890109890109,16,50,0.23811199028066876
Mohammed Siraj,93,900,9.67741935483871,36,93,37,0.397849462365591,2,0.021505376344086,23,30,0.2375778063624436
Rashid Khan,183,1257,6.86885245901639,35,183,15,0.081967213114754,0,0.0,22,60,0.23659636482856783
VS Yeligati,5,61,12.2,1,5,6,1.2,0,0.0,1,0,0.2341544483092274
Umar Gul,23,198,8.60869565217391,8,23,12,0.521739130434782,6,0.260869565217391,6,14,0.23346617817917195
K Rabada,70,599,8.55714285714285,32,70,24,0.342857142857142,2,0.0285714285714285,29,36,0.23018236061126077
BB Sran,81,786,9.7037037037037,15,81,32,0.395061728395061,7,0.0864197530864197,38,20,0.22974282876366703
B Lee,147,1126,7.65986394557823,53,147,40,0.272108843537415,13,0.0884353741496598,81,30,0.2295322371088016
DP Nannes,109,815,7.47706422018348,36,109,47,0.431192660550458,4,0.036697247706422,57,38,0.22912009520345258
MJ Henry,5,71,14.2,2,5,1,0.2,0,0.0,3,2,0.22882523257070297
NM Coulter-Nile,95,739,7.77894736842105,24,95,16,0.168421052631578,7,0.0736842105263157,48,39,0.22810288649903476
NLTC Perera,119,1031,8.66386554621848,41,119,15,0.126050420168067,3,0.0252100840336134,30,37,0.22808529481632178
DE Bollinger,97,716,7.38144329896907,40,97,28,0.288659793814432,2,0.0206185567010309,54,43,0.22800040600974997
AB Agarkar,131,1174,8.9618320610687,31,131,37,0.282442748091603,2,0.015267175572519,30,33,0.2277943781857162
MC Henriques,151,1255,8.31125827814569,17,151,31,0.205298013245033,1,0.00662251655629139,29,42,0.2274924579228265
YK Pathan,193,1443,7.47668393782383,15,193,43,0.222797927461139,0,0.0,59,46,0.2272750222030482
S Nadeem,211,1589,7.53080568720379,20,211,25,0.118483412322274,1,0.00473933649289099,45,47,0.22627503710703903
MA Starc,97,725,7.47422680412371,34,97,33,0.34020618556701,4,0.0412371134020618,49,39,0.22614420531926
AS Rajpoot,72,665,9.2361111111111,12,72,21,0.291666666666666,8,0.111111111111111,34,22,0.22560042932385177
R Shukla,20,217,10.85,5,20,7,0.35,3,0.15,9,7,0.22522708236099934
Kuldeep Yadav,138,1173,8.5,21,138,23,0.166666666666666,0,0.0,9,42,0.22480780436292724
DL Chahar,116,923,7.95689655172413,10,116,32,0.275862068965517,5,0.043103448275862,94,33,0.22269076161102405
BJ Rohrer,1,12,12.0,0,1,1,1.0,0,0.0,0,0,0.2226086956521739
A Mithun,48,477,9.9375,13,48,15,0.3125,9,0.1875,11,8,0.22216273080411358
A Singh,90,769,8.54444444444444,30,90,21,0.233333333333333,1,0.0111111111111111,51,34,0.22204871839412546
KK Cooper,96,789,8.21875,44,96,31,0.322916666666666,1,0.0104166666666666,16,36,0.22203191337256184
DT Christian,131,1067,8.14503816793893,33,131,33,0.251908396946564,3,0.0229007633587786,29,36,0.2215171918096834
J Searles,7,92,13.1428571428571,1,7,3,0.428571428571428,0,0.0,1,2,0.22143971017158376
P Suyal,16,154,9.625,4,16,7,0.4375,4,0.25,10,2,0.22058033649014178
A Kumble,163,1089,6.68098159509202,30,163,26,0.159509202453987,5,0.0306748466257668,18,49,0.22013668564681765
T Curran,11,121,11.0,4,11,1,0.0909090909090909,2,0.181818181818181,2,6,0.2200517480553962
Joginder Sharma,43,421,9.7906976744186,9,43,10,0.232558139534883,7,0.162790697674418,4,13,0.2190221043487517
WD Parnell,97,731,7.5360824742268,36,97,45,0.463917525773195,5,0.0515463917525773,45,31,0.21900600026180522
K Paul,28,261,9.32142857142857,9,28,15,0.535714285714285,5,0.178571428571428,1,9,0.21872481320109483
Iqbal Abdulla,154,1125,7.3051948051948,20,154,26,0.168831168831168,0,0.0,46,45,0.21830866874428312
CR Woakes,63,603,9.57142857142857,23,63,22,0.349206349206349,0,0.0,20,26,0.21805136338713868
MK Tiwary,7,86,12.2857142857142,2,7,5,0.714285714285714,0,0.0,0,1,0.21801768334191057
CL White,7,86,12.2857142857142,0,7,5,0.714285714285714,0,0.0,0,1,0.21760317556988984
JJ van der Wath,12,134,11.1666666666666,4,12,2,0.166666666666666,2,0.166666666666666,5,3,0.21749647601226207
Anureet Singh,69,636,9.21739130434782,22,69,16,0.231884057971014,6,0.0869565217391304,27,21,0.2171287133535024
BA Stokes,98,867,8.8469387755102,28,98,27,0.275510204081632,2,0.0204081632653061,26,29,0.21694326346351944
Jaskaran Singh,18,174,9.66666666666666,6,18,5,0.277777777777777,4,0.222222222222222,7,6,0.21674442540941935
M Kartik,192,1418,7.38541666666666,26,192,42,0.21875,5,0.0260416666666666,30,39,0.21571739840731163
P Krishna,69,685,9.92753623188406,27,69,18,0.260869565217391,4,0.0579710144927536,31,16,0.2156360312538535
VY Mahesh,58,511,8.8103448275862,12,58,14,0.241379310344827,7,0.120689655172413,13,22,0.21532126423184386
KM Asif,6,77,12.8333333333333,1,6,2,0.333333333333333,0,0.0,4,3,0.21520417164074693
D Salunkhe,8,80,10.0,1,8,7,0.875,1,0.125,0,1,0.21449197937743286
DR Smith,90,825,9.16666666666666,12,90,19,0.211111111111111,4,0.0444444444444444,11,27,0.21442574013490845
MF Maharoof,70,532,7.6,17,70,21,0.3,5,0.0714285714285714,28,33,0.21362769964824013
P R Barman,4,56,14.0,1,4,0,0.0,0,0.0,0,0,0.21335749371271623
CRD Fernando,39,306,7.84615384615384,14,39,11,0.282051282051282,8,0.205128205128205,13,19,0.21331662644009322
CJ Anderson,50,532,10.64,15,50,21,0.42,0,0.0,12,14,0.21146151486634554
KH Pandya,159,1159,7.28930817610062,17,159,26,0.163522012578616,1,0.00628930817610062,31,42,0.2107934026441408
CR Brathwaite,44,392,8.9090909090909,11,44,9,0.204545454545454,7,0.159090909090909,4,16,0.2097810854515323
Harmeet Singh,89,713,8.01123595505618,23,89,28,0.314606741573033,4,0.0449438202247191,14,30,0.20937012645345868
SJ Srivastava,47,444,9.4468085106383,9,47,31,0.659574468085106,1,0.0212765957446808,22,15,0.2091806857470644
CJ Jordan,33,316,9.57575757575757,11,33,17,0.515151515151515,2,0.0606060606060606,8,14,0.20914910940788553
P Raj,5,60,12.0,0,5,3,0.6,0,0.0,2,1,0.20891809004573225
AP Dole,11,114,10.3636363636363,2,11,6,0.545454545454545,1,0.0909090909090909,5,5,0.20854975895648747
AA Noffke,4,41,10.25,2,4,5,1.25,0,0.0,1,1,0.208513904090807
M Wood,4,52,13.0,2,4,1,0.25,0,0.0,0,0,0.20834735629437875
Azhar Mahmood,91,707,7.76923076923076,36,91,14,0.153846153846153,5,0.0549450549450549,24,31,0.20741115685833422
AN Ahmed,58,515,8.87931034482758,16,58,26,0.448275862068965,5,0.0862068965517241,23,15,0.2070738680467168
KJ Abbott,16,182,11.375,4,16,6,0.375,1,0.0625,7,2,0.20675275600557494
Basil Thampi,68,666,9.79411764705882,25,68,11,0.161764705882352,1,0.0147058823529411,18,20,0.20600050836550948
J Archer,83,676,8.14457831325301,37,83,18,0.216867469879518,3,0.036144578313253,31,27,0.20542817478237257
P Negi,121,959,7.92561983471074,15,121,17,0.140495867768595,0,0.0,7,38,0.2054197471297852
Shoaib Malik,9,87,9.66666666666666,3,9,7,0.777777777777777,1,0.111111111111111,0,2,0.20506464603094254
TP Sudhindra,12,137,11.4166666666666,4,12,3,0.25,1,0.0833333333333333,4,1,0.20409141449397153
B Laughlin,28,293,10.4642857142857,12,28,10,0.357142857142857,1,0.0357142857142857,6,10,0.20364865439895175
V Shankar,14,154,11.0,3,14,6,0.428571428571428,1,0.0714285714285714,0,2,0.20362767514170504
M de Lange,18,171,9.5,5,18,10,0.555555555555555,2,0.111111111111111,10,6,0.20334784379541562
H Viljoen,23,248,10.7826086956521,7,23,12,0.521739130434782,0,0.0,6,8,0.20299608392795926
LRPL Taylor,2,24,12.0,0,2,1,0.5,0,0.0,0,0,0.202644282840786
R McLaren,59,558,9.45762711864406,14,59,19,0.322033898305084,3,0.0508474576271186,25,14,0.20181749515665603
SD Chitnis,6,62,10.3333333333333,1,6,6,1.0,0,0.0,1,2,0.2015076426517089
S Narwal,18,203,11.2777777777777,3,18,7,0.388888888888888,0,0.0,11,6,0.20125025898684837
R Sharma,155,1100,7.09677419354838,26,155,7,0.0451612903225806,0,0.0,15,42,0.20115143529483911
Yuvraj Singh,146,1092,7.47945205479451,20,146,12,0.0821917808219178,1,0.00684931506849315,0,39,0.20038688595417686
AD Mathews,133,1095,8.23308270676691,27,133,24,0.180451127819548,1,0.0075187969924812,21,28,0.19963497596498342
K Ahmed,38,351,9.23684210526315,10,38,14,0.368421052631578,0,0.0,21,20,0.19912689709970027
S Gopal,99,753,7.6060606060606,9,99,3,0.0303030303030303,1,0.0101010101010101,7,39,0.19800463848621114
O Thomas,10,94,9.4,2,10,1,0.1,2,0.2,6,5,0.19800281190304825
Mandeep Singh,2,26,13.0,0,2,0,0.0,0,0.0,0,0,0.1978616741451338
L Livingstone,1,13,13.0,0,1,0,0.0,0,0.0,0,0,0.1978260869565217
C Ganapathy,1,13,13.0,0,1,0,0.0,0,0.0,0,0,0.1978260869565217
CH Gayle,92,750,8.15217391304347,25,92,46,0.5,3,0.0326086956521739,20,19,0.19742211640030952
S Mavi,28,288,10.2857142857142,7,28,11,0.392857142857142,1,0.0357142857142857,13,7,0.19680716100022003
BW Hilfenhaus,62,497,8.01612903225806,16,62,15,0.241935483870967,3,0.0483870967741935,40,23,0.1957523107863731
K Santokie,8,91,11.375,4,8,3,0.375,0,0.0,3,3,0.19521907360143692
VRV Singh,60,549,9.15,18,60,7,0.116666666666666,4,0.0666666666666666,13,16,0.19484131137806363
BE Hendricks,25,239,9.56,9,25,10,0.4,1,0.04,10,11,0.19420307933185615
N Saini,48,434,9.04166666666666,15,48,6,0.125,5,0.104166666666666,23,12,0.19405719511199643
KAJ Roach,8,80,10.0,3,8,3,0.375,1,0.125,3,0,0.1935028002889696
AF Milne,18,185,10.2777777777777,6,18,11,0.611111111111111,0,0.0,7,5,0.1930711290788602
PJ Cummins,61,525,8.60655737704918,20,61,21,0.344262295081967,1,0.0163934426229508,21,19,0.1928772880504418
A Dananjaya,4,48,12.0,0,4,1,0.25,0,0.0,1,0,0.1928681289737354
L Ablish,7,76,10.8571428571428,3,7,3,0.428571428571428,0,0.0,2,5,0.19280938738665607
A Ashish Reddy,45,400,8.88888888888889,18,45,8,0.177777777777777,2,0.0444444444444444,1,19,0.19208711891146776
Mustafizur Rahman,92,697,7.57608695652173,39,92,11,0.119565217391304,2,0.0217391304347826,25,28,0.1916845037414685
S Curran,34,336,9.88235294117647,13,34,8,0.235294117647058,1,0.0294117647058823,10,11,0.19155186806445496
J Dala,3,35,11.6666666666666,0,3,1,0.333333333333333,0,0.0,1,0,0.19109341135033966
L Ferguson,17,192,11.2941176470588,7,17,5,0.294117647058823,0,0.0,7,2,0.19044399232024845
SA Abbott,5,57,11.4,0,5,2,0.4,0,0.0,3,0,0.1900786248911892
A Uniyal,6,67,11.1666666666666,3,6,2,0.333333333333333,0,0.0,2,3,0.18995101706073705
S Vidyut,2,22,11.0,0,2,1,0.5,0,0.0,0,1,0.18928859366409778
R Dhawan,82,655,7.98780487804878,15,82,31,0.378048780487804,3,0.0365853658536585,13,20,0.189202722827645
STR Binny,99,767,7.74747474747474,10,99,16,0.161616161616161,1,0.0101010101010101,26,28,0.1880384119051374
YA Abdulla,35,311,8.88571428571428,10,35,12,0.342857142857142,1,0.0285714285714285,14,15,0.18799140250088042
MP Stoinis,62,588,9.48387096774193,10,62,12,0.193548387096774,0,0.0,9,16,0.1874663482894654
PV Tambe,110,866,7.87272727272727,13,110,19,0.172727272727272,0,0.0,13,28,0.18739715892634196
Kamran Khan,28,248,8.85714285714285,6,28,10,0.357142857142857,1,0.0357142857142857,14,14,0.18661679190019909
Pankaj Singh,50,472,9.44,8,50,14,0.28,1,0.02,25,11,0.18654949454050432
KW Richardson,53,450,8.49056603773585,18,53,13,0.245283018867924,0,0.0,27,20,0.1859528702601368
LR Shukla,54,458,8.48148148148148,14,54,16,0.296296296296296,2,0.037037037037037,5,17,0.18552525215296767
SK Raina,155,1139,7.34838709677419,24,155,22,0.141935483870967,0,0.0,11,30,0.18548567471554836
A Joseph,9,94,10.4444444444444,2,9,3,0.333333333333333,0,0.0,4,6,0.18475063647074122
M Ur Rahman,61,513,8.40983606557376,11,61,23,0.377049180327868,0,0.0,20,18,0.1840368309035837
DNT Zoysa,11,100,9.09090909090909,3,11,1,0.0909090909090909,2,0.181818181818181,6,2,0.1839569892824388
Karanveer Singh,34,323,9.5,4,34,9,0.264705882352941,0,0.0,2,14,0.18352601875234714
KC Cariappa,36,350,9.72222222222222,3,36,6,0.166666666666666,2,0.0555555555555555,6,8,0.18340159849624163
D Wiese,47,409,8.70212765957446,11,47,11,0.234042553191489,1,0.0212765957446808,10,17,0.18313316020246403
RR Bose,2,24,12.0,0,2,0,0.0,0,0.0,2,0,0.18294962635223638
B Geeves,8,91,11.375,1,8,1,0.125,0,0.0,4,2,0.18288828157147147
RA Tripathi,1,12,12.0,0,1,0,0.0,0,0.0,0,0,0.18260869565217389
DL Vettori,131,894,6.82442748091603,29,131,8,0.0610687022900763,0,0.0,15,34,0.1825173773870238
J Theron,37,311,8.4054054054054,17,37,12,0.324324324324324,2,0.054054054054054,11,13,0.18237809873428143
C de Grandhomme,37,338,9.13513513513513,3,37,16,0.432432432432432,2,0.054054054054054,2,7,0.1823611929306898
Mohammad Asif,32,307,9.59375,10,32,6,0.1875,1,0.03125,15,9,0.18196298501797972
A Symonds,88,694,7.88636363636363,14,88,17,0.193181818181818,1,0.0113636363636363,19,23,0.18172743353127135
AA Kazi,2,21,10.5,0,2,1,0.5,0,0.0,0,1,0.18167989801192386
DJG Sammy,40,354,8.85,9,40,7,0.175,2,0.05,4,14,0.18160161518357823
D Kalyankrishna,8,88,11.0,1,8,2,0.25,0,0.0,0,2,0.1815710728094403
P Amarnath,22,241,10.9545454545454,3,22,0,0.0,0,0.0,1,7,0.18125328401130958
MB Parmar,3,33,11.0,0,3,1,0.333333333333333,0,0.0,1,0,0.1809484838141088
JR Hopes,60,562,9.36666666666666,18,60,9,0.15,0,0.0,3,14,0.1808882910147679
GB Hogg,77,585,7.59740259740259,16,77,17,0.22077922077922,1,0.0129870129870129,8,25,0.1808258353978914
Avesh Khan,26,264,10.1538461538461,4,26,3,0.115384615384615,1,0.0384615384615384,16,5,0.1802926964641604
K Khejroliya,16,166,10.375,3,16,6,0.375,0,0.0,3,3,0.18007912591997557
JDP Oram,40,362,9.05,13,40,6,0.15,1,0.025,18,13,0.17974981144098234
WPUJC Vaas,48,364,7.58333333333333,8,48,8,0.166666666666666,2,0.0416666666666666,33,22,0.1797247944249311
V Sehwag,23,236,10.2608695652173,4,23,1,0.0434782608695652,1,0.0434782608695652,2,6,0.17966593987639612
V Chakravarthy,3,35,11.6666666666666,0,3,0,0.0,0,0.0,1,1,0.17962178014466593
GJ Maxwell,70,617,8.81428571428571,5,70,15,0.214285714285714,0,0.0,11,17,0.1795219742815137
V Kohli,43,371,8.62790697674418,5,43,8,0.186046511627906,6,0.13953488372093,0,5,0.17848251580198893
JO Holder,36,313,8.69444444444444,4,36,9,0.25,3,0.0833333333333333,16,8,0.1783843622100353
JDS Neesham,9,96,10.6666666666666,0,9,3,0.333333333333333,0,0.0,1,1,0.177951245305324
Bipul Sharma,72,581,8.06944444444444,6,72,15,0.208333333333333,0,0.0,13,22,0.17784162039359938
LJ Wright,12,125,10.4166666666666,4,12,4,0.333333333333333,0,0.0,1,2,0.17694437671677435
J Botha,116,818,7.05172413793103,18,116,19,0.163793103448275,0,0.0,32,27,0.17683511998373494
MR Marsh,54,420,7.77777777777777,13,54,10,0.185185185185185,2,0.037037037037037,12,20,0.17681882787398973
JP Duminy,115,847,7.36521739130434,11,115,32,0.278260869565217,0,0.0,27,23,0.17648784845631843
RS Bopara,35,301,8.6,7,35,16,0.457142857142857,0,0.0,0,13,0.17601814877756397
RG More,6,63,10.5,3,6,2,0.333333333333333,0,0.0,1,1,0.17593001351346185
Sohail Tanvir,42,275,6.54761904761904,18,42,19,0.452380952380952,1,0.0238095238095238,22,24,0.17572409838762965
S Tyagi,35,304,8.68571428571428,2,35,8,0.228571428571428,3,0.0857142857142857,28,6,0.17552912144028734
LMP Simmons,3,34,11.3333333333333,2,3,0,0.0,0,0.0,0,1,0.174811152392846
AC Thomas,53,416,7.84905660377358,19,53,10,0.188679245283018,2,0.0377358490566037,30,16,0.1746922496885744
Anand Rajan,25,206,8.24,7,25,12,0.48,1,0.04,7,10,0.1745818976432611
S Rutherford,7,66,9.42857142857142,1,7,5,0.714285714285714,0,0.0,0,1,0.17433216858633618
IC Pandey,77,609,7.9090909090909,6,77,5,0.0649350649350649,2,0.0259740259740259,44,19,0.17418598634552612
M Markande,50,448,8.96,7,50,5,0.1,0,0.0,0,16,0.17332960957357513
H Gurney,27,247,9.14814814814814,9,27,6,0.222222222222222,1,0.037037037037037,11,7,0.17300910246141343
S Ladda,23,225,9.78260869565217,6,23,2,0.0869565217391304,1,0.0434782608695652,3,5,0.1728326649135348
RR Raje,24,214,8.91666666666666,7,24,8,0.333333333333333,1,0.0416666666666666,1,7,0.17280894165326102
AUK Pathan,7,63,9.0,3,7,6,0.857142857142857,0,0.0,0,0,0.1720775208145484
BCJ Cutting,48,434,9.04166666666666,13,48,7,0.145833333333333,0,0.0,7,12,0.17119993924837276
R Ninan,6,65,10.8333333333333,1,6,0,0.0,0,0.0,0,3,0.17082536867581719
M Ashwin,70,570,8.14285714285714,13,70,17,0.242857142857142,1,0.0142857142857142,3,15,0.1700178357641281
V Pratap Singh,34,300,8.8235294117647,7,34,7,0.205882352941176,0,0.0,16,12,0.16991472191168222
R Sathish,24,233,9.70833333333333,5,24,5,0.208333333333333,0,0.0,0,6,0.16909382811379764
ST Jayasuriya,49,396,8.08163265306122,10,49,15,0.306122448979591,0,0.0,1,16,0.1689468941305737
JEC Franklin,26,225,8.65384615384615,4,26,2,0.0769230769230769,2,0.0769230769230769,2,9,0.1689298595919712
S Sharma,43,367,8.53488372093023,13,43,9,0.209302325581395,0,0.0,13,13,0.16862658126560415
A Roy,2,14,7.0,0,2,3,1.5,0,0.0,0,1,0.16841902844670648
Y Venugopal Rao,36,338,9.38888888888889,4,36,8,0.222222222222222,0,0.0,7,7,0.16793846935331283
SM Harwood,10,74,7.4,4,10,12,1.2,0,0.0,3,3,0.16780111754387855
DJ Hussey,53,485,9.15094339622641,9,53,7,0.132075471698113,0,0.0,6,10,0.16778537592510878
RW Price,3,33,11.0,0,3,0,0.0,0,0.0,1,0,0.1676151504807755
J Suchith,45,397,8.82222222222222,1,45,9,0.2,0,0.0,8,12,0.16758609749212774
RA Shaikh,1,11,11.0,0,1,0,0.0,0,0.0,1,0,0.1675439761035513
RG Sharma,56,449,8.01785714285714,8,56,15,0.267857142857142,0,0.0,9,16,0.1675017615853313
RR Powar,71,538,7.57746478873239,4,71,25,0.352112676056337,1,0.0140845070422535,22,15,0.1668150845234985
GS Sandhu,8,86,10.75,4,8,0,0.0,0,0.0,1,1,0.16667945626945
