batsman,values819,values1617,values1819
TL Suman,0.252941411,0,0
S Sohal,0.249985702,0,0
MV Boucher,0.24566433,0,0
SA Yadav,0.245193902,0.287226558,0
RN ten Doeschate,0.24474036,0,0
UT Khawaja,0.244212339,0.275684836,0
LA Pomersbach,0.242802547,0,0
AP Dole,0.242364168,0,0
AP Majumdar,0.237268588,0,0
SM Pollock,0.236372699,0,0
NLTC Perera,0.236337004,0.280520843,0
JEC Franklin,0.236176122,0,0
S Vidyut,0.235653331,0,0
AC Blizzard,0.235381017,0,0
SP Fleming,0.235133203,0,0
Misbah-ul-Haq,0.230836445,0,0
Shahid Afridi,0.230595887,0,0
AL Menaria,0.230567593,0,0
JP Faulkner,0.228471584,0.202550669,0
AM Nayar,0.22800141,0,0
D Wiese,0.227800115,0.159692864,0
ER Dwivedi,0.225501905,0.238378123,0
KK Cooper,0.22529197,0,0
A Ashish Reddy,0.224547159,0.265995074,0
DB Ravi Teja,0.223883228,0,0
A Flintoff,0.221894288,0,0
RS Sodhi,0.221587659,0,0
LPC Silva,0.221174645,0,0
YV Takawale,0.221082112,0,0
MF Maharoof,0.220255416,0,0
Bipul Sharma,0.219586236,0.251139529,0
CA Pujara,0.219112552,0,0
J Botha,0.216729609,0,0
Niraj Patel,0.216196174,0,0
MR Marsh,0.214432511,0.104363366,0
I Malhotra,0.21267801,0,0
DJG Sammy,0.212637575,0,0
TR Birt,0.210644413,0,0
Sachin Baby,0.210510824,0.252222062,0
M Manhas,0.210035967,0,0
Y Gnaneswara Rao,0.207907023,0,0
AP Tare,0.207697268,0.101024632,0
LA Carseldine,0.206343333,0,0
DB Das,0.206193718,0,0
FY Fazal,0.205824167,0,0
LR Shukla,0.203255301,0,0
BB Samantray,0.202098081,0,0
AB McDonald,0.202054254,0,0
VVS Laxman,0.20199617,0,0
MD Mishra,0.201333135,0,0
B Chipli,0.198423172,0,0
W Jaffer,0.197940129,0,0
DAJ Bracewell,0.197836511,0,0
D Salunkhe,0.19768612,0,0
P Sahu,0.197683063,0.208144013,0
UBT Chand,0.197365126,7.69E-05,0
RR Sarwan,0.196209492,0,0
MC Juneja,0.195736591,0,0
MJ Clarke,0.195627797,0,0
Y Nagar,0.195084736,0,0
PA Reddy,0.194547219,0,0
M Klinger,0.194064241,0,0
KMDN Kulasekara,0.19361936,0,0
RE Levi,0.192619496,0,0
SP Jackson,0.191795166,0.201238081,0
AA Jhunjhunwala,0.191561867,0,0
CM Gautam,0.191366625,0,0
VH Zol,0.190306418,0,0
AS Raut,0.190092322,0,0
Sunny Singh,0.186667261,0,0
PJ Cummins,0.186521602,0.215664205,0
KJ Abbott,0.186153556,0.198442143,0
DH Yagnik,0.18533743,0,0
R Sathish,0.185104647,0.151629557,0
RJ Quiney,0.185007913,0,0
BR Dunk,0.184230998,0,0
NL McCullum,0.183303824,0,0
S Anirudha,0.182580147,0,0
AUK Pathan,0.181773096,0,0
Anirudh Singh,0.180342614,0,0
Shivam Sharma,0.180264659,0,0
SD Chitnis,0.179956982,0,0
RE van der Merwe,0.179027733,0,0
KV Sharma,0.178704236,0.182922151,0
S Narwal,0.178663176,0,0
M Kaif,0.178596996,0,0
AB Barath,0.176712646,0,0
K Goel,0.175983071,0,0
T Taibu,0.175544777,0,0
SB Styris,0.175378369,0,0
S Rana,0.17530785,0,0
DR Martyn,0.175182842,0,0
GH Vihari,0.175101587,0,0
Harmeet Singh,0.174847297,0,0
M Morkel,0.174475871,0.112284177,0
JM Kemp,0.174411624,0,0
AB Agarkar,0.17439181,0,0
GR Napier,0.174367281,0,0
B Akhil,0.173778986,0,0
MS Gony,0.172749403,0,0
R Bhatia,0.170898963,0.195640441,0
R Dhawan,0.170783803,0.287894794,0
A Choudhary,0.170440693,0.180096894,0
DJ Jacobs,0.168151891,0,0
JDS Neesham,0.167735611,0,0
AN Ahmed,0.166970653,0,0
R McLaren,0.166362813,0,0
K Upadhyay,0.165876371,0,0
S Sriram,0.165549678,0,0
MN Samuels,0.165326791,0.139608221,0
KAJ Roach,0.164893723,0,0
AR Bawne,0.164517429,0.169550235,0
Shoaib Malik,0.163571856,0,0
RR Rossouw,0.162882459,0,0
A Mithun,0.162584368,0,0
B Lee,0.162190734,0,0
JO Holder,0.161227806,0.149947199,0
Joginder Sharma,0.159869417,0,0
SA Abbott,0.156156461,0,0
Sohail Tanvir,0.156053834,0,0
JDP Oram,0.154661354,0,0
P Kumar,0.15432998,0.119856909,0
P Dogra,0.153677408,0,0
PR Shah,0.153342181,0,0
