batsman,values819,values1617,values1819,finalvalue
L Ronchi,0.130096971,0,0,0.195145457
GB Hogg,0.13002674,0,0,0.19504011
DJ Thornely,0.128787426,0,0,0.193181139
RT Ponting,0.128295976,0,0,0.192443964
BMAJ Mendis,0.126686378,0,0,0.190029567
L Plunkett,0.036032177,0,0.027186785,0.189982191
RV Gomez,0.126125703,0,0,0.189188555
SB Bangar,0.123888969,0,0,0.185833454
AA Noffke,0.12343658,0,0,0.18515487
Mohammad Hafeez,0.121955865,0,0,0.182933798
S Chanderpaul,0.121452438,0,0,0.182178657
DE Bollinger,0.120214885,0,0,0.180322328
A Chopra,0.120172599,0,0,0.180258899
CA Ingram,0.119092944,0,0,0.178639416
VS Malik,0.11899568,0,0,0.17849352
SS Shaikh,0.118046264,0,0,0.177069396
B Laughlin,0.045287909,0,0.020959721,0.172730469
S Kaul,0.05236375,1.92E-05,0.018648931,0.17185748
MM Patel,0.114099674,0,0,0.171149511
SW Tait,0.11395091,0,0,0.170926365
Harpreet Singh,0.11302243,0,0,0.169533645
WA Mota,0.112889547,0,0,0.169334321
X Thalaivan Sargunam,0.112502369,0,0,0.168753554
VS Yeligati,0.110725317,0,0,0.166087975
Mashrafe Mortaza,0.110725317,0,0,0.166087975
RG More,0.110725317,0,0,0.166087975
CK Langeveldt,0.110674555,0,0,0.166011832
WD Parnell,0.10927134,0,0,0.16390701
R Shukla,0.108720345,0,0,0.163080518
M Rawat,0.107420794,0,0,0.161131191
R Sharma,0.107253554,0,0,0.160880331
SJ Srivastava,0.106788366,0,0,0.160182549
AN Ghosh,0.106500431,0,0,0.159750646
MS Wade,0.106397333,0,0,0.159596
NJ Rimmington,0.105360283,0,0,0.158040425
DP Vijaykumar,0.105360283,0,0,0.158040425
BA Bhatt,0.102111765,0,0,0.153167648
T Henderson,0.098636949,0,0,0.147955424
CJ McKay,0.096282106,0,0,0.144423159
CK Kapugedera,0.095560401,0,0,0.143340602
S Tyagi,0.091095101,0,0,0.136642652
GD McGrath,0.090918151,0,0,0.136377227
FH Edwards,0.090776374,0,0,0.136164561
J Theron,0.090660588,0,0,0.135990882
H Gurney,0.025379285,0,0.01929593,0.134548578
