bowler,values819,values1617,values1819
R Rampaul,0.165703659,0,0
CK Langeveldt,0.165358815,0,0
BA Bhatt,0.164442354,0,0
MA Khote,0.16254113,0,0
J Syed Mohammad,0.161805436,0,0
Gagandeep Singh,0.161377253,0,0
AB McDonald,0.160919447,0,0
P Parameswaran,0.160755928,0,0
T Thushara,0.160656522,0,0
JE Taylor,0.159998246,0,0
A Nel,0.159539179,0,0
SB Bangar,0.159033075,0,0
D du Preez,0.15863616,0,0
SB Wagh,0.158285815,0,0
AM Salvi,0.157384275,0,0
SR Tendulkar,0.156689538,0,0
WA Mota,0.156275979,0,0
Mohammad Hafeez,0.156087167,0,0
AM Nayar,0.155780824,0,0
DP Vijaykumar,0.155028378,0,0
KP Appanna,0.154492933,0,0
FY Fazal,0.15448571,0,0
SC Ganguly,0.15417165,0,0
B Akhil,0.15188677,0,0
Shahid Afridi,0.151858949,0,0
A Flintoff,0.151853951,0,0
AD Mascarenhas,0.151620439,0,0
TL Suman,0.151389434,0,0
Shoaib Ahmed,0.151162286,0,0
AA Chavan,0.15108371,0,0
Shoaib Akhtar,0.150839183,0,0
S Dhawan,0.150110456,0,0
VS Malik,0.149665388,0,0
JD Ryder,0.148512087,0,0
KP Pietersen,0.147224698,0,0
K Upadhyay,0.147046139,0,0
BAW Mendis,0.146851827,0,0
M Ntini,0.146769987,0,0
AG Murtaza,0.146229878,0,0
GD McGrath,0.14609987,0,0
SB Styris,0.14552811,0,0
PC Valthaty,0.145135226,0,0
DB Ravi Teja,0.143961862,0,0
AA Jhunjhunwala,0.143214593,0,0
S Randiv,0.142109517,0,0
Harmeet Singh (2),0.141621633,0,0
Shivam Sharma,0.141067423,0,0
FH Edwards,0.140621345,0,0
SE Bond,0.140169039,0,0
AC Voges,0.140050301,0,0
RJ Peterson,0.139913496,0,0
TM Dilshan,0.139101862,0,0
RV Gomez,0.138259833,0,0
PM Sarvesh Kumar,0.13798281,0,0
DAJ Bracewell,0.137790924,0,0
AS Raut,0.137513378,0,0
SM Pollock,0.136239452,0,0
KMDN Kulasekara,0.135427134,0,0
AJ Finch,0.135123644,0,0
RN ten Doeschate,0.13471439,0,0
K Goel,0.134031761,0,0
SS Mundhe,0.133318722,0,0
LA Carseldine,0.133318722,0,0
CJ McKay,0.133229859,0,0
DJ Harris,0.132162486,0,0
AL Menaria,0.132028926,0,0
ND Doshi,0.129133603,0,0
SB Joshi,0.127379103,0,0
DJ Muthuswami,0.127340061,0,0
SMSM Senanayake,0.125983318,0,0
C Nanda,0.124505855,0,0
RS Gavaskar,0.121946384,0,0
SA Yadav,0.121891802,0,0
A Chandila,0.121298845,0,0
JM Kemp,0.117478024,0,0
PD Collingwood,0.115766182,0,0
BMAJ Mendis,0.111569268,0,0
GR Napier,0.108642875,0,0
GH Vihari,0.108230035,0,0
NL McCullum,0.106969431,0,0
T Henderson,0.106646907,0,0
Y Gnaneswara Rao,0.106521739,0,0
SS Sarkar,0.106256745,0,0
MJ Clarke,0.105752975,0,0
DJ Thornely,0.104183723,0,0
NJ Rimmington,0.101825793,0,0
M Manhas,0.091725125,0,0
S Rana,0.091582776,0,0
AM Rahane,0.077948659,0,0
SPD Smith,0.07629421,0,0
AC Gilchrist,0.002068956,0,0
