bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets,values
R Salam,4,45,11.25,1,4,1,0.25,2,0.5,2,0,0.2922810217112795
BB Sran,26,301,11.576923076923,7,26,15,0.576923076923076,2,0.0769230769230769,14,6,0.29129136302431935
TG Southee,38,410,10.7894736842105,13,38,16,0.421052631578947,1,0.0263157894736842,22,9,0.2902099674896292
A Mishra,77,545,7.07792207792207,7,77,7,0.0909090909090909,0,0.0,2,23,0.28243161560268204
MM Sharma,34,369,10.8529411764705,13,34,6,0.176470588235294,2,0.0588235294117647,15,8,0.2779356935661173
N Saini,48,434,9.04166666666666,15,48,6,0.125,5,0.104166666666666,23,12,0.2774684342573913
A Singh,10,130,13.0,2,10,5,0.5,0,0.0,7,3,0.27686119193970454
Shakib Al Hasan,69,562,8.14492753623188,6,69,6,0.0869565217391304,0,0.0,17,18,0.27455486859892836
DS Kulkarni,55,543,9.87272727272727,6,55,15,0.272727272727272,1,0.0181818181818181,40,10,0.27313144649763166
HV Patel,26,263,10.1153846153846,7,26,14,0.538461538461538,1,0.0384615384615384,6,10,0.2724458032705129
B Laughlin,21,221,10.5238095238095,9,21,7,0.333333333333333,1,0.0476190476190476,6,9,0.27088979760887927
CR Woakes,19,210,11.0526315789473,9,19,8,0.421052631578947,0,0.0,8,8,0.2708455036507048
S Curran,34,336,9.88235294117647,13,34,8,0.235294117647058,1,0.0294117647058823,10,11,0.2704732646649947
K Paul,28,261,9.32142857142857,9,28,15,0.535714285714285,5,0.178571428571428,1,9,0.27013862211937584
T Curran,11,121,11.0,4,11,1,0.0909090909090909,2,0.181818181818181,2,6,0.2700575497175867
M Markande,50,448,8.96,7,50,5,0.1,0,0.0,0,16,0.26989003582202115
J Searles,7,92,13.1428571428571,1,7,3,0.428571428571428,0,0.0,1,2,0.26584843008102105
H Viljoen,23,248,10.7826086956521,7,23,12,0.521739130434782,0,0.0,6,8,0.2650243905486178
KM Asif,6,77,12.8333333333333,1,6,2,0.333333333333333,0,0.0,4,3,0.2639633600389483
I Sharma,46,391,8.5,7,46,12,0.260869565217391,0,0.0,34,14,0.26196161477999347
P R Barman,4,56,14.0,1,4,0,0.0,0,0.0,0,0,0.257022294494721
Ankit Sharma,3,33,11.0,0,3,0,0.0,1,0.333333333333333,1,1,0.2507944277108433
S Mavi,28,288,10.2857142857142,7,28,11,0.392857142857142,1,0.0357142857142857,13,7,0.2503146656600522
