bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets,values
I Sharma,33,341,10.3333333333333,4,33,18,0.545454545454545,2,0.0606060606060606,24,3,0.28152279641262606
DR Smith,31,305,9.83870967741935,3,31,8,0.258064516129032,1,0.032258064516129,5,10,0.2809697747122568
A Zampa,37,281,7.59459459459459,8,37,8,0.216216216216216,0,0.0,1,19,0.27892186123542045
KW Richardson,14,138,9.85714285714285,4,14,6,0.428571428571428,0,0.0,8,8,0.2776466132737317
VR Aaron,44,399,9.06818181818181,8,44,19,0.431818181818181,3,0.0681818181818181,12,9,0.2775900003950849
KJ Abbott,16,182,11.375,4,16,6,0.375,1,0.0625,7,2,0.2773532703172533
MP Stoinis,34,314,9.23529411764705,6,34,9,0.264705882352941,0,0.0,8,11,0.27510076181711257
NLTC Perera,34,326,9.58823529411764,13,34,3,0.088235294117647,0,0.0,13,10,0.274825497865378
TG Southee,53,430,8.1132075471698,8,53,15,0.283018867924528,1,0.0188679245283018,32,12,0.27454457044927116
K Rabada,22,198,9.0,8,22,12,0.545454545454545,2,0.0909090909090909,12,8,0.2740068744814507
HV Patel,18,190,10.5555555555555,6,18,6,0.333333333333333,1,0.0555555555555555,5,5,0.2729027234535694
SN Thakur,39,319,8.17948717948717,7,39,14,0.358974358974359,0,0.0,15,13,0.27270464903776487
RA Jadeja,79,672,8.50632911392405,10,79,6,0.0759493670886076,1,0.0126582278481012,3,14,0.2710869407357286
PJ Sangwan,22,232,10.5454545454545,4,22,3,0.136363636363636,0,0.0,15,6,0.2692586227331978
Harbhajan Singh,90,671,7.45555555555555,2,90,7,0.0777777777777777,0,0.0,15,17,0.2661887343667003
KH Pandya,72,518,7.19444444444444,6,72,16,0.222222222222222,1,0.0138888888888888,8,17,0.2648423028634892
Mohammed Siraj,23,214,9.30434782608695,6,23,3,0.130434782608695,0,0.0,10,10,0.26074665079455034
MG Johnson,31,255,8.2258064516129,6,31,8,0.258064516129032,1,0.032258064516129,16,12,0.26064802119695496
KV Sharma,48,391,8.14583333333333,2,48,7,0.145833333333333,0,0.0,9,14,0.2579992213530348
P Negi,42,286,6.8095238095238,6,42,7,0.166666666666666,0,0.0,4,19,0.255791032884253
Iqbal Abdulla,30,271,9.03333333333333,4,30,9,0.3,0,0.0,7,9,0.25567166449369827
BA Stokes,44,327,7.43181818181818,12,44,11,0.25,0,0.0,13,14,0.2554011892062739
HH Pandya,43,374,8.69767441860465,11,43,12,0.27906976744186,0,0.0,5,9,0.25149401675712274
TA Boult,28,261,9.32142857142857,14,28,7,0.25,0,0.0,13,6,0.25125575836592784
CJ Anderson,19,187,9.84210526315789,6,19,9,0.473684210526315,0,0.0,1,4,0.25104544934696565
Rashid Khan,54,368,6.81481481481481,5,54,6,0.111111111111111,0,0.0,9,18,0.25009701096141757
CR Brathwaite,30,259,8.63333333333333,6,30,3,0.1,7,0.233333333333333,3,10,0.24883833116036494
M Morkel,36,299,8.30555555555555,7,36,5,0.138888888888888,2,0.0555555555555555,22,10,0.24817009512772198
RA Tripathi,1,12,12.0,0,1,0,0.0,0,0.0,0,0,0.24230769230769228
AD Mathews,5,57,11.4,2,5,1,0.2,0,0.0,0,0,0.24170360712733596
AS Rajpoot,25,214,8.56,5,25,12,0.48,1,0.04,4,7,0.24138830943068232
R Ashwin,44,321,7.29545454545454,9,44,20,0.454545454545454,0,0.0,8,11,0.23953289083797538
DT Christian,40,303,7.575,13,40,9,0.225,0,0.0,5,12,0.23888581051716648
TS Mills,18,157,8.72222222222222,7,18,9,0.5,0,0.0,7,5,0.2339796465304939
KC Cariappa,32,287,8.96875,3,32,5,0.15625,2,0.0625,4,7,0.23158276292916122
GB Hogg,16,144,9.0,4,16,6,0.375,0,0.0,2,5,0.22714493698392
DL Chahar,12,117,9.75,0,12,5,0.416666666666666,0,0.0,11,1,0.2254370563523105
MN Samuels,3,34,11.3333333333333,0,3,0,0.0,0,0.0,0,0,0.22469795740982093
M Ashwin,29,245,8.44827586206896,9,29,7,0.241379310344827,0,0.0,2,7,0.2228938617392736
S Kaushik,34,304,8.94117647058823,4,34,5,0.147058823529411,1,0.0294117647058823,3,6,0.2222840197356646
R Sathish,6,59,9.83333333333333,1,6,2,0.333333333333333,0,0.0,0,2,0.221274808054469
A Choudhary,17,144,8.47058823529411,4,17,6,0.352941176470588,1,0.0588235294117647,6,5,0.21719828974614597
SB Jakati,25,233,9.32,2,25,8,0.32,1,0.04,4,2,0.21522164276401567
R Vinay Kumar,12,96,8.0,1,12,6,0.5,0,0.0,4,6,0.21363363754889178
T Natarajan,13,116,8.92307692307692,2,13,6,0.461538461538461,0,0.0,4,2,0.20993725136228383
SS Agarwal,4,42,10.5,0,4,0,0.0,0,0.0,1,1,0.209828987396784
AJ Tye,21,146,6.95238095238095,10,21,2,0.0952380952380952,0,0.0,6,12,0.20861083172947575
BCJ Cutting,25,203,8.12,8,25,4,0.16,0,0.0,4,7,0.2085165145588874
Bipul Sharma,31,254,8.19354838709677,1,31,2,0.064516129032258,0,0.0,6,8,0.20782750837644212
RP Singh,13,114,8.76923076923077,4,13,3,0.23076923076923,1,0.0769230769230769,9,3,0.20585934209206697
S Nadeem,33,246,7.45454545454545,2,33,4,0.121212121212121,0,0.0,14,9,0.20488332477315516
LH Ferguson,13,96,7.38461538461538,2,13,9,0.692307692307692,0,0.0,5,5,0.2047607227626783
S Badree,25,191,7.64,1,25,2,0.08,0,0.0,13,9,0.20433702737940024
PV Tambe,16,143,8.9375,1,16,1,0.0625,0,0.0,3,5,0.20298788570186874
S Ladda,2,21,10.5,0,2,0,0.0,0,0.0,1,0,0.2027592351151673
M Vijay,1,8,8.0,0,1,1,1.0,0,0.0,1,0,0.20194871794871797
Shakib Al Hasan,34,281,8.26470588235294,5,34,4,0.117647058823529,0,0.0,13,5,0.20134510570851538
RD Chahar,7,59,8.42857142857142,1,7,4,0.571428571428571,0,0.0,0,2,0.1994968026323956
T Shamsi,16,151,9.4375,3,16,0,0.0,0,0.0,0,3,0.19835968057366365
A Ashish Reddy,4,40,10.0,0,4,0,0.0,0,0.0,0,1,0.1957007822685789
DJ Hooda,17,139,8.17647058823529,0,17,3,0.176470588235294,0,0.0,5,5,0.19083026561341604
R Bhatia,41,304,7.41463414634146,2,41,5,0.121951219512195,1,0.024390243902439,0,8,0.19036940460669263
B Stanlake,8,70,8.75,0,8,2,0.25,0,0.0,6,2,0.19012233811386356
STR Binny,23,184,8.0,0,23,3,0.130434782608695,0,0.0,14,5,0.1900270298357991
Ankit Sharma,12,100,8.33333333333333,1,12,6,0.5,0,0.0,3,1,0.18828748370273787
C de Grandhomme,17,136,8.0,1,17,4,0.235294117647058,2,0.117647058823529,2,4,0.1879215174987856
JO Holder,13,105,8.07692307692307,4,13,4,0.307692307692307,1,0.0769230769230769,2,3,0.18768182729916735
TM Head,9,81,9.0,3,9,0,0.0,0,0.0,0,3,0.18539439374185138
DW Steyn,2,17,8.5,0,2,1,0.5,0,0.0,2,0,0.18291308126901346
Parvez Rasool,14,130,9.28571428571428,0,14,0,0.0,0,0.0,7,1,0.18283159495871346
GJ Maxwell,28,207,7.39285714285714,3,28,3,0.107142857142857,0,0.0,3,7,0.18141143602160542
P Sahu,18,152,8.44444444444444,3,18,2,0.111111111111111,0,0.0,1,3,0.18003662658747394
R Dhawan,7,56,8.0,1,7,3,0.428571428571428,0,0.0,0,2,0.17843453157012476
Anureet Singh,8,70,8.75,0,8,0,0.0,2,0.25,4,1,0.17789156888309435
Swapnil Singh,10,90,9.0,0,10,1,0.1,0,0.0,0,1,0.17646132116471097
Gurkeerat Singh,4,31,7.75,0,4,2,0.5,0,0.0,0,2,0.17518796175575835
Washington Sundar,30,189,6.3,1,30,2,0.0666666666666666,0,0.0,18,9,0.17155200637404028
IK Pathan,10,87,8.7,2,10,0,0.0,0,0.0,2,2,0.17132029552368533
SM Boland,7,56,8.0,3,7,1,0.142857142857142,0,0.0,3,3,0.16965614329173648
SK Raina,22,186,8.45454545454545,0,22,1,0.0454545454545454,0,0.0,10,1,0.16684020781478393
Ankit Soni,19,145,7.63157894736842,1,19,3,0.157894736842105,0,0.0,1,4,0.1666324938813788
Yuvraj Singh,9,75,8.33333333333333,1,9,1,0.111111111111111,0,0.0,0,2,0.16658385243131
JP Duminy,7,55,7.85714285714285,0,7,1,0.142857142857142,0,0.0,0,2,0.15477152790712087
CH Gayle,10,65,6.5,2,10,5,0.5,1,0.1,3,2,0.1510895262929161
MM Patel,7,58,8.28571428571428,0,7,0,0.0,0,0.0,1,1,0.15072207735767043
YK Pathan,10,74,7.4,0,10,2,0.2,0,0.0,5,2,0.15011516731855717
J Yadav,23,168,7.30434782608695,1,23,2,0.0869565217391304,1,0.0434782608695652,12,2,0.14981688490826275
Tejas Baroka,4,33,8.25,1,4,0,0.0,0,0.0,1,0,0.1432905258583225
C Munro,2,15,7.5,0,2,0,0.0,0,0.0,0,0,0.1213233376792699
KS Williamson,1,7,7.0,0,1,0,0.0,0,0.0,1,0,0.10835897435897437
R Tewatia,9,51,5.66666666666666,0,9,1,0.111111111111111,0,0.0,1,3,0.1014171857646432
JW Hastings,7,37,5.28571428571428,2,7,2,0.285714285714285,0,0.0,4,2,0.09926969640528943
MR Marsh,9,45,5.0,1,9,1,0.111111111111111,0,0.0,4,4,0.09296846781592544
Avesh Khan,4,24,6.0,1,4,0,0.0,0,0.0,2,1,0.09011103867883531
S Gopal,3,19,6.33333333333333,0,3,0,0.0,0,0.0,0,0,0.09008257279443713
Mohammad Nabi,11,59,5.36363636363636,0,11,0,0.0,0,0.0,6,2,0.08279281735213928
NB Singh,4,18,4.5,0,4,1,0.25,0,0.0,4,1,0.06695719252498912
Sachin Baby,2,8,4.0,1,2,0,0.0,0,0.0,0,3,0.04805410691003912
N Rana,1,3,3.0,0,1,0,0.0,0,0.0,0,0,0.0
