batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values1617
R Vinay Kumar,6.5,0,1,0,0,12,13,108.3333333,0,0.151477367
Kuldeep Yadav,10,2,0,0,0,22,20,90.90909091,0,0.150891235
JO Holder,5.5,2,1,0,0,20,22,110,0,0.149947199
JJ Bumrah,6,1,1,0,0,23,24,104.3478261,0,0.14612039
CR Woakes,6.571428571,4,1,0,0,47,46,97.87234043,0,0.14552093
F Behardien,4.666666667,2,0,0,0,13,14,107.6923077,0,0.14123503
MN Samuels,7.25,1,2,0,0,32,29,90.625,0,0.139608221
PP Chawla,7.25,4,0,0,0,32,29,90.625,0,0.13842965
NS Naik,11.5,1,0,0,0,33,23,69.6969697,0,0.135688219
Basil Thampi,5.6,1,1,0,0,30,28,93.33333333,0,0.132692735
AB Dinda,7,1,0,0,0,8,7,87.5,0,0.130373855
UT Yadav,3.166666667,0,1,0,0,19,19,100,0,0.126172497
A Mishra,6.625,2,2,0,0,70,53,75.71428571,0,0.123303695
MG Johnson,6.25,1,1,0,0,31,25,80.64516129,0,0.122214223
P Kumar,4,3,0,0,0,36,32,88.88888889,0,0.119856909
NM Coulter-Nile,4.6,1,2,0,0,27,23,85.18518519,0,0.119834213
S Aravind,5.333333333,2,0,0,0,40,32,80,0,0.11667557
Sandeep Sharma,2.5,0,0,0,0,16,15,93.75,0,0.11442768
BB Sran,1.333333333,0,0,0,0,4,4,100,0,0.114234734
Vishnu Vinod,6.333333333,1,1,0,0,26,19,73.07692308,0,0.114029134
KW Richardson,1,0,0,0,0,1,1,100,0,0.112284177
A Nehra,1,0,0,0,0,1,1,100,0,0.112284177
LH Ferguson,1,0,0,0,0,1,1,100,0,0.112284177
M Morkel,1,0,0,0,0,1,1,100,0,0.112284177
KC Cariappa,3.75,0,1,0,0,18,15,83.33333333,0,0.110987414
MR Marsh,7,0,0,0,0,11,7,63.63636364,0,0.104363366
AD Nath,5,1,0,0,0,28,20,71.42857143,0,0.10426383
AP Tare,5.2,5,0,0,0,40,26,65,0,0.101024632
IK Pathan,3.25,0,0,0,0,17,13,76.47058824,0,0.099604557
Ankit Soni,2.333333333,0,1,0,0,9,7,77.77777778,0,0.097136288
TS Mills,2.666666667,0,1,0,0,11,8,72.72727273,0,0.09352204
TA Boult,5,0,0,0,0,8,5,62.5,0,0.092805501
Washington Sundar,1.8,0,0,0,0,12,9,75,0,0.090306603
Swapnil Singh,4,0,0,0,0,20,12,60,0,0.085753652
PSP Handscomb,6,0,0,0,0,12,6,50,0,0.084630887
AS Rajpoot,4,1,0,0,0,7,4,57.14285714,0,0.082405154
Mohammad Nabi,2,0,0,0,0,3,2,66.66666667,0,0.081749673
I Sharma,2.666666667,1,0,0,0,13,8,61.53846154,0,0.080733204
A Zampa,2.5,1,0,0,0,8,5,62.5,0,0.080620099
PV Tambe,7,1,0,0,0,19,7,36.84210526,0,0.076309078
