batsman,no of balls,batsman_runs
V Sehwag,1833,2728
V Shankar,77,101
VH Zol,26,29
VR Aaron,56,46
VRV Singh,3,4
VS Malik,7,7
VS Yeligati,2,2
VVS Laxman,271,282
VY Mahesh,28,15
Vishnu Vinod,26,19
W Jaffer,129,130
WA Mota,76,56
WD Parnell,80,63
WP Saha,1219,1557
WPUJC Vaas,73,81
Washington Sundar,12,9
X Thalaivan Sargunam,17,10
Y Gnaneswara Rao,18,19
Y Nagar,271,285
Y Venugopal Rao,865,985
YA Abdulla,1,0
YK Pathan,2076,2922
YS Chahal,29,15
YV Takawale,183,192
Yashpal Singh,67,47
Younis Khan,7,3
Yuvraj Singh,2050,2591
Z Khan,141,117
