batsman,No.of balls,fours,sixes
MA Khote,60,2,1
MA Starc,240,12,0
MC Henriques,1674,86,27
MC Juneja,300,11,1
MD Mishra,456,26,8
MDKJ Perera,24,3,0
MEK Hussey,3282,200,52
MF Maharoof,258,12,9
MG Johnson,360,8,7
MJ Clarke,210,12,0
MJ Guptill,288,21,7
MJ Lumb,342,47,6
MJ McClenaghan,126,2,6
MK Pandey,3918,199,65
MK Tiwary,3024,153,39
ML Hayden,1542,124,44
MM Patel,126,5,0
MM Sharma,270,8,4
MN Samuels,366,9,7
MN van Wyk,282,18,1
MP Stoinis,288,15,4
MR Marsh,438,9,14
MS Bisla,1380,97,23
MS Dhoni,5424,255,156
MS Gony,174,6,8
MS Wade,66,0,0
MV Boucher,660,33,12
Mandeep Singh,1950,135,18
Mashrafe Mortaza,6,0,0
Misbah-ul-Haq,192,10,6
Mohammad Ashraful,18,0,0
Mohammad Asif,30,0,0
Mohammad Hafeez,168,7,2
Mohammad Nabi,6,0,0
Mohammed Shami,132,4,2
N Rana,708,30,25
N Saini,288,16,0
ND Doshi,24,0,0
NJ Maddinson,42,4,0
NJ Rimmington,6,0,0
NL McCullum,60,0,1
NLTC Perera,660,26,26
NM Coulter-Nile,150,3,4
NS Naik,66,1,0
NV Ojha,2760,122,78
Niraj Patel,210,15,1
OA Shah,828,35,23
P Awana,48,0,0
P Dogra,312,4,5
P Kumar,786,22,17
P Negi,582,28,16
P Parameswaran,12,0,0
P Sahu,24,1,1
PA Patel,4110,301,35
PA Reddy,348,15,2
PC Valthaty,792,63,20
PD Collingwood,336,9,13
PJ Cummins,150,5,4
PJ Sangwan,108,1,0
PM Sarvesh Kumar,6,0,0
PP Chawla,1074,49,15
PP Ojha,150,0,0
PR Shah,204,9,2
PSP Handscomb,24,0,0
PV Tambe,90,1,0
Pankaj Singh,36,0,0
Parvez Rasool,54,1,0
Q de Kock,1026,92,21
R Ashwin,576,22,2
R Bhatia,750,24,13
R Bishnoi,42,1,2
R Dhawan,282,14,4
R Dravid,3810,272,28
R McLaren,402,14,1
R Ninan,18,0,0
R Rampaul,108,3,2
R Sathish,546,22,6
R Sharma,180,5,3
R Shukla,60,2,0
R Tewatia,48,4,1
R Vinay Kumar,672,20,9
RA Jadeja,3228,126,57
RA Tripathi,564,45,17
RD Chahar,6,0,0
RE Levi,156,10,4
RE van der Merwe,318,13,8
RG More,6,0,0
RG Sharma,6798,354,172
RJ Harris,264,6,3
RJ Peterson,72,3,1
RJ Quiney,210,13,3
RN ten Doeschate,522,27,15
RP Singh,240,2,1
RR Bhatkal,6,0,0
RR Pant,810,47,30
RR Powar,144,6,1
RR Raje,54,1,1
RR Rossouw,102,3,3
RR Sarwan,144,6,1
RS Bopara,1008,39,16
RS Gavaskar,18,0,0
RS Sodhi,6,1,0
RT Ponting,276,7,2
RV Gomez,132,5,1
RV Uthappa,5832,385,125
Rashid Khan,30,0,1
S Anirudha,264,11,7
S Aravind,162,7,0
S Badree,72,0,0
S Badrinath,2514,156,28
S Chanderpaul,60,4,0
S Dhawan,6006,404,70
S Gopal,54,1,0
S Kaul,36,0,0
S Kaushik,6,0,0
S Ladda,24,0,0
S Nadeem,204,1,0
S Narwal,54,6,0
S Rana,198,9,1
