batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes
DT Christian,351,420,119.6581197,13.5483871,0,0,22,17
AB McDonald,103,123,119.4174757,13.66666667,0,0,9,4
T Taibu,26,31,119.2307692,10.33333333,0,0,3,0
AP Tare,285,339,118.9473684,12.55555556,1,0,41,11
RA Jadeja,1458,1732,118.7928669,16.03703704,0,0,126,57
DPMD Jayawardene,1522,1808,118.7910644,23.17948718,11,1,201,40
JO Holder,32,38,118.75,7.6,0,0,4,2
Mandeep Singh,938,1112,118.5501066,19.17241379,5,0,135,18
S Dhawan,3005,3561,118.5024958,28.26190476,28,0,404,70
KC Sangakkara,1424,1687,118.4691011,24.80882353,10,0,197,26
S Sohal,311,368,118.3279743,18.4,2,0,34,18
R Bhatia,290,342,117.9310345,7.276595745,0,0,24,13
EJG Morgan,725,854,117.7931034,18.97777778,4,0,76,34
MA Agarwal,692,814,117.6300578,16.95833333,3,0,83,33
DJG Sammy,251,295,117.5298805,14.75,1,0,15,18
AM Rahane,2602,3057,117.4865488,29.11428571,26,1,325,60
MK Pandey,1901,2223,116.9384534,23.4,10,1,199,65
PC Valthaty,432,505,116.8981481,21.95652174,3,1,63,20
IK Pathan,985,1150,116.751269,14.02439024,1,0,94,38
Sohail Tanvir,31,36,116.1290323,7.2,0,0,3,1
S Badrinath,1245,1441,115.7429719,22.16923077,11,0,156,28
DB Ravi Teja,325,375,115.3846154,15,1,0,36,9
SA Abbott,13,15,115.3846154,7.5,0,0,1,1
TL Suman,587,676,115.1618399,17.33333333,2,0,55,26
SS Tiwary,1111,1276,114.8514851,19.9375,7,0,93,45
SP Fleming,171,196,114.619883,19.6,0,0,26,3
NV Ojha,1356,1553,114.5280236,16.69892473,6,0,122,78
R Sathish,236,270,114.4067797,11.25,0,0,22,6
AM Nayar,588,672,114.2857143,13.44,0,0,57,20
SR Tendulkar,2044,2334,114.1878669,29.92307692,14,1,300,29
MK Tiwary,1444,1648,114.1274238,20.86075949,7,0,153,39
LA Carseldine,71,81,114.084507,16.2,0,0,11,0
Y Venugopal Rao,865,985,113.8728324,18.94230769,3,0,77,37
