player,season,match_id,no.of runs
AD Russell,2016,596,20
AD Russell,2016,600,22
AD Russell,2016,602,19
AD Russell,2016,606,50
AD Russell,2016,608,19
AD Russell,2016,624,40
AF Milne,2017,17,2
AF Milne,2017,33,5
AF Milne,2017,37,0
AG Murtaza,2011,267,2
AG Murtaza,2012,375,3
AG Murtaza,2013,411,5
AG Paunikar,2010,223,0
AG Paunikar,2011,236,21
AG Paunikar,2011,241,6
AG Paunikar,2011,246,13
AG Paunikar,2011,251,16
AJ Finch,2010,227,21
AJ Finch,2011,238,9
AJ Finch,2011,241,14
AJ Finch,2011,250,27
AJ Finch,2011,253,0
AJ Finch,2011,259,3
AJ Finch,2011,279,0
AJ Finch,2012,309,33
AJ Finch,2012,312,25
AJ Finch,2013,393,69
AJ Finch,2013,395,0
AJ Finch,2013,399,70
AJ Finch,2013,402,16
AJ Finch,2013,409,67
AJ Finch,2013,411,18
AJ Finch,2013,419,40
AJ Finch,2013,422,17
AJ Finch,2013,426,16
AJ Finch,2013,431,50
AJ Finch,2013,437,5
AJ Finch,2013,439,10
AJ Finch,2013,445,48
AJ Finch,2013,451,53
AJ Finch,2014,461,2
AJ Finch,2014,466,20
AJ Finch,2014,469,90
AJ Finch,2014,474,53
AJ Finch,2014,477,18
AJ Finch,2014,481,13
AJ Finch,2014,487,11
AJ Finch,2014,489,6
AJ Finch,2014,493,69
AJ Finch,2014,496,23
AJ Finch,2014,500,8
AJ Finch,2014,503,11
AJ Finch,2014,507,7
AJ Finch,2015,518,6
AJ Finch,2015,524,9
AJ Finch,2015,526,10
AJ Finch,2016,579,75
AJ Finch,2016,582,54
AJ Finch,2016,585,75
AJ Finch,2016,591,0
AJ Finch,2016,607,6
AJ Finch,2016,610,52
AJ Finch,2016,614,29
AJ Finch,2016,620,44
AJ Finch,2016,627,29
AJ Finch,2016,630,0
AJ Finch,2016,633,5
AJ Finch,2016,635,50
AJ Finch,2017,3,15
AJ Finch,2017,6,4
AJ Finch,2017,13,34
AJ Finch,2017,20,22
AJ Finch,2017,23,32
AJ Finch,2017,26,13
AJ Finch,2017,30,75
AJ Finch,2017,34,3
AJ Finch,2017,38,14
AJ Finch,2017,41,28
AJ Finch,2017,46,2
AJ Finch,2017,49,75
AJ Finch,2017,52,2
AJ Tye,2017,20,6
AJ Tye,2017,26,23
AJ Tye,2017,34,27
AL Menaria,2011,241,22
AL Menaria,2011,246,28
AL Menaria,2011,251,23
AL Menaria,2011,256,34
AL Menaria,2011,267,4
AL Menaria,2011,271,30
AL Menaria,2011,276,2
AL Menaria,2011,285,3
AL Menaria,2011,288,8
AL Menaria,2011,294,33
AL Menaria,2012,311,0
AL Menaria,2012,314,41
AL Menaria,2012,319,21
AL Menaria,2012,322,1
AL Menaria,2012,328,22
AL Menaria,2012,334,37
AL Menaria,2012,349,2
AL Menaria,2012,354,35
AL Menaria,2012,358,18
AL Menaria,2012,361,6
AL Menaria,2012,373,20
AL Menaria,2012,377,25
AL Menaria,2013,385,1
AM Nayar,2008,63,22
AM Nayar,2008,67,46
AM Nayar,2008,69,2
AM Nayar,2008,72,35
AM Nayar,2008,82,2
AM Nayar,2008,86,15
AM Nayar,2008,102,40
AM Nayar,2008,106,28
AM Nayar,2008,109,1
AM Nayar,2008,113,26
AM Nayar,2009,118,36
AM Nayar,2009,128,10
AM Nayar,2009,132,3
AM Nayar,2009,135,18
AM Nayar,2009,138,11
AM Nayar,2009,143,32
AM Nayar,2009,147,2
AM Nayar,2009,150,19
AM Nayar,2009,160,37
AM Nayar,2009,162,33
