batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
BJ Haddin,0.002862869,0.003957784,0.701298701,0.483781279,0,0,0.00407332,0.003831418,0,0.297315886
Azhar Mahmood,0.088748926,0.085312225,0.534680753,0.496579725,0.051282051,0,0.081466395,0.049808429,0.079365079,0.294816749
TL Suman,0.1677641,0.148636763,0.493550742,0.465863454,0.051282051,0,0.112016293,0.099616858,0.095238095,0.293651953
JJ Roy,0.011451474,0.012972735,0.616724739,0.528575842,0,0,0.018329939,0.003831418,0.015873016,0.292370693
S Sohal,0.088748926,0.080914688,0.50711989,0.494531974,0.051282051,0,0.069246436,0.068965517,0.095238095,0.290352269
MJ Guptill,0.040652734,0.041556728,0.566433566,0.507970343,0.025641026,0,0.042769857,0.026819923,0.047619048,0.288642418
Umar Gul,0.005153163,0.008575198,0.879699248,0.262048193,0,0,0.00407332,0.019157088,0,0.288139724
STR Binny,0.176925279,0.168425682,0.530348488,0.367635377,0,0,0.120162933,0.111111111,0.142857143,0.287936879
MV Boucher,0.090752934,0.086631486,0.530997305,0.460410203,0.025641026,0,0.067209776,0.045977011,0.095238095,0.285244002
UT Khawaja,0.029773833,0.027924362,0.518367347,0.568890948,0,0,0.028513238,0.011494253,0.031746032,0.283917334
MP Stoinis,0.038648726,0.03583993,0.513655462,0.547613531,0.025641026,0,0.030549898,0.01532567,0.047619048,0.282968363
Shakib Al Hasan,0.114514744,0.109938434,0.53437834,0.419949027,0.051282051,0,0.093686354,0.057471264,0.095238095,0.282909761
SA Yadav,0.136845119,0.133685136,0.543990456,0.389072775,0.025641026,0,0.107942974,0.08045977,0.095238095,0.281926338
LA Pomersbach,0.071571715,0.066402814,0.515651679,0.507298424,0.025641026,0,0.054989817,0.049808429,0.047619048,0.28152259
RN ten Doeschate,0.067849986,0.071679859,0.587034814,0.417229357,0.025641026,0,0.054989817,0.057471264,0.063492063,0.280736232
AR Patel,0.141139422,0.133245383,0.52573742,0.38779293,0,0,0.069246436,0.107279693,0.111111111,0.277769374
AP Dole,0.006298311,0.007475814,0.633540373,0.456904541,0,0,0.00610998,0.003831418,0.015873016,0.277087524
AP Majumdar,0.021757801,0.019129288,0.484230056,0.584569045,0,0,0.014256619,0.007662835,0.031746032,0.276906105
JEC Franklin,0.088176353,0.071899736,0.453536755,0.549293327,0.025641026,0,0.050916497,0.034482759,0.047619048,0.275919445
SP Fleming,0.048668766,0.043095866,0.49122807,0.526784059,0,0,0.052953157,0.011494253,0.047619048,0.273190979
Harbhajan Singh,0.168909247,0.175681618,0.579405366,0.26188431,0.025641026,0,0.154786151,0.157088123,0.095238095,0.273084245
SM Pollock,0.032922989,0.0323219,0.543103448,0.493860056,0,0,0.024439919,0.030651341,0.031746032,0.272977656
Ankit Sharma,0.032636702,0.031882146,0.540372671,0.487140871,0.025641026,0,0.044806517,0.011494253,0.031746032,0.271938229
NLTC Perera,0.093043229,0.093227792,0.557405784,0.379857893,0,0,0.052953157,0.099616858,0.079365079,0.271228029
AC Blizzard,0.025765817,0.026385224,0.565149137,0.460744075,0.025641026,0,0.044806517,0.007662835,0.031746032,0.27055868
CR Brathwaite,0.015745777,0.020888303,0.727040816,0.31916126,0,0,0.016293279,0.030651341,0.015873016,0.270332254
AL Menaria,0.104780991,0.088170624,0.468275594,0.468590079,0,0,0.048879837,0.0651341,0.079365079,0.26796586
Misbah-ul-Haq,0.023189236,0.025725594,0.611498258,0.393072289,0,0,0.020366599,0.022988506,0.031746032,0.263144899
AM Nayar,0.168050386,0.147757256,0.489795918,0.361223355,0,0,0.116089613,0.076628352,0.095238095,0.262488256
JP Faulkner,0.115946178,0.11587511,0.556298381,0.314756462,0,0,0.073319756,0.088122605,0.095238095,0.26092118
D Wiese,0.026624678,0.027924362,0.579027356,0.426668211,0,0,0.026476578,0.01532567,0.015873016,0.260741133
A Flintoff,0.016032064,0.013632366,0.466165414,0.55545258,0,0,0.012219959,0.007662835,0,0.258579586
DB Ravi Teja,0.092756942,0.082453826,0.494505495,0.403151066,0.025641026,0,0.073319756,0.034482759,0.079365079,0.258167616
YV Takawale,0.052104208,0.042216359,0.449648712,0.516033364,0,0,0.054989817,0.011494253,0.031746032,0.25738483
HH Pandya,0.087317492,0.089270009,0.568627451,0.330665319,0.025641026,0,0.048879837,0.107279693,0.047619048,0.257061988
Shahid Afridi,0.012882909,0.017810026,0.754658385,0.241890639,0,0,0.014256619,0.022988506,0.015873016,0.256826444
DJ Hooda,0.079015173,0.082014072,0.577101599,0.334167439,0.025641026,0,0.038696538,0.076628352,0.047619048,0.256101817
C Munro,0.115087317,0.085751979,0.414746544,0.47645126,0.025641026,0,0.103869654,0.01532567,0.063492063,0.255326667
A Ashish Reddy,0.055825938,0.061565523,0.612244898,0.327195068,0,0,0.034623218,0.057471264,0.031746032,0.254754434
ER Dwivedi,0.004008016,0.005277045,0.685714286,0.322520853,0,0,0.00610998,0.007662835,0,0.253699611
C de Grandhomme,0.026052104,0.027704485,0.586956522,0.376274328,0,0,0.020366599,0.022988506,0.031746032,0.253065122
Niraj Patel,0.035213284,0.026605101,0.418202765,0.542014211,0.025641026,0,0.030549898,0.003831418,0.031746032,0.252993955
KK Cooper,0.019753793,0.025505717,0.710204082,0.259808465,0,0,0.018329939,0.030651341,0.015873016,0.251979523
Gurkeerat Singh,0.079874034,0.075197889,0.523469388,0.382993513,0.025641026,0,0.075356415,0.034482759,0.031746032,0.25096727
LPC Silva,0.007443458,0.008795075,0.634920635,0.358356503,0,0,0.010183299,0.003831418,0,0.250398765
MF Maharoof,0.035213284,0.038918206,0.611751152,0.339798755,0,0,0.024439919,0.034482759,0.015873016,0.249759907
J Botha,0.10392213,0.089929639,0.48155416,0.392592347,0.025641026,0,0.079429735,0.019157088,0.063492063,0.249712668
MR Marsh,0.057257372,0.049472296,0.479744136,0.431947571,0,0,0.018329939,0.053639847,0.047619048,0.247984466
Bipul Sharma,0.035213284,0.041116974,0.646313364,0.295644115,0,0,0.022403259,0.034482759,0.015873016,0.247428927
DJG Sammy,0.071571715,0.064863676,0.503699488,0.396431881,0.025641026,0,0.030549898,0.068965517,0.015873016,0.244553495
