player,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,avg.strike rate
RS Bopara,,0.471879699,0.382349814,,,,,0.446864478,,,0.433697997
S Sriram,,,0.53030303,0.333333333,,,,,,,0.431818182
SM Harwood,,0.430555556,,,,,,,,,0.430555556
Mandeep Singh,,,0.111111111,0.516666667,0.565804812,0.514612921,0.296296296,0.561948006,,0.431271044,0.428244408
MP Stoinis,,,,,,,,,0.543187831,0.310185185,0.426686508
GH Vihari,,,,,,0.366729143,,0.486111111,,,0.426420127
TS Mills,,,,,,,,,,0.425925926,0.425925926
C de Grandhomme,,,,,,,,,,0.425925926,0.425925926
RR Rossouw,,,,,,,0.433333333,0.416666667,,,0.425
S Aravind,,,,0.791666667,0.583333333,,,0,,0.310185185,0.421296296
S Chanderpaul,0.421296296,,,,,,,,,,0.421296296
AD Mascarenhas,0.375,0.462962963,0.541666667,,0.305555556,0.416666667,,,,,0.42037037
AB McDonald,,0.25,0.752777778,0.444444444,0.64537037,0,,,,,0.418518519
MDKJ Perera,,,,,,0.416666667,,,,,0.416666667
NJ Maddinson,,,,,,,0.5,0.333333333,,,0.416666667
Shivam Sharma,,,,,,,0.416666667,,,,0.416666667
TA Boult,,,,,,,,,,0.416666667,0.416666667
VRV Singh,0.416666667,,,,,,,,,,0.416666667
MC Juneja,,,,,,0.415178571,,,,,0.415178571
MS Gony,0.677777778,0.791666667,0.25,0.083333333,0.222222222,0.441666667,,,,,0.411111111
K Goel,0.486111111,0.441317941,0.291666667,,,,,,,,0.40636524
Yashpal Singh,,0.40625,,,,,,,,,0.40625
R Bhatia,0.572222222,0.177777778,0.458333333,0.310185185,0.464814815,0.583611111,0.666666667,0,0.423333333,0.404761905,0.406170635
Anureet Singh,,,,,,,,0.302083333,,0.5,0.401041667
CJ Ferguson,,,,0.455555556,0.345039683,,,,,,0.400297619
Mohammad Hafeez,0.400173611,,,,,,,,,,0.400173611
VVS Laxman,0.428913316,0.244444444,0.44537037,0.475308642,,,,,,,0.398509193
R Ashwin,,0.333333333,0.296296296,0.083333333,0.45,0.572619048,0.644444444,0.513888889,0.275,,0.396114418
PC Valthaty,,0.25,,0.77745595,0.213888889,0.333333333,,,,,0.393669543
M Klinger,,,,0.391414141,,,,,,,0.391414141
Harmeet Singh,,,0,,0.666666667,0.5,,,,,0.388888889
J Yadav,,,,,,,,,0.388888889,,0.388888889
KJ Abbott,,,,,,,,,0.388888889,,0.388888889
MS Wade,,,,0.388888889,,,,,,,0.388888889
Vishnu Vinod,,,,,,,,,,0.388888889,0.388888889
A Mishra,0.323232323,0.466666667,0.391666667,0.49691358,0.261111111,0.479320988,0.444444444,0.208333333,0.111111111,0.693055556,0.387585578
M Kartik,0.427777778,0.395833333,0.375,0.366666667,0.592592593,0.166666667,,,,,0.38742284
Shoaib Malik,0.387037037,,,,,,,,,,0.387037037
BB Samantray,,,,,0.333333333,0.436733405,,,,,0.385033369
AL Menaria,,,,0.53244709,0.449742965,0.166666667,,,,,0.382952241
AA Jhunjhunwala,,,0.498002137,0.305555556,0.345238095,,,,,,0.382931929
RR Raje,0.416666667,0.347222222,,,,,,,,,0.381944444
DS Kulkarni,0.125,0.296296296,,0.111111111,0.833333333,,0.638888889,0.208333333,0.666666667,0.166666667,0.380787037
Kuldeep Yadav,,,,,,,,,,0.377777778,0.377777778
B Sumanth,,,0.375,,,,,,,,0.375
GB Hogg,,,,,0.444444444,,,0.305555556,,,0.375
VS Malik,,,0.666666667,,,,0.083333333,,,,0.375
Basil Thampi,,,,,,,,,,0.372222222,0.372222222
Washington Sundar,,,,,,,,,,0.366666667,0.366666667
DL Vettori,,0.328282828,0.5,0.269097222,0.361111111,,,,,,0.36462279
B Kumar,,,,0.166666667,0.489583333,0.266049383,0.125,0.638888889,0.510416667,0.333333333,0.361419753
RE van der Merwe,,0.564980159,0.166666667,0.291666667,,0.416666667,,,,,0.35999504
Anirudh Singh,,,0.359027778,,,,,,,,0.359027778
KB Arun Karthik,,,0.333333333,0.319444444,,0.423809524,,,,,0.358862434
SP Narine,,,,,0.416666667,0.342592593,0.263888889,0.166666667,0.25,0.713095238,0.358818342
MA Starc,,,,,,,0.46359127,0.25,,,0.356795635
Parvez Rasool,,,,,,0.180555556,,0.333333333,0.555555556,,0.356481481
MJ Lumb,,,0.7120671,0,,,,,,,0.35603355
SK Warne,0.537698413,0.433796296,0.166666667,0.277777778,,,,,,,0.353984788
VR Aaron,,,,0,0.083333333,,0.476851852,1,,0.208333333,0.353703704
JDP Oram,0.708333333,0.344328704,,0,,,,,,,0.350887346
P Kumar,0.428472222,0.491666667,0.166666667,0.408730159,0.607142857,0.563492063,0.166666667,0.177083333,0.256944444,0.236111111,0.350297619
VY Mahesh,0.35,,,,,,,,,,0.35
PJ Cummins,,,,,,,,0.083333333,,0.614583333,0.348958333
AB Barath,,,0.347222222,,,,,,,,0.347222222
Z Khan,0.317460317,0.333333333,0.694444444,0.291666667,0.25,,0.555555556,,0.194444444,0.138888889,0.346974206
AC Blizzard,,,,0.690277778,0,,,,,,0.345138889
