match_id,bowler,over,total_runs
9,AB Dinda,18,19
9,BA Stokes,5,8
9,BA Stokes,14,4
9,BA Stokes,16,6
9,BA Stokes,20,23
9,CH Morris,4,7
9,CH Morris,6,12
9,CJ Anderson,10,10
9,DL Chahar,2,11
9,DL Chahar,4,10
9,DL Chahar,6,15
9,Imran Tahir,7,4
9,Imran Tahir,9,5
9,Imran Tahir,13,4
9,Imran Tahir,17,12
9,PJ Cummins,2,7
9,PJ Cummins,8,3
9,PJ Cummins,13,15
9,PJ Cummins,17,0
9,R Bhatia,10,5
9,R Bhatia,12,16
9,S Nadeem,1,10
9,S Nadeem,7,2
9,S Nadeem,9,3
9,S Nadeem,11,8
9,Z Khan,3,7
9,Z Khan,5,7
9,Z Khan,15,6
10,A Nehra,2,15
10,A Nehra,4,11
10,A Nehra,12,7
10,A Nehra,16,13
10,B Kumar,1,6
10,B Kumar,3,7
10,B Kumar,14,4
10,B Kumar,18,6
10,BCJ Cutting,9,3
10,BCJ Cutting,17,15
10,DJ Hooda,8,9
10,DJ Hooda,10,9
10,HH Pandya,8,3
10,HH Pandya,10,13
10,HH Pandya,16,8
10,Harbhajan Singh,1,2
10,Harbhajan Singh,3,8
10,Harbhajan Singh,11,9
10,Harbhajan Singh,14,5
10,JJ Bumrah,4,4
10,JJ Bumrah,6,8
10,JJ Bumrah,18,7
10,JJ Bumrah,20,5
10,KH Pandya,13,12
10,MJ McClenaghan,7,15
10,MJ McClenaghan,9,10
10,MJ McClenaghan,12,9
10,MJ McClenaghan,15,8
10,Mustafizur Rahman,6,19
10,Mustafizur Rahman,13,11
10,Mustafizur Rahman,19,4
10,Rashid Khan,5,3
10,Rashid Khan,7,3
10,Rashid Khan,11,5
10,Rashid Khan,15,9
10,SL Malinga,2,3
10,SL Malinga,5,9
10,SL Malinga,17,14
10,SL Malinga,19,6
11,AR Patel,8,10
11,AR Patel,10,9
11,AR Patel,12,5
11,AR Patel,14,12
11,C de Grandhomme,12,1
11,C de Grandhomme,14,15
11,CR Woakes,4,15
11,CR Woakes,9,11
11,CR Woakes,20,4
11,GJ Maxwell,5,18
11,I Sharma,2,10
11,I Sharma,4,11
11,MM Sharma,7,13
11,MM Sharma,13,8
11,MM Sharma,15,9
11,MP Stoinis,9,8
11,MP Stoinis,17,7
11,PP Chawla,6,4
11,PP Chawla,10,17
11,PP Chawla,15,15
11,SP Narine,5,8
11,SP Narine,8,5
11,SP Narine,11,2
11,SP Narine,16,4
11,Sandeep Sharma,1,5
11,Sandeep Sharma,3,16
11,Sandeep Sharma,16,7
11,TA Boult,1,10
11,TA Boult,3,9
11,TA Boult,17,7
11,TA Boult,19,10
11,UT Yadav,2,11
11,UT Yadav,7,5
11,UT Yadav,13,6
11,UT Yadav,18,11
11,VR Aaron,6,16
11,VR Aaron,11,7
