player,season,match_id,no. of runs,no. of overs,no. of balls,strike rate
AT Rayudu,2013,413,13,3,18,0.7222222222222222
AT Rayudu,2013,423,37,8,48,0.7708333333333334
AT Rayudu,2013,430,10,5,30,0.3333333333333333
AT Rayudu,2013,439,26,9,54,0.48148148148148145
AT Rayudu,2013,444,2,2,12,0.16666666666666666
AT Rayudu,2013,447,7,2,12,0.5833333333333334
AT Rayudu,2013,450,29,9,54,0.5370370370370371
AT Rayudu,2013,454,16,7,42,0.38095238095238093
AT Rayudu,2013,456,19,4,24,0.7916666666666666
AT Rayudu,2013,457,38,13,78,0.48717948717948717
AT Rayudu,2014,458,52,13,78,0.6666666666666666
AT Rayudu,2014,462,36,14,84,0.42857142857142855
AT Rayudu,2014,470,1,2,12,0.08333333333333333
AT Rayudu,2014,473,14,6,36,0.3888888888888889
AT Rayudu,2014,477,36,13,78,0.46153846153846156
AT Rayudu,2014,479,8,3,18,0.4444444444444444
AT Rayudu,2014,484,10,5,30,0.3333333333333333
AT Rayudu,2014,490,62,16,96,0.6458333333333334
AT Rayudu,2014,493,71,15,90,0.7888888888888889
AT Rayudu,2014,497,35,9,54,0.6481481481481481
AT Rayudu,2014,505,17,5,30,0.5666666666666667
AT Rayudu,2014,508,2,2,12,0.16666666666666666
AT Rayudu,2014,513,31,6,36,0.8611111111111112
AT Rayudu,2014,515,2,3,18,0.1111111111111111
AT Rayudu,2015,518,0,1,6,0.0
AT Rayudu,2015,524,14,7,42,0.3333333333333333
AT Rayudu,2015,530,30,5,30,1.0
AT Rayudu,2015,534,0,1,6,0.0
AT Rayudu,2015,539,31,7,42,0.7380952380952381
AT Rayudu,2015,541,7,3,18,0.3888888888888889
AT Rayudu,2015,549,53,9,54,0.9814814814814815
AT Rayudu,2015,552,4,1,6,0.6666666666666666
AT Rayudu,2015,556,49,15,90,0.5444444444444444
AT Rayudu,2015,559,34,8,48,0.7083333333333334
AT Rayudu,2015,562,15,2,12,1.25
AT Rayudu,2015,567,2,2,12,0.16666666666666666
AT Rayudu,2015,573,11,3,18,0.6111111111111112
AT Rayudu,2015,576,36,8,48,0.75
AT Rayudu,2016,577,23,11,66,0.3484848484848485
AT Rayudu,2016,585,21,6,36,0.5833333333333334
AT Rayudu,2016,588,56,17,102,0.5490196078431373
AT Rayudu,2016,590,32,10,60,0.5333333333333333
AT Rayudu,2016,593,25,8,48,0.5208333333333334
AT Rayudu,2016,597,65,14,84,0.7738095238095238
AT Rayudu,2016,600,34,6,36,0.9444444444444444
AT Rayudu,2016,605,22,7,42,0.5238095238095238
AT Rayudu,2016,613,6,2,12,0.5
AT Rayudu,2016,617,45,14,84,0.5357142857142857
AT Rayudu,2016,619,0,1,6,0.0
AT Rayudu,2016,623,14,2,12,1.1666666666666667
AT Rayudu,2017,2,11,6,36,0.3055555555555556
AT Rayudu,2017,53,63,11,66,0.9545454545454546
AT Rayudu,2017,56,0,1,6,0.0
AT Rayudu,2017,58,7,5,30,0.23333333333333334
AT Rayudu,2017,59,13,5,30,0.43333333333333335
AUK Pathan,2011,237,13,1,6,2.1666666666666665
AUK Pathan,2011,242,0,1,6,0.0
AUK Pathan,2011,248,15,2,12,1.25
AUK Pathan,2011,280,0,1,6,0.0
AUK Pathan,2011,296,7,1,6,1.1666666666666667
AUK Pathan,2012,350,3,1,6,0.5
AUK Pathan,2012,356,4,1,6,0.6666666666666666
Abdur Razzak,2008,101,0,1,6,0.0
Anirudh Singh,2010,175,14,4,24,0.5833333333333334
Anirudh Singh,2010,186,0,1,6,0.0
Anirudh Singh,2010,210,9,4,24,0.375
Anirudh Singh,2010,233,43,15,90,0.4777777777777778
Ankit Sharma,2012,313,15,3,18,0.8333333333333334
Ankit Sharma,2012,316,1,1,6,0.16666666666666666
Ankit Sharma,2012,323,1,1,6,0.16666666666666666
Ankit Sharma,2012,337,1,1,6,0.16666666666666666
Ankit Sharma,2014,494,30,7,42,0.7142857142857143
Ankit Sharma,2014,501,5,1,6,0.8333333333333334
Ankit Sharma,2015,563,0,1,6,0.0
Ankit Sharma,2015,574,7,3,18,0.3888888888888889
Ankit Sharma,2016,592,3,2,12,0.25
Ankit Sharma,2017,13,26,6,36,0.7222222222222222
Ankit Soni,2017,34,7,1,6,1.1666666666666667
Ankit Soni,2017,38,0,1,6,0.0
Ankit Soni,2017,52,2,2,12,0.16666666666666666
Anureet Singh,2015,520,1,2,12,0.08333333333333333
Anureet Singh,2015,532,1,1,6,0.16666666666666666
Anureet Singh,2015,542,11,8,48,0.22916666666666666
Anureet Singh,2015,544,0,2,12,0.0
Anureet Singh,2015,548,8,1,6,1.3333333333333333
Anureet Singh,2015,557,0,1,6,0.0
Anureet Singh,2017,32,15,5,30,0.5
Azhar Mahmood,2012,333,33,5,30,1.1
Azhar Mahmood,2012,336,11,3,18,0.6111111111111112
Azhar Mahmood,2012,343,19,4,24,0.7916666666666666
Azhar Mahmood,2012,350,2,2,12,0.16666666666666666
Azhar Mahmood,2012,354,27,8,48,0.5625
Azhar Mahmood,2012,359,14,4,24,0.5833333333333334
Azhar Mahmood,2012,366,32,9,54,0.5925925925925926
Azhar Mahmood,2012,369,9,3,18,0.5
Azhar Mahmood,2012,371,9,2,12,0.75
Azhar Mahmood,2012,374,36,13,78,0.46153846153846156
Azhar Mahmood,2013,391,8,3,18,0.4444444444444444
Azhar Mahmood,2013,398,23,7,42,0.5476190476190477
