player,season,match_id,no. of overs
AA Bilakhia,2009,140,2
AA Bilakhia,2009,171,2
AA Bilakhia,2009,172,7
AA Bilakhia,2009,174,3
AA Bilakhia,2010,210,3
AA Chavan,2011,294,1
AA Chavan,2012,319,2
AA Chavan,2012,349,2
AA Jhunjhunwala,2010,176,5
AA Jhunjhunwala,2010,180,14
AA Jhunjhunwala,2010,184,2
AA Jhunjhunwala,2010,187,13
AA Jhunjhunwala,2010,198,3
AA Jhunjhunwala,2010,203,3
AA Jhunjhunwala,2010,206,2
AA Jhunjhunwala,2010,210,4
AA Jhunjhunwala,2010,219,8
AA Jhunjhunwala,2010,223,8
AA Jhunjhunwala,2011,277,6
AA Jhunjhunwala,2011,284,1
AA Jhunjhunwala,2012,323,2
AA Jhunjhunwala,2012,352,1
AA Jhunjhunwala,2012,359,7
AA Noffke,2008,60,4
AB Agarkar,2008,71,4
AB Agarkar,2008,75,3
AB Agarkar,2008,78,4
AB Agarkar,2008,81,1
AB Agarkar,2008,99,5
AB Agarkar,2008,105,1
AB Agarkar,2009,121,2
AB Agarkar,2009,126,1
AB Agarkar,2009,134,3
AB Agarkar,2009,154,9
AB Agarkar,2009,168,8
AB Agarkar,2010,200,4
AB Agarkar,2010,204,2
AB Agarkar,2010,217,3
AB Agarkar,2010,222,2
AB Agarkar,2011,282,3
AB Agarkar,2013,404,2
AB Agarkar,2013,443,3
AB Barath,2010,186,4
AB Barath,2010,215,10
AB Barath,2010,218,2
AB Dinda,2008,78,2
AB Dinda,2008,99,1
AB Dinda,2009,121,1
AB Dinda,2009,132,1
AB Dinda,2010,217,1
AB Dinda,2011,238,2
AB Dinda,2012,321,2
AB Dinda,2013,384,1
AB Dinda,2013,402,1
AB Dinda,2013,411,1
AB Dinda,2013,422,1
AB Dinda,2013,426,2
AB Dinda,2014,471,1
AB Dinda,2014,475,1
AB Dinda,2014,484,2
AB Dinda,2017,9,3
AB McDonald,2009,167,2
AB McDonald,2010,197,4
AB McDonald,2010,203,3
AB McDonald,2010,221,10
AB McDonald,2011,289,3
AB McDonald,2012,312,5
AB McDonald,2012,333,3
AB McDonald,2012,350,4
AB McDonald,2013,401,1
AB de Villiers,2008,79,8
AB de Villiers,2008,82,4
AB de Villiers,2008,87,1
AB de Villiers,2008,93,6
AB de Villiers,2008,95,5
AB de Villiers,2008,104,8
AB de Villiers,2009,125,20
AB de Villiers,2009,129,9
AB de Villiers,2009,133,14
AB de Villiers,2009,136,2
AB de Villiers,2009,141,1
AB de Villiers,2009,150,10
AB de Villiers,2009,154,12
AB de Villiers,2009,158,11
