batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
SR Tendulkar,0.584884054,0.513192612,0.489376573,0.80423469,0.358974359,0.2,0.610997963,0.111111111,0.587301587,0.557980803
LMP Simmons,0.251073576,0.237247142,0.526684022,1,0.307692308,0.2,0.224032587,0.168582375,0.26984127,0.554850054
M Vijay,0.598625823,0.552110818,0.514408632,0.681691802,0.384615385,0.4,0.490835031,0.340996169,0.555555556,0.545252264
AC Gilchrist,0.44488978,0.454925242,0.570234267,0.695099629,0.333333333,0.4,0.488798371,0.352490421,0.412698413,0.544035827
ML Hayden,0.239908388,0.243403694,0.565469096,0.929767146,0.205128205,0,0.252545825,0.168582375,0.26984127,0.533212632
KD Karthik,0.675350701,0.638302551,0.527179177,0.58226246,0.358974359,0,0.582484725,0.272030651,0.650793651,0.523423487
Yuvraj Singh,0.586601775,0.569700967,0.541672474,0.600324374,0.307692308,0,0.415478615,0.540229885,0.555555556,0.521165767
HM Amla,0.11938162,0.126868953,0.591592618,0.969242354,0.128205128,0.4,0.122199593,0.08045977,0.095238095,0.521108538
JH Kallis,0.655596908,0.533641161,0.454012596,0.68662992,0.435897436,0,0.523421589,0.168582375,0.53968254,0.518680914
JP Duminy,0.467506441,0.4382146,0.522731247,0.733771757,0.358974359,0,0.254582485,0.298850575,0.428571429,0.515796928
KA Pollard,0.478957916,0.51759015,0.60266257,0.564891434,0.307692308,0,0.323828921,0.563218391,0.412698413,0.513203471
AT Rayudu,0.561981105,0.531222515,0.527203957,0.618420936,0.358974359,0,0.419551935,0.302681992,0.555555556,0.508335766
R Dravid,0.54881191,0.478012313,0.485773872,0.712561315,0.282051282,0,0.553971487,0.107279693,0.507936508,0.508162297
SPD Smith,0.381334097,0.376649077,0.550744829,0.742578253,0.153846154,0.2,0.307535642,0.164750958,0.396825397,0.495525705
AJ Finch,0.363298025,0.352682498,0.54128234,0.673598239,0.333333333,0,0.352342159,0.22605364,0.333333333,0.489457828
MK Pandey,0.543945033,0.48878628,0.5011648,0.628915663,0.256410256,0.2,0.405295316,0.249042146,0.46031746,0.488054245
DA Miller,0.324649299,0.343667546,0.590182505,0.656380329,0.230769231,0.2,0.219959267,0.295019157,0.317460317,0.484743291
CA Lynn,0.074148297,0.084432718,0.632967033,0.860055607,0.076923077,0,0.063136456,0.088122605,0.079365079,0.477456695
F du Plessis,0.298310908,0.284740545,0.532118888,0.756638595,0.205128205,0,0.226069246,0.14559387,0.317460317,0.475090145
DPMD Jayawardene,0.435442313,0.397537379,0.509104562,0.622988997,0.282051282,0.2,0.409368635,0.153256705,0.365079365,0.471210256
KC Sangakkara,0.407386201,0.370932278,0.507724719,0.666780243,0.256410256,0,0.401221996,0.099616858,0.365079365,0.469517603
GJ Maxwell,0.223017463,0.270228672,0.675274725,0.600572921,0.153846154,0,0.199592668,0.314176245,0.26984127,0.469134711
KP Pietersen,0.216719153,0.220096746,0.565963061,0.747322624,0.128205128,0.2,0.187372709,0.153256705,0.238095238,0.465963342
PA Patel,0.589464644,0.51055409,0.483079057,0.537998146,0.256410256,0,0.613034623,0.134099617,0.46031746,0.463451228
Q de Kock,0.161752076,0.159630607,0.549722362,0.750481215,0.153846154,0.2,0.187372709,0.08045977,0.174603175,0.451440029
A Symonds,0.22330375,0.21416007,0.534479605,0.727165071,0.153846154,0.2,0.152749491,0.157088123,0.222222222,0.450576964
SV Samson,0.333237904,0.313544415,0.524586143,0.618164968,0.205128205,0.2,0.228105906,0.218390805,0.301587302,0.444425352
ST Jayasuriya,0.163756084,0.168865435,0.574420344,0.688044486,0.128205128,0.2,0.17311609,0.14559387,0.158730159,0.441488068
MN van Wyk,0.038362439,0.036719437,0.53015873,0.89768304,0.025641026,0,0.036659878,0.003831418,0.047619048,0.439302776
AD Russell,0.099914114,0.126209323,0.702857143,0.617089898,0.076923077,0,0.101832994,0.141762452,0.158730159,0.436927115
BA Stokes,0.06470083,0.069481091,0.596601636,0.772095375,0.051282051,0.2,0.044806517,0.057471264,0.063492063,0.436505191
RA Tripathi,0.078442599,0.085971856,0.609350649,0.750628889,0.051282051,0,0.091649695,0.0651341,0.111111111,0.435964907
S Badrinath,0.356140853,0.316842568,0.496041308,0.595836601,0.282051282,0,0.317718941,0.107279693,0.365079365,0.433936908
KK Nair,0.265674206,0.254617414,0.534214978,0.622465246,0.205128205,0,0.274949084,0.099616858,0.238095238,0.431485787
WP Saha,0.348697395,0.342348285,0.547404195,0.536501034,0.179487179,0.2,0.266802444,0.218390805,0.253968254,0.430569604
KH Pandya,0.0893215,0.105540897,0.65723414,0.678991269,0.025641026,0,0.093686354,0.076628352,0.111111111,0.429607636
N Rana,0.101345548,0.096086192,0.527565392,0.783008959,0.102564103,0,0.061099796,0.095785441,0.095238095,0.428128724
BJ Hodge,0.329802462,0.307827617,0.520381613,0.597260838,0.153846154,0,0.254582485,0.164750958,0.333333333,0.425656067
SS Iyer,0.187231606,0.177440633,0.528026172,0.677797729,0.153846154,0,0.16089613,0.122605364,0.19047619,0.42285648
SC Ganguly,0.379330089,0.296613896,0.436005171,0.647441414,0.179487179,0,0.281059063,0.157088123,0.333333333,0.420710009
MK Tiwary,0.413111938,0.36235708,0.489117531,0.560669162,0.179487179,0,0.311608961,0.149425287,0.380952381,0.420554175
RR Pant,0.108789007,0.124010554,0.634420697,0.631603336,0.076923077,0,0.095723014,0.114942529,0.158730159,0.418937186
PD Collingwood,0.045233324,0.044635004,0.547169811,0.779425394,0.076923077,0,0.018329939,0.049808429,0.047619048,0.416667637
TM Dilshan,0.299456055,0.25351803,0.471960704,0.619777572,0.230769231,0,0.283095723,0.091954023,0.26984127,0.416256954
DL Chahar,0.001431434,0.003078276,1,0.376274328,0,0,0,0.007662835,0,0.413721468
M Vohra,0.214428858,0.210422164,0.546857143,0.62734239,0.076923077,0,0.195519348,0.134099617,0.222222222,0.413448158
DJ Hussey,0.314915545,0.290677221,0.51459712,0.582476185,0.128205128,0,0.183299389,0.229885057,0.301587302,0.413380064
KS Williamson,0.092756942,0.090369393,0.541978022,0.736422614,0.076923077,0,0.075356415,0.042145594,0.079365079,0.412690969
CL White,0.221299742,0.21350044,0.53765227,0.579940274,0.153846154,0,0.152749491,0.14559387,0.238095238,0.402505506
KL Rahul,0.169195534,0.15941073,0.524855212,0.649521162,0.102564103,0,0.124236253,0.091954023,0.142857143,0.401183951
HH Gibbs,0.239335814,0.194810906,0.453661034,0.661466378,0.153846154,0,0.17107943,0.118773946,0.174603175,0.400472717
GC Smith,0.197537933,0.162489006,0.458341947,0.68489342,0.102564103,0,0.193482688,0.034482759,0.142857143,0.394965571
SS Tiwary,0.317778414,0.280562885,0.492220651,0.535854958,0.179487179,0,0.189409369,0.172413793,0.253968254,0.393920093
LJ Wright,0.017749785,0.023306948,0.721088435,0.56978684,0,0,0.030549898,0.011494253,0.031746032,0.393308915
Kamran Akmal,0.022044088,0.028144239,0.703296703,0.573370405,0.025641026,0,0.024439919,0.030651341,0.015873016,0.393030738
JC Buttler,0.107071285,0.116094987,0.603428571,0.59128823,0.025641026,0,0.101832994,0.099616858,0.079365079,0.391047527
MJ Lumb,0.056398511,0.06112577,0.601731602,0.622644424,0.025641026,0,0.095723014,0.022988506,0.079365079,0.386889334
NV Ojha,0.387918695,0.341468777,0.490834387,0.44881262,0.153846154,0,0.248472505,0.298850575,0.174603175,0.38614564
OA Shah,0.115659891,0.111257696,0.535449735,0.618164968,0.102564103,0,0.071283096,0.088122605,0.095238095,0.383526758
MC Henriques,0.219868308,0.213060686,0.540033439,0.520871177,0.128205128,0,0.175152749,0.103448276,0.19047619,0.381858971
JR Hopes,0.089607787,0.091688654,0.569153776,0.589873665,0.102564103,0,0.099796334,0.042145594,0.063492063,0.381128376
Mandeep Singh,0.268250787,0.244503078,0.508071885,0.515291937,0.128205128,0,0.274949084,0.068965517,0.19047619,0.381076874
Salman Butt,0.048955053,0.042436236,0.48089701,0.741030054,0.025641026,0,0.061099796,0.007662835,0.031746032,0.380570354
AC Voges,0.040652734,0.039797713,0.542457542,0.694955647,0,0,0.032586558,0.011494253,0.031746032,0.380207079
V Shankar,0.021757801,0.022207564,0.562152134,0.678637627,0.025641026,0,0.024439919,0.003831418,0.015873016,0.380050357
JD Ryder,0.13312339,0.132805629,0.555487431,0.559777572,0.102564103,0,0.136456212,0.072796935,0.126984127,0.378692394
BJ Rohrer,0.041511595,0.042436236,0.566536204,0.648401297,0.025641026,0,0.044806517,0.019157088,0.047619048,0.377650438
RS Bopara,0.133695963,0.116754617,0.486263736,0.648706715,0.076923077,0,0.079429735,0.061302682,0.095238095,0.375781945
AJ Tye,0.008302319,0.011653474,0.757142857,0.474822366,0,0,0.00814664,0.011494253,0,0.37242995
RA Jadeja,0.417119954,0.380826737,0.509112287,0.431023238,0,0,0.256619145,0.218390805,0.222222222,0.372046117
PC Valthaty,0.123389636,0.111037819,0.500992063,0.590119676,0.076923077,0.2,0.128309572,0.076628352,0.079365079,0.369878464
DJ Harris,0.02920126,0.024406332,0.46185853,0.745829472,0,0,0.022403259,0.019157088,0.031746032,0.36892475
LRPL Taylor,0.242198683,0.223614776,0.514589307,0.50617856,0.076923077,0,0.138492872,0.172413793,0.174603175,0.368433408
SW Billings,0.04924134,0.049692172,0.559867878,0.607414272,0.051282051,0,0.048879837,0.019157088,0.031746032,0.367315148
SA Asnodkar,0.100486688,0.093007916,0.515016234,0.598361056,0.051282051,0,0.120162933,0.038314176,0.111111111,0.364176774
EJG Morgan,0.207271686,0.187774846,0.504827586,0.510060756,0.102564103,0,0.154786151,0.130268199,0.158730159,0.362515104
MS Bisla,0.210707129,0.175461741,0.464043419,0.549939403,0.102564103,0,0.197556008,0.088122605,0.095238095,0.361649064
DJ Bravo,0.295161752,0.277484609,0.524086379,0.41874621,0.102564103,0,0.211812627,0.183908046,0.222222222,0.361474102
CJ Anderson,0.118236473,0.114555849,0.539337474,0.538568475,0.076923077,0,0.081466395,0.114942529,0.111111111,0.3610307
Y Venugopal Rao,0.247351847,0.216578716,0.488026424,0.509107436,0.076923077,0,0.156822811,0.141762452,0.174603175,0.360341274
CH Morris,0.078442599,0.096525945,0.684155844,0.421388852,0.051282051,0,0.067209776,0.084291188,0.079365079,0.360128494
SN Khan,0.02920126,0.038918206,0.736477115,0.432471143,0,0,0.038696538,0.022988506,0.047619048,0.360124429
BCJ Cutting,0.019753793,0.027264732,0.759183673,0.416589435,0,0,0.018329939,0.038314176,0.015873016,0.360028042
SM Katich,0.054394503,0.052990325,0.540762902,0.58884489,0.051282051,0,0.052953157,0.030651341,0.047619048,0.357575102
BJ Haddin,0.002862869,0.003957784,0.701298701,0.483781279,0,0,0.00407332,0.003831418,0,0.356577933
JA Morkel,0.203549957,0.214379947,0.58687801,0.391116706,0.076923077,0,0.124236253,0.206896552,0.111111111,0.353816546
Ishan Kishan,0.072716862,0.070140721,0.536134454,0.571578622,0.025641026,0,0.069246436,0.049808429,0.079365079,0.353363697
TM Head,0.042943029,0.045074758,0.581835383,0.550973123,0.025641026,0,0.024439919,0.030651341,0.063492063,0.352611157
KM Jadhav,0.195533925,0.196350044,0.55952381,0.421068891,0.076923077,0,0.144602851,0.126436782,0.158730159,0.348990225
JJ Roy,0.011451474,0.012972735,0.616724739,0.528575842,0,0,0.018329939,0.003831418,0.015873016,0.346973002
Umar Gul,0.005153163,0.008575198,0.879699248,0.262048193,0,0,0.00407332,0.019157088,0,0.345073968
GJ Bailey,0.15774406,0.145778364,0.514751553,0.49497992,0.051282051,0,0.122199593,0.072796935,0.126984127,0.343434474
MA Agarwal,0.19782422,0.178979771,0.504128819,0.455784677,0.076923077,0,0.16904277,0.126436782,0.158730159,0.342874746
AD Mathews,0.171199542,0.159190853,0.518006201,0.474603856,0.025641026,0,0.091649695,0.111111111,0.126984127,0.337908327
Azhar Mahmood,0.088748926,0.085312225,0.534680753,0.496579725,0.051282051,0,0.081466395,0.049808429,0.079365079,0.336166171
MJ Guptill,0.040652734,0.041556728,0.566433566,0.507970343,0.025641026,0,0.042769857,0.026819923,0.047619048,0.33567667
UT Khawaja,0.029773833,0.027924362,0.518367347,0.568890948,0,0,0.028513238,0.011494253,0.031746032,0.333144198
TL Suman,0.1677641,0.148636763,0.493550742,0.465863454,0.051282051,0,0.112016293,0.099616858,0.095238095,0.330022497
MP Stoinis,0.038648726,0.03583993,0.513655462,0.547613531,0.025641026,0,0.030549898,0.01532567,0.047619048,0.329519263
AP Dole,0.006298311,0.007475814,0.633540373,0.456904541,0,0,0.00610998,0.003831418,0.015873016,0.328853555
IK Pathan,0.28170627,0.252858399,0.500362582,0.376929858,0.025641026,0,0.191446029,0.14559387,0.158730159,0.327259842
S Sohal,0.088748926,0.080914688,0.50711989,0.494531974,0.051282051,0,0.069246436,0.068965517,0.095238095,0.327137861
LA Pomersbach,0.071571715,0.066402814,0.515651679,0.507298424,0.025641026,0,0.054989817,0.049808429,0.047619048,0.326505794
AP Majumdar,0.021757801,0.019129288,0.484230056,0.584569045,0,0,0.014256619,0.007662835,0.031746032,0.325098283
RN ten Doeschate,0.067849986,0.071679859,0.587034814,0.417229357,0.025641026,0,0.054989817,0.057471264,0.063492063,0.321701402
MV Boucher,0.090752934,0.086631486,0.530997305,0.460410203,0.025641026,0,0.067209776,0.045977011,0.095238095,0.320650455
JEC Franklin,0.088176353,0.071899736,0.453536755,0.549293327,0.025641026,0,0.050916497,0.034482759,0.047619048,0.320645039
CR Brathwaite,0.015745777,0.020888303,0.727040816,0.31916126,0,0,0.016293279,0.030651341,0.015873016,0.319716352
SM Pollock,0.032922989,0.0323219,0.543103448,0.493860056,0,0,0.024439919,0.030651341,0.031746032,0.319517265
Ankit Sharma,0.032636702,0.031882146,0.540372671,0.487140871,0.025641026,0,0.044806517,0.011494253,0.031746032,0.319464326
Shakib Al Hasan,0.114514744,0.109938434,0.53437834,0.419949027,0.051282051,0,0.093686354,0.057471264,0.095238095,0.318152316
AC Blizzard,0.025765817,0.026385224,0.565149137,0.460744075,0.025641026,0,0.044806517,0.007662835,0.031746032,0.317855106
SP Fleming,0.048668766,0.043095866,0.49122807,0.526784059,0,0,0.052953157,0.011494253,0.047619048,0.31654304
SA Yadav,0.136845119,0.133685136,0.543990456,0.389072775,0.025641026,0,0.107942974,0.08045977,0.095238095,0.315077436
STR Binny,0.176925279,0.168425682,0.530348488,0.367635377,0,0,0.120162933,0.111111111,0.142857143,0.310162064
A Flintoff,0.016032064,0.013632366,0.466165414,0.55545258,0,0,0.012219959,0.007662835,0,0.309965405
D Wiese,0.026624678,0.027924362,0.579027356,0.426668211,0,0,0.026476578,0.01532567,0.015873016,0.308605241
Misbah-ul-Haq,0.023189236,0.025725594,0.611498258,0.393072289,0,0,0.020366599,0.022988506,0.031746032,0.307908158
AR Patel,0.141139422,0.133245383,0.52573742,0.38779293,0,0,0.069246436,0.107279693,0.111111111,0.305724647
NLTC Perera,0.093043229,0.093227792,0.557405784,0.379857893,0,0,0.052953157,0.099616858,0.079365079,0.304837776
ER Dwivedi,0.004008016,0.005277045,0.685714286,0.322520853,0,0,0.00610998,0.007662835,0,0.304086115
Shahid Afridi,0.012882909,0.017810026,0.754658385,0.241890639,0,0,0.014256619,0.022988506,0.015873016,0.303767129
AL Menaria,0.104780991,0.088170624,0.468275594,0.468590079,0,0,0.048879837,0.0651341,0.079365079,0.302445448
Harbhajan Singh,0.168909247,0.175681618,0.579405366,0.26188431,0.025641026,0,0.154786151,0.157088123,0.095238095,0.301224948
YV Takawale,0.052104208,0.042216359,0.449648712,0.516033364,0,0,0.054989817,0.011494253,0.031746032,0.301070411
LPC Silva,0.007443458,0.008795075,0.634920635,0.358356503,0,0,0.010183299,0.003831418,0,0.300177538
KK Cooper,0.019753793,0.025505717,0.710204082,0.259808465,0,0,0.018329939,0.030651341,0.015873016,0.297664201
Niraj Patel,0.035213284,0.026605101,0.418202765,0.542014211,0.025641026,0,0.030549898,0.003831418,0.031746032,0.297418747
A Ashish Reddy,0.055825938,0.061565523,0.612244898,0.327195068,0,0,0.034623218,0.057471264,0.031746032,0.29665174
C de Grandhomme,0.026052104,0.027704485,0.586956522,0.376274328,0,0,0.020366599,0.022988506,0.031746032,0.295847281
HH Pandya,0.087317492,0.089270009,0.568627451,0.330665319,0.025641026,0,0.048879837,0.107279693,0.047619048,0.295503179
DJ Hooda,0.079015173,0.082014072,0.577101599,0.334167439,0.025641026,0,0.038696538,0.076628352,0.047619048,0.295403439
MF Maharoof,0.035213284,0.038918206,0.611751152,0.339798755,0,0,0.024439919,0.034482759,0.015873016,0.294897217
Gurkeerat Singh,0.079874034,0.075197889,0.523469388,0.382993513,0.025641026,0,0.075356415,0.034482759,0.031746032,0.293360378
C Munro,0.115087317,0.085751979,0.414746544,0.47645126,0.025641026,0,0.103869654,0.01532567,0.063492063,0.292443423
Bipul Sharma,0.035213284,0.041116974,0.646313364,0.295644115,0,0,0.022403259,0.034482759,0.015873016,0.292096799
DB Ravi Teja,0.092756942,0.082453826,0.494505495,0.403151066,0.025641026,0,0.073319756,0.034482759,0.079365079,0.291945649
AM Nayar,0.168050386,0.147757256,0.489795918,0.361223355,0,0,0.116089613,0.076628352,0.095238095,0.291208001
Y Gnaneswara Rao,0.004866877,0.004177661,0.452380952,0.510658017,0,0,0.00610998,0,0,0.290000499
RS Sodhi,0.000286287,0.000879507,0.857142857,0.107506951,0,0,0.00203666,0,0,0.289639774
JP Faulkner,0.115946178,0.11587511,0.556298381,0.314756462,0,0,0.073319756,0.088122605,0.095238095,0.289121012
DJG Sammy,0.071571715,0.064863676,0.503699488,0.396431881,0.025641026,0,0.030549898,0.068965517,0.015873016,0.288944891
TR Birt,0.016604638,0.016490765,0.544794189,0.403151066,0,0,0.018329939,0.007662835,0,0.288605751
MR Marsh,0.057257372,0.049472296,0.479744136,0.431947571,0,0,0.018329939,0.053639847,0.047619048,0.285819097
J Botha,0.10392213,0.089929639,0.48155416,0.392592347,0.025641026,0,0.079429735,0.019157088,0.063492063,0.285706632
DT Christian,0.100200401,0.092348285,0.512820513,0.364136447,0,0,0.044806517,0.0651341,0.031746032,0.284376439
Sachin Baby,0.03006012,0.030123131,0.553908356,0.368211307,0,0,0.022403259,0.019157088,0.015873016,0.283868871
R Tewatia,0.006584598,0.00769569,0.625,0.31356194,0,0,0.00814664,0.003831418,0,0.283467531
I Malhotra,0.000858861,0.001539138,0.75,0.188137164,0,0,0.00203666,0,0,0.281780572
LA Carseldine,0.02004008,0.017810026,0.488933602,0.435403151,0,0,0.022403259,0,0.015873016,0.281652261
P Negi,0.081019181,0.077616535,0.532696177,0.327154773,0,0,0.057026477,0.061302682,0.047619048,0.277437912
AP Tare,0.081305468,0.074538259,0.509774436,0.337452374,0.025641026,0,0.083503055,0.042145594,0.031746032,0.276625194
FY Fazal,0.050959061,0.040237467,0.438148444,0.447131182,0,0,0.046843177,0.003831418,0.047619048,0.275664495
DB Das,0.076152305,0.066842568,0.487961477,0.371387648,0,0,0.046843177,0.061302682,0.031746032,0.275253793
BB Samantray,0.032922989,0.027484609,0.46182266,0.419949027,0.025641026,0,0.026476578,0.007662835,0.031746032,0.27380335
SP Narine,0.054967077,0.059586631,0.601776462,0.242786531,0.025641026,0,0.073319756,0.045977011,0.063492063,0.272531021
M Manhas,0.138849127,0.113016711,0.453262787,0.363543242,0,0,0.089613035,0.038314176,0.079365079,0.271857699
M Klinger,0.022044088,0.016051011,0.401098901,0.490500463,0,0,0.018329939,0,0,0.271470211
RR Sarwan,0.022044088,0.016051011,0.401098901,0.490500463,0,0,0.012219959,0.003831418,0.015873016,0.271272397
W Jaffer,0.036644718,0.028583993,0.431893688,0.436746988,0.025641026,0,0.028513238,0.011494253,0.031746032,0.270532522
MC Juneja,0.038076152,0.027484609,0.39978678,0.479941745,0,0,0.022403259,0.003831418,0.015873016,0.270368939
AB McDonald,0.02920126,0.027044855,0.511789182,0.367315416,0,0,0.018329939,0.01532567,0.031746032,0.270098564
MD Mishra,0.060692814,0.052110818,0.476861167,0.374693344,0,0,0.052953157,0.030651341,0.031746032,0.269257877
K Upadhyay,0.002290295,0.002638522,0.571428571,0.322520853,0,0,0.00203666,0,0,0.26870576
MJ Clarke,0.027197252,0.021547933,0.4375,0.438986716,0,0,0.024439919,0,0.015873016,0.268171465
PJ Cummins,0.006584598,0.007255937,0.589285714,0.295644115,0,0,0.010183299,0,0,0.267246603
PA Reddy,0.047523619,0.036059807,0.420872541,0.440778499,0,0,0.030549898,0.007662835,0.015873016,0.267075736
J Suchith,0.00916118,0.01055409,0.623376623,0.258016682,0,0,0.00814664,0.007662835,0.015873016,0.266961494
LR Shukla,0.102204409,0.089050132,0.484836393,0.329850872,0,0,0.067209776,0.061302682,0.047619048,0.266804258
B Chipli,0.073003149,0.061565523,0.46875,0.358356503,0.025641026,0,0.059063136,0.026819923,0.031746032,0.266246378
VVS Laxman,0.077297452,0.062005277,0.445967317,0.378962002,0.025641026,0,0.069246436,0.01532567,0.063492063,0.265875089
P Sahu,0.003435442,0.004177661,0.626373626,0.255329008,0,0,0.00203666,0.003831418,0,0.26547278
Y Nagar,0.077297452,0.062664908,0.45071165,0.382993513,0,0,0.040733198,0.034482759,0.015873016,0.265163201
UBT Chand,0.089607787,0.065963061,0.409463148,0.403151066,0.025641026,0,0.065173116,0.034482759,0.047619048,0.264056146
RE Levi,0.020898941,0.01824978,0.480694981,0.371794872,0.025641026,0,0.020366599,0.01532567,0.015873016,0.263526186
VH Zol,0.007157171,0.006376429,0.478021978,0.389712697,0,0,0.00610998,0.003831418,0,0.261973488
SP Jackson,0.008588606,0.008355321,0.525345622,0.340438678,0,0,0.010183299,0,0,0.261713083
AA Jhunjhunwala,0.062124248,0.047713281,0.426605505,0.388816806,0.025641026,0,0.040733198,0.019157088,0.031746032,0.259069085
SP Goswami,0.074148297,0.052990325,0.397252747,0.404830862,0.025641026,0,0.052953157,0.007662835,0.031746032,0.256362124
K Rabada,0.01918122,0.012093228,0.346638655,0.492740192,0,0,0.010183299,0.003831418,0.015873016,0.254924754
KMDN Kulasekara,0.000572574,0.001099384,0.714285714,0.134383689,0,0,0.00203666,0,0,0.254881954
RJ Quiney,0.029773833,0.022647318,0.420408163,0.395471998,0.025641026,0,0.026476578,0.011494253,0.015873016,0.25362459
AS Raut,0.048955053,0.042656113,0.483388704,0.325880445,0,0,0.026476578,0.026819923,0.031746032,0.252956665
BR Dunk,0.01002004,0.008795075,0.476190476,0.358356503,0,0,0.014256619,0,0,0.252742567
CM Gautam,0.044947037,0.037159191,0.45840868,0.34939759,0,0,0.038696538,0.022988506,0.047619048,0.25239322
R Sathish,0.067277412,0.059366755,0.49031477,0.302363299,0,0,0.044806517,0.022988506,0,0.251619733
NL McCullum,0.006298311,0.005716799,0.48447205,0.34939759,0,0,0,0.003831418,0,0.251277372
Sunny Singh,0.008588606,0.009454705,0.594470046,0.231139944,0,0,0.012219959,0.003831418,0,0.25014318
RD Chahar,0.01002004,0.011873351,0.642857143,0.18141798,0,0,0.00610998,0.011494253,0,0.250088228
D Salunkhe,0.015745777,0.016930519,0.589285714,0.229945423,0,0,0.010183299,0.01532567,0,0.249882053
N Saini,0.040652734,0.030782762,0.41958042,0.376274328,0.025641026,0,0.032586558,0,0.031746032,0.248712499
DR Martyn,0.007157171,0.004177661,0.313186813,0.510658017,0,0,0.00203666,0,0,0.24807164
Anirudh Singh,0.019467506,0.013852243,0.391304348,0.423308619,0,0,0.012219959,0.003831418,0.015873016,0.247827772
S Anirudha,0.034354423,0.029903254,0.481700118,0.304603027,0.025641026,0,0.022403259,0.026819923,0.015873016,0.246340516
KJ Abbott,0.002004008,0.002858399,0.696428571,0.116465863,0,0,0,0.003831418,0,0.244484256
DH Yagnik,0.040366447,0.037379068,0.513078471,0.268767377,0,0,0.046843177,0.007662835,0.031746032,0.244048776
SD Chitnis,0.026052104,0.02176781,0.461180124,0.332599629,0,0,0.020366599,0.003831418,0.015873016,0.243268859
GR Napier,0.004294303,0.003298153,0.401785714,0.403151066,0,0,0.00203666,0,0,0.242168131
AB Barath,0.012024048,0.009234828,0.418604651,0.376274328,0,0,0.010183299,0.003831418,0.015873016,0.240931095
S Narwal,0.008016032,0.008135444,0.54679803,0.248609824,0,0,0.012219959,0,0,0.240692099
TG Southee,0.007157171,0.008575198,0.642857143,0.149741824,0,0,0.010183299,0.007662835,0,0.24016767
K Goel,0.068136273,0.047933157,0.390914525,0.366195551,0,0,0.034623218,0.034482759,0.015873016,0.239825743
JM Kemp,0.006870885,0.005716799,0.445714286,0.34939759,0,0,0.00203666,0.003831418,0,0.239821238
S Rana,0.023189236,0.020008795,0.475609756,0.305722892,0,0,0.018329939,0.003831418,0,0.239073116
SB Styris,0.038076152,0.02880387,0.418976546,0.352085264,0,0,0.022403259,0.011494253,0.015873016,0.238360621
T Taibu,0.007157171,0.006816183,0.510989011,0.27772629,0,0,0.00610998,0,0,0.238081766
M Kaif,0.073575723,0.056948109,0.430232558,0.316412503,0,0,0.046843177,0.022988506,0.031746032,0.238025448
S Vidyut,0.019467506,0.019129288,0.540372671,0.233827618,0,0,0.014256619,0.01532567,0.015873016,0.237063894
RE van der Merwe,0.040939021,0.034960422,0.473214286,0.28489342,0,0,0.026476578,0.030651341,0.031746032,0.236667746
KV Sharma,0.081305468,0.069700967,0.476691729,0.250586055,0,0,0.036659878,0.053639847,0.031746032,0.235003288
