batsman,no of balls,batsman_runs,SRR
DH Yagnik,142,170,119.7183099
DT Christian,351,420,119.6581197
AB McDonald,103,123,119.4174757
T Taibu,26,31,119.2307692
AP Tare,285,339,118.9473684
RA Jadeja,1458,1732,118.7928669
DPMD Jayawardene,1522,1808,118.7910644
JO Holder,32,38,118.75
Mandeep Singh,938,1112,118.5501066
S Dhawan,3005,3561,118.5024958
KC Sangakkara,1424,1687,118.4691011
S Sohal,311,368,118.3279743
R Bhatia,290,342,117.9310345
EJG Morgan,725,854,117.7931034
MA Agarwal,692,814,117.6300578
DJG Sammy,251,295,117.5298805
AM Rahane,2602,3057,117.4865488
MK Pandey,1901,2223,116.9384534
PC Valthaty,432,505,116.8981481
IK Pathan,985,1150,116.751269
Sohail Tanvir,31,36,116.1290323
S Badrinath,1245,1441,115.7429719
DB Ravi Teja,325,375,115.3846154
SA Abbott,13,15,115.3846154
TL Suman,587,676,115.1618399
SS Tiwary,1111,1276,114.8514851
SP Fleming,171,196,114.619883
NV Ojha,1356,1553,114.5280236
R Sathish,236,270,114.4067797
AM Nayar,588,672,114.2857143
SR Tendulkar,2044,2334,114.1878669
MK Tiwary,1444,1648,114.1274238
LA Carseldine,71,81,114.084507
Y Venugopal Rao,865,985,113.8728324
DB Das,267,304,113.8576779
RS Bopara,468,531,113.4615385
R Dravid,1918,2174,113.3472367
R Dhawan,135,153,113.3333333
LR Shukla,358,405,113.1284916
NL McCullum,23,26,113.0434783
AP Majumdar,77,87,112.987013
AS Raut,172,194,112.7906977
PA Patel,2060,2322,112.7184466
S Anirudha,121,136,112.3966942
J Botha,364,409,112.3626374
Salman Butt,172,193,112.2093023
RE Levi,74,83,112.1621622
MR Marsh,201,225,111.9402985
AB Agarkar,160,179,111.875
R Bishnoi,17,19,111.7647059
VH Zol,26,29,111.5384615
MD Mishra,213,237,111.2676056
KV Sharma,285,317,111.2280702
BR Dunk,36,40,111.1111111
KAJ Roach,9,10,111.1111111
RR Raje,18,20,111.1111111
S Rana,82,91,110.9756098
WPUJC Vaas,73,81,110.9589041
RE van der Merwe,144,159,110.4166667
PP Chawla,467,515,110.2783726
TM Dilshan,1047,1153,110.1241643
B Chipli,256,280,109.375
AL Menaria,367,401,109.2643052
AA Chavan,11,12,109.0909091
MA Khote,22,24,109.0909091
A Flintoff,57,62,108.7719298
MS Bisla,737,798,108.2767978
DJ Harris,103,111,107.7669903
BB Samantray,116,125,107.7586207
F Behardien,13,14,107.6923077
MDKJ Perera,13,14,107.6923077
MM Sharma,104,112,107.6923077
SD Chitnis,92,99,107.6086957
J Syed Mohammad,27,29,107.4074074
CM Gautam,158,169,106.9620253
GC Smith,691,739,106.9464544
R Vinay Kumar,285,304,106.6666667
Shoaib Malik,49,52,106.122449
JH Kallis,2291,2427,105.9362724
JJ van der Wath,17,18,105.8823529
HH Gibbs,837,886,105.8542413
JEC Franklin,309,327,105.8252427
M Manhas,486,514,105.7613169
Y Gnaneswara Rao,18,19,105.5555556
AC Thomas,19,20,105.2631579
P Kumar,323,340,105.2631579
Y Nagar,271,285,105.1660517
YV Takawale,183,192,104.9180328
RR Powar,64,67,104.6875
RJ Harris,112,117,104.4642857
VVS Laxman,271,282,104.0590406
JM Kemp,25,26,104
RR Rossouw,51,53,103.9215686
M Kartik,109,113,103.6697248
DW Steyn,161,166,103.1055901
DL Vettori,118,121,102.5423729
Iqbal Abdulla,86,88,102.3255814
FY Fazal,179,183,102.2346369
MJ Clarke,96,98,102.0833333
SC Ganguly,1326,1349,101.73454
W Jaffer,129,130,100.7751938
M Kaif,258,259,100.3875969
AD Mascarenhas,79,79,100
AR Bawne,12,12,100
BB Sran,4,4,100
DP Vijaykumar,1,1,100
DT Patil,13,13,100
GB Hogg,22,22,100
LH Ferguson,1,1,100
Mashrafe Mortaza,2,2,100
Mohammed Shami,46,46,100
NJ Rimmington,1,1,100
RG More,2,2,100
RJ Peterson,32,32,100
S Aravind,59,59,100
SJ Srivastava,5,5,100
VS Malik,7,7,100
VS Yeligati,2,2,100
AA Jhunjhunwala,218,217,99.5412844
UT Yadav,95,94,98.94736842
B Kumar,160,158,98.75
PA Reddy,167,164,98.20359281
NM Coulter-Nile,53,52,98.11320755
RJ Quiney,105,103,98.0952381
R Rampaul,52,51,98.07692308
MA Starc,98,96,97.95918367
N Saini,143,140,97.9020979
CR Woakes,47,46,97.87234043
SB Styris,134,131,97.76119403
AB Barath,43,42,97.6744186
Niraj Patel,124,121,97.58064516
C Munro,31,30,96.77419355
CA Pujara,403,390,96.77419355
JDP Oram,110,106,96.36363636
KB Arun Karthik,53,51,96.22641509
MG Johnson,157,151,96.17834395
J Arunkumar,24,23,95.83333333
UBT Chand,314,300,95.54140127
NJ Maddinson,21,20,95.23809524
MM Patel,41,39,95.12195122
PR Shah,97,92,94.84536082
DS Lehmann,19,18,94.73684211
RV Gomez,53,50,94.33962264
R Ashwin,246,231,93.90243902
GR Napier,16,15,93.75
M Klinger,78,73,93.58974359
RR Sarwan,78,73,93.58974359
Basil Thampi,30,28,93.33333333
SB Jakati,30,28,93.33333333
MC Juneja,134,125,93.28358209
SP Goswami,260,241,92.69230769
JJ Bumrah,27,25,92.59259259
MN Samuels,174,161,92.52873563
KW Richardson,39,36,92.30769231
B Sumanth,38,35,92.10526316
L Ronchi,37,34,91.89189189
Anirudh Singh,69,63,91.30434783
DE Bollinger,23,21,91.30434783
JDS Neesham,46,42,91.30434783
K Goel,239,218,91.21338912
DJ Jacobs,101,92,91.08910891
Kuldeep Yadav,22,20,90.90909091
SK Warne,219,198,90.4109589
P Dogra,141,127,90.07092199
R McLaren,178,159,89.3258427
DS Kulkarni,101,90,89.10891089
A Mishra,382,340,89.0052356
CK Langeveldt,9,8,88.88888889
SW Tait,26,23,88.46153846
AN Ghosh,8,7,87.5
GH Vihari,323,280,86.6873065
BA Bhatt,7,6,85.71428571
R Sharma,77,66,85.71428571
SS Shaikh,7,6,85.71428571
SL Malinga,103,88,85.4368932
BMAJ Mendis,27,23,85.18518519
Parvez Rasool,20,17,85
SB Bangar,58,49,84.48275862
KC Cariappa,18,15,83.33333333
Z Khan,141,117,82.9787234
A Mukund,23,19,82.60869565
R Shukla,23,19,82.60869565
CJ Ferguson,119,98,82.35294118
VR Aaron,56,46,82.14285714
S Sriram,38,31,81.57894737
K Rabada,68,55,80.88235294
CA Ingram,26,21,80.76923077
AG Paunikar,61,49,80.32786885
FH Edwards,5,4,80
GD McGrath,5,4,80
WD Parnell,80,63,78.75
M Rawat,70,55,78.57142857
AA Bilakhia,88,69,78.40909091
Ankit Soni,9,7,77.77777778
SN Thakur,9,7,77.77777778
D du Preez,13,10,76.92307692
Harpreet Singh,26,20,76.92307692
J Theron,13,10,76.92307692
Anureet Singh,43,33,76.74418605
I Sharma,59,45,76.27118644
Mohammad Hafeez,84,64,76.19047619
IR Jaggi,100,76,76
S Chanderpaul,33,25,75.75757576
AA Noffke,12,9,75
JE Taylor,4,3,75
S Tyagi,4,3,75
Washington Sundar,12,9,75
WA Mota,76,56,73.68421053
DR Martyn,26,19,73.07692308
Vishnu Vinod,26,19,73.07692308
Jaskaran Singh,11,8,72.72727273
TM Srivastava,11,8,72.72727273
TS Mills,11,8,72.72727273
DJ Thornely,54,39,72.22222222
Sandeep Sharma,36,26,72.22222222
Imran Tahir,25,18,72
L Balaji,50,36,72
A Kumble,49,35,71.42857143
AD Nath,28,20,71.42857143
AG Murtaza,14,10,71.42857143
C Madan,21,15,71.42857143
A Chopra,75,53,70.66666667
Karanveer Singh,17,12,70.58823529
RT Ponting,129,91,70.54263566
Yashpal Singh,67,47,70.14925373
NS Naik,33,23,69.6969697
S Kaul,13,9,69.23076923
SK Trivedi,61,42,68.85245902
T Henderson,16,11,68.75
CK Kapugedera,24,16,66.66666667
M Muralitharan,30,20,66.66666667
MS Wade,33,22,66.66666667
Mohammad Nabi,3,2,66.66666667
PJ Sangwan,36,24,66.66666667
RP Singh,78,52,66.66666667
SB Wagh,3,2,66.66666667
A Nehra,63,41,65.07936508
SM Harwood,14,9,64.28571429
T Thushara,19,12,63.15789474
A Zampa,8,5,62.5
TA Boult,8,5,62.5
CJ Jordan,5,3,60
Kamran Khan,5,3,60
Swapnil Singh,20,12,60
S Sreesanth,57,34,59.64912281
SMSM Senanayake,17,10,58.82352941
X Thalaivan Sargunam,17,10,58.82352941
AF Milne,12,7,58.33333333
Pankaj Singh,12,7,58.33333333
M Ntini,19,11,57.89473684
A Chandila,7,4,57.14285714
A Uniyal,7,4,57.14285714
T Kohli,20,11,55
VY Mahesh,28,15,53.57142857
CJ McKay,15,8,53.33333333
AB Dinda,50,26,52
S Badree,25,13,52
S Gopal,27,14,51.85185185
YS Chahal,29,15,51.72413793
BAW Mendis,6,3,50
J Yadav,12,6,50
KP Appanna,4,2,50
M de Lange,2,1,50
Mohammad Asif,6,3,50
PM Sarvesh Kumar,2,1,50
PSP Handscomb,12,6,50
R Ninan,6,3,50
S Randiv,4,2,50
SE Bond,2,1,50
UA Birla,15,7,46.66666667
AS Rajpoot,13,6,46.15384615
PV Tambe,39,18,46.15384615
B Laughlin,9,4,44.44444444
Younis Khan,7,3,42.85714286
H Das,5,2,40
JD Unadkat,13,5,38.46153846
D Kalyankrishna,8,3,37.5
SB Joshi,16,6,37.5
S Nadeem,71,26,36.61971831
P Awana,14,5,35.71428571
PP Ojha,45,16,35.55555556
TD Paine,29,10,34.48275862
BE Hendricks,3,1,33.33333333
DJ Muthuswami,3,1,33.33333333
P Parameswaran,3,1,33.33333333
DP Nannes,13,4,30.76923077
RS Gavaskar,8,2,25
Shoaib Akhtar,8,2,25
A Singh,10,2,20
Mohammad Ashraful,12,2,16.66666667
Shoaib Ahmed,6,1,16.66666667
Abdur Razzak,2,0,0
C Nanda,1,0,0
IC Pandey,2,0,0
L Ablish,2,0,0
M Ashwin,1,0,0
ND Doshi,13,0,0
RR Bhatkal,2,0,0
S Kaushik,1,0,0
S Ladda,10,0,0
Sunny Gupta,1,0,0
U Kaul,1,0,0
V Pratap Singh,1,0,0
YA Abdulla,1,0,0
