batsman,no of balls,batsman_runs,strike
MR Marsh,201,225,111.94029850746267
MS Bisla,737,798,108.27679782903662
MS Dhoni,3318,4477,134.93068113321277
MS Gony,76,99,130.26315789473685
MS Wade,33,22,66.66666666666666
MV Boucher,318,394,123.89937106918238
Mandeep Singh,1254,1547,123.3652312599681
Mashrafe Mortaza,2,2,100.0
Misbah-ul-Haq,82,117,142.6829268292683
Mohammad Ashraful,12,2,16.666666666666664
Mohammad Asif,6,3,50.0
Mohammad Hafeez,84,64,76.19047619047619
Mohammad Nabi,95,146,153.68421052631578
Mohammed Shami,54,54,100.0
Mohammed Siraj,38,34,89.47368421052632
Mustafizur Rahman,3,1,33.33333333333333
N Naik,17,8,47.05882352941176
N Pooran,110,177,160.9090909090909
N Rana,835,1104,132.21556886227546
N Saini,147,143,97.27891156462584
ND Doshi,13,0,0.0
NJ Maddinson,21,20,95.23809523809523
NJ Rimmington,1,1,100.0
NL McCullum,23,26,113.04347826086956
NLTC Perera,326,424,130.06134969325154
NM Coulter-Nile,53,52,98.11320754716981
NS Naik,33,23,69.6969696969697
NV Ojha,1360,1555,114.33823529411764
Niraj Patel,124,121,97.58064516129032
OA Shah,405,506,124.93827160493827
P Awana,14,5,35.714285714285715
P Chopra,6,8,133.33333333333331
P Dogra,141,127,90.0709219858156
P Krishna,7,1,14.285714285714285
P Kumar,323,340,105.26315789473684
P Negi,301,366,121.59468438538205
P Parameswaran,3,1,33.33333333333333
P R Barman,25,20,80.0
P Raj,1,0,0.0
P Sahu,13,19,146.15384615384613
P Shaw,435,616,141.60919540229887
PA Patel,2444,2874,117.59410801963995
PA Reddy,167,164,98.20359281437125
PC Valthaty,432,505,116.89814814814814
PD Collingwood,159,203,127.67295597484276
PJ Cummins,56,77,137.5
PJ Sangwan,41,25,60.97560975609756
PM Sarvesh Kumar,2,1,50.0
PP Chawla,541,587,108.50277264325324
PP Ojha,45,16,35.55555555555556
PR Shah,97,92,94.84536082474226
PSP Handscomb,12,6,50.0
PV Tambe,39,18,46.15384615384615
Pankaj Singh,12,7,58.333333333333336
Parvez Rasool,20,17,85.0
Q de Kock,1136,1489,131.07394366197184
R Ashwin,350,382,109.14285714285714
R Bhatia,290,342,117.9310344827586
R Bhui,18,8,44.44444444444444
R Bishnoi,17,19,111.76470588235294
R Dhawan,135,153,113.33333333333333
R Dravid,1918,2174,113.34723670490095
R McLaren,178,159,89.32584269662921
R Ninan,6,3,50.0
R Parag,133,169,127.06766917293233
R Rampaul,52,51,98.07692307692307
R Salam,4,5,125.0
R Sathish,236,270,114.40677966101696
R Sharma,77,66,85.71428571428571
R Shukla,23,19,82.6086956521739
R Singh,68,73,107.35294117647058
R Tewatia,93,119,127.95698924731182
R Vinay Kumar,289,311,107.61245674740485
RA Jadeja,1632,1951,119.546568627451
RA Tripathi,571,771,135.02626970227672
RD Chahar,13,15,115.38461538461537
RE Levi,74,83,112.16216216216218
RE van der Merwe,144,159,110.41666666666667
RG More,2,2,100.0
RG Sharma,3816,4914,128.77358490566039
RJ Harris,112,117,104.46428571428572
RJ Peterson,32,32,100.0
RJ Quiney,105,103,98.09523809523809
RN ten Doeschate,238,326,136.9747899159664
RP Singh,78,52,66.66666666666666
RR Bhatkal,2,0,0.0
RR Pant,1104,1792,162.31884057971016
RR Powar,64,67,104.6875
RR Raje,18,20,111.11111111111111
RR Rossouw,51,53,103.921568627451
RR Sarwan,78,73,93.58974358974359
RS Bopara,468,531,113.46153846153845
RS Gavaskar,8,2,25.0
RS Sodhi,2,4,200.0
RT Ponting,129,91,70.54263565891473
RV Gomez,53,50,94.33962264150944
RV Uthappa,3492,4446,127.31958762886597
Rashid Khan,67,109,162.6865671641791
S Anirudha,121,136,112.39669421487604
S Aravind,59,59,100.0
S Badree,25,13,52.0
S Badrinath,1245,1441,115.74297188755021
S Chanderpaul,33,25,75.75757575757575
S Curran,55,95,172.72727272727272
S Dhawan,3776,4632,122.66949152542372
S Dube,33,40,121.21212121212122
S Gill,384,517,134.63541666666669
S Gopal,120,131,109.16666666666666
S Hetmyer,76,93,122.36842105263158
S Kaul,28,12,42.857142857142854
S Kaushik,1,0,0.0
S Ladda,10,0,0.0
S Lamichhane,1,0,0.0
S Mavi,15,13,86.66666666666667
S Nadeem,79,32,40.50632911392405
S Narwal,29,37,127.58620689655173
S Rana,82,91,110.97560975609757
S Randiv,4,2,50.0
S Rutherford,55,82,149.0909090909091
S Sharma,4,8,200.0
S Singh,18,17,94.44444444444444
S Sohal,311,368,118.32797427652733
S Sreesanth,57,34,59.64912280701754
S Sriram,38,31,81.57894736842105
S Tyagi,4,3,75.0
S Vidyut,115,145,126.08695652173914
SA Abbott,13,15,115.38461538461537
SA Asnodkar,352,423,120.17045454545455
SA Yadav,479,608,126.93110647181629
SB Bangar,58,49,84.48275862068965
SB Jakati,30,28,93.33333333333333
SB Joshi,16,6,37.5
SB Styris,134,131,97.76119402985076
SB Wagh,3,2,66.66666666666666
SC Ganguly,1326,1349,101.73453996983409
SD Chitnis,92,99,107.6086956521739
SD Lad,13,15,115.38461538461537
SE Bond,2,1,50.0
SE Marsh,1913,2489,130.10977522216413
SJ Srivastava,5,5,100.0
SK Raina,4044,5415,133.9020771513353
SK Trivedi,61,42,68.85245901639344
SK Warne,219,198,90.41095890410958
SL Malinga,103,88,85.43689320388349
SM Harwood,14,9,64.28571428571429
SM Katich,191,241,126.17801047120419
SM Pollock,116,147,126.72413793103448
SMSM Senanayake,17,10,58.82352941176471
SN Khan,291,416,142.9553264604811
SN Thakur,21,36,171.42857142857142
SP Fleming,171,196,114.61988304093566
SP Goswami,302,301,99.66887417218543
SP Jackson,31,38,122.58064516129032
SP Narine,481,803,166.94386694386694
SPD Smith,1616,2047,126.67079207920793
SR Tendulkar,2044,2334,114.18786692759295
SR Watson,2639,3614,136.9458128078818
SS Iyer,1370,1714,125.1094890510949
SS Shaikh,7,6,85.71428571428571
SS Tiwary,1111,1276,114.85148514851484
ST Jayasuriya,573,768,134.03141361256544
STR Binny,700,882,126.0
SV Samson,1728,2235,129.34027777777777
SW Billings,256,338,132.03125
SW Tait,26,23,88.46153846153845
Sachin Baby,106,137,129.24528301886792
Salman Butt,172,193,112.20930232558139
Sandeep Sharma,40,26,65.0
Shahid Afridi,46,81,176.08695652173913
Shakib Al Hasan,615,759,123.41463414634146
Shivam Sharma,3,5,166.66666666666669
Shoaib Ahmed,6,1,16.666666666666664
Shoaib Akhtar,8,2,25.0
Shoaib Malik,49,52,106.12244897959184
Sohail Tanvir,31,36,116.12903225806453
Sunny Gupta,1,0,0.0
Sunny Singh,31,43,138.70967741935485
Swapnil Singh,20,12,60.0
T Curran,28,24,85.71428571428571
T Henderson,16,11,68.75
T Kohli,20,11,55.00000000000001
T Taibu,26,31,119.23076923076923
T Thushara,19,12,63.1578947368421
TA Boult,14,12,85.71428571428571
TD Paine,29,10,34.48275862068966
TG Southee,91,115,126.37362637362637
TL Suman,587,676,115.1618398637138
TM Dilshan,1047,1153,110.12416427889207
TM Head,151,205,135.76158940397352
TM Srivastava,11,8,72.72727272727273
TR Birt,59,75,127.11864406779661
TS Mills,11,8,72.72727272727273
U Kaul,1,0,0.0
UA Birla,15,7,46.666666666666664
UBT Chand,314,300,95.54140127388536
UT Khawaja,105,127,120.95238095238095
UT Yadav,133,127,95.48872180451127
Umar Gul,19,39,205.26315789473685
V Kohli,4211,5434,129.04298266445025
V Pratap Singh,1,0,0.0
V Sehwag,1833,2728,148.82705946535734
V Shankar,429,574,133.7995337995338
VH Zol,26,29,111.53846153846155
VR Aaron,63,49,77.77777777777779
VRV Singh,3,4,133.33333333333331
VS Malik,7,7,100.0
VS Yeligati,2,2,100.0
VVS Laxman,271,282,104.0590405904059
VY Mahesh,28,15,53.57142857142857
Vishnu Vinod,26,19,73.07692307692307
W Jaffer,129,130,100.7751937984496
WA Mota,76,56,73.68421052631578
WD Parnell,80,63,78.75
WP Saha,1382,1780,128.79884225759767
WPUJC Vaas,73,81,110.95890410958904
Washington Sundar,56,79,141.07142857142858
X Thalaivan Sargunam,17,10,58.82352941176471
Y Gnaneswara Rao,18,19,105.55555555555556
Y Nagar,271,285,105.1660516605166
Y Venugopal Rao,865,985,113.87283236994219
YA Abdulla,1,0,0.0
YK Pathan,2334,3241,138.8603256212511
YS Chahal,49,22,44.89795918367347
YV Takawale,183,192,104.91803278688525
Yashpal Singh,67,47,70.1492537313433
Younis Khan,7,3,42.857142857142854
Yuvraj Singh,2207,2765,125.28318985047575
Z Khan,141,117,82.97872340425532
