batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
RR Sarwan,18.25,6,1,0,0,78,73,93.58974359,1
S Vidyut,18.125,22,3,1,0,115,145,126.0869565,2
L Livingstone,18,6,5,0,0,48,72,150,1
BJ Haddin,18,2,1,0,0,11,18,163.6363636,0
MC Juneja,17.85714286,11,1,0,0,134,125,93.28358209,1
SW Billings,17.78947368,33,10,3,0,256,338,132.03125,3
CA Pujara,17.72727273,51,4,1,0,403,390,96.77419355,4
MA Agarwal,17.72222222,118,52,5,0,1027,1276,124.2453749,16
AD Mathews,17.65853659,45,29,1,0,599,724,120.8681135,8
D Short,17.57142857,11,5,0,0,102,123,120.5882353,2
M Santner,17.5,0,3,0,0,25,35,140,0
AL Menaria,17.43478261,24,17,0,0,367,401,109.2643052,5
TL Suman,17.33333333,55,26,2,0,587,676,115.1618399,6
AC Blizzard,17.14285714,22,2,1,0,91,120,131.8681319,2
MV Boucher,17.13043478,33,12,0,0,318,394,123.8993711,6
AP Dole,17,3,1,0,0,23,34,147.826087,1
S Singh,17,1,1,0,0,18,17,94.44444444,0
FY Fazal,16.63636364,23,1,0,0,179,183,102.2346369,3
NV Ojha,16.54255319,122,78,6,0,1360,1555,114.3382353,11
Gurkeerat Singh,16.51851852,48,11,2,0,353,446,126.3456091,3
Shakib Al Hasan,16.5,71,22,2,0,615,759,123.4146341,8
PA Reddy,16.4,15,2,0,0,167,164,98.20359281,1
C Munro,16.36363636,20,8,0,0,144,180,125,2
MJ Clarke,16.33333333,12,0,0,0,96,98,102.0833333,1
W Jaffer,16.25,14,3,0,0,129,130,100.7751938,2
LA Carseldine,16.2,11,0,0,0,71,81,114.084507,1
MR Marsh,16.07142857,9,14,0,0,201,225,111.9402985,3
D Wiese,15.875,13,4,0,0,94,127,135.106383,1
SP Goswami,15.84210526,32,3,1,0,302,301,99.66887417,3
Anirudh Singh,15.75,6,1,0,0,69,63,91.30434783,1
BB Samantray,15.625,13,2,1,0,116,125,107.7586207,2
RA Jadeja,15.608,136,65,0,0,1632,1951,119.5465686,15
KM Jadhav,15.58571429,92,38,3,0,879,1091,124.1183163,11
C Ingram,15.58333333,20,5,0,0,157,187,119.1082803,2
RN ten Doeschate,15.52380952,27,15,1,0,238,326,136.9747899,4
S Sriram,15.5,3,0,0,0,38,31,81.57894737,0
DJ Bravo,15.13131313,118,60,4,0,1193,1498,125.5658005,15
C Madan,15,4,0,0,0,21,15,71.42857143,0
SD Lad,15,1,1,0,0,13,15,115.3846154,0
A Joseph,15,2,0,0,0,13,15,115.3846154,0
UBT Chand,15,32,9,1,0,314,300,95.54140127,3
DB Ravi Teja,15,36,9,1,0,325,375,115.3846154,5
GR Napier,15,1,0,0,0,16,15,93.75,0
TR Birt,15,9,2,0,0,59,75,127.1186441,0
C de Grandhomme,14.9047619,19,18,0,0,229,313,136.6812227,5
SP Narine,14.87037037,95,46,4,0,481,803,166.9438669,11
DJG Sammy,14.75,15,18,1,0,251,295,117.5298805,1
