bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
TA Boult,128,1168,9.125,47,128,39,0.3046875,1,0.0078125,66,41
TG Southee,148,1340,9.054054054,40,148,45,0.304054054,3,0.02027027,82,34
TL Suman,25,198,7.92,4,25,0,0,2,0.08,1,7
TM Dilshan,46,368,8,5,46,5,0.108695652,0,0,7,5
TM Head,9,81,9,3,9,0,0,0,0,0,3
TP Sudhindra,12,137,11.41666667,4,12,3,0.25,1,0.083333333,4,1
TS Mills,18,157,8.722222222,7,18,9,0.5,0,0,7,5
Tejas Baroka,4,33,8.25,1,4,0,0,0,0,1,0
UT Yadav,416,3640,8.75,117,416,110,0.264423077,19,0.045673077,176,136
Umar Gul,23,198,8.608695652,8,23,12,0.52173913,6,0.260869565,6,14
V Chakravarthy,3,35,11.66666667,0,3,0,0,0,0,1,1
V Kohli,43,371,8.627906977,5,43,8,0.186046512,6,0.139534884,0,5
V Pratap Singh,34,300,8.823529412,7,34,7,0.205882353,0,0,16,12
V Sehwag,23,236,10.26086957,4,23,1,0.043478261,1,0.043478261,2,6
V Shankar,14,154,11,3,14,6,0.428571429,1,0.071428571,0,2
VR Aaron,155,1392,8.980645161,35,155,64,0.412903226,6,0.038709677,55,44
VRV Singh,60,549,9.15,18,60,7,0.116666667,4,0.066666667,13,16
VS Malik,35,268,7.657142857,2,35,5,0.142857143,2,0.057142857,21,6
VS Yeligati,5,61,12.2,1,5,6,1.2,0,0,1,0
VY Mahesh,58,511,8.810344828,12,58,14,0.24137931,7,0.120689655,13,22
WA Mota,12,98,8.166666667,4,12,2,0.166666667,1,0.083333333,0,4
WD Parnell,97,731,7.536082474,36,97,45,0.463917526,5,0.051546392,45,31
WPUJC Vaas,48,364,7.583333333,8,48,8,0.166666667,2,0.041666667,33,22
Washington Sundar,59,467,7.915254237,3,59,8,0.13559322,0,0,25,17
Y Gnaneswara Rao,1,7,7,0,1,0,0,0,0,0,0
Y Nagar,11,125,11.36363636,0,11,4,0.363636364,4,0.363636364,1,4
Y Venugopal Rao,36,338,9.388888889,4,36,8,0.222222222,0,0,7,7
YA Abdulla,35,311,8.885714286,10,35,12,0.342857143,1,0.028571429,14,15
YK Pathan,193,1443,7.476683938,15,193,43,0.222797927,0,0,59,46
YS Chahal,301,2416,8.026578073,40,301,60,0.199335548,6,0.019933555,54,102
Yuvraj Singh,146,1092,7.479452055,20,146,12,0.082191781,1,0.006849315,0,39
Z Khan,371,2860,7.708894879,103,371,89,0.239892183,2,0.005390836,217,119
