bowler,total_overs,total_runs,avg_economy,death_over,over,wide_runs,WoPerOver,noball_runs,NoPerOver,powerplay_over,wickets
DJ Muthuswami,14,108,7.7142857142857135,1,14,0,0.0,0,0.0,12,
DJ Thornely,7,40,5.7142857142857135,0,7,2,0.2857142857142857,0,0.0,0,
DJG Sammy,40,354,8.85,9,40,7,0.175,2,0.05,4,
DL Chahar,116,923,7.956896551724138,10,116,32,0.27586206896551724,5,0.04310344827586207,94,32.0
DL Vettori,131,894,6.8244274809160315,29,131,8,0.06106870229007633,0,0.0,15,
DNT Zoysa,11,100,9.090909090909092,3,11,1,0.09090909090909093,2,0.18181818181818185,6,
DP Nannes,109,815,7.477064220183486,36,109,47,0.4311926605504587,4,0.03669724770642202,57,
DP Vijaykumar,26,205,7.884615384615384,5,26,5,0.19230769230769232,2,0.07692307692307693,17,
DR Smith,90,825,9.166666666666666,12,90,19,0.2111111111111111,4,0.04444444444444445,11,
DS Kulkarni,292,2461,8.428082191780822,56,292,99,0.339041095890411,7,0.023972602739726026,166,10.0
DT Christian,131,1067,8.145038167938932,33,131,33,0.2519083969465649,3,0.022900763358778626,29,4.0
DW Steyn,352,2454,6.971590909090909,103,352,105,0.2982954545454545,7,0.01988636363636364,183,4.0
F du Plessis,1,16,16.0,1,1,0,0.0,0,0.0,0,
FH Edwards,24,160,6.666666666666668,9,24,9,0.375,1,0.04166666666666666,13,
FY Fazal,2,20,10.0,2,2,0,0.0,0,0.0,0,
GB Hogg,77,585,7.597402597402597,16,77,17,0.2207792207792208,1,0.012987012987012988,8,
GD McGrath,54,366,6.777777777777778,13,54,4,0.07407407407407407,1,0.018518518518518517,37,
GH Vihari,6,39,6.5,0,6,1,0.16666666666666666,0,0.0,4,
GJ Maxwell,70,617,8.814285714285715,5,70,15,0.21428571428571427,0,0.0,11,5.0
GR Napier,4,28,7.0,0,4,0,0.0,0,0.0,1,
GS Sandhu,8,86,10.75,4,8,0,0.0,0,0.0,1,
Gagandeep Singh,14,142,10.142857142857142,4,14,0,0.0,0,0.0,1,
Gurkeerat Singh,13,97,7.461538461538463,0,13,4,0.3076923076923077,0,0.0,2,
H Brar,5,48,9.6,0,5,0,0.0,0,0.0,2,0.0
H Gurney,27,247,9.148148148148149,9,27,6,0.2222222222222222,1,0.037037037037037035,11,7.0
H Vihari,1,9,9.0,0,1,0,0.0,0,0.0,0,0.0
H Viljoen,23,248,10.782608695652176,7,23,12,0.5217391304347826,0,0.0,6,8.0
HH Pandya,146,1385,9.486301369863014,35,146,42,0.2876712328767123,3,0.02054794520547945,26,35.0
HV Patel,140,1262,9.014285714285714,31,140,38,0.2714285714285714,2,0.014285714285714284,38,10.0
Harbhajan Singh,563,4050,7.19360568383659,45,563,96,0.1705150976909414,3,0.0053285968028419185,124,25.0
Harmeet Singh,89,713,8.01123595505618,23,89,28,0.3146067415730337,4,0.0449438202247191,14,
Harmeet Singh (2),4,34,8.5,0,4,1,0.25,0,0.0,2,
I Malhotra,1,23,23.0,0,1,0,0.0,0,0.0,0,
I Sharma,319,2682,8.407523510971787,64,319,96,0.30094043887147337,21,0.06583072100313479,201,14.0
I Sodhi,31,207,6.67741935483871,2,31,1,0.03225806451612903,0,0.0,2,9.0
IC Pandey,77,609,7.909090909090909,6,77,5,0.06493506493506493,2,0.025974025974025976,44,
IK Pathan,345,2711,7.857971014492754,86,345,79,0.2289855072463768,1,0.0028985507246376808,153,
Imran Tahir,206,1656,8.038834951456309,54,206,36,0.17475728155339804,1,0.0048543689320388345,8,32.0
Iqbal Abdulla,154,1125,7.305194805194804,20,154,26,0.16883116883116886,0,0.0,46,
J Archer,83,676,8.144578313253012,37,83,18,0.21686746987951808,3,0.03614457831325301,31,27.0
J Behrendorff,19,174,9.157894736842103,1,19,3,0.15789473684210525,0,0.0,13,5.0
J Botha,116,818,7.051724137931035,18,116,19,0.16379310344827586,0,0.0,32,
J Dala,3,35,11.666666666666664,0,3,1,0.3333333333333333,0,0.0,1,0.0
J Searles,7,92,13.142857142857142,1,7,3,0.42857142857142855,0,0.0,1,2.0
J Suchith,45,397,8.822222222222223,1,45,9,0.2,0,0.0,8,2.0
J Syed Mohammad,32,286,8.9375,3,32,4,0.125,0,0.0,3,
